"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Capitella","Capitella sp.","annelida","GoMA_census_fauna","Capitella sp.","Capitella",0,406,"","2320205841|2099709190|2214016943|2212450310|2168966387|2168966385|2158439411|2070381987|2070381985|1938964882|1938964880|1938964878|1938964874|1938964870|1983548778|1983548754|1824635502|1824635500|1824635498|1824635496|1824635494|1824635492|1824635490|1824635488|1824635486|1824635484|1824635482|1824635480|1824635478|1824635476|1824635474|1824635472|1824635470|1824635468|1824635466|1824635464|1824635462|1824635460|1824635458|1824635456|1824635454|1824635452|1824635450|1824635448|1824635446|1824635444|1824635442|1824635440|1824635438|1824635436|1824635434|1824635432|1824635430|1824635428|1824635426|1824635424|1824635422|1824635420|1824635418|1824635416|1824635414|1824635412|1824635410|1824635408|1824635406|1824635404|1824635402|1824635400|1824635398|1824635396|1824635394|1824635392|1824635390|1824635388|1824635386|1824635384|1824635382|1824635380|1824635378|1824635376|1824635374|1824635372|1824635370|1824635368|1824635366|1824635364|1824635362|1824635360|1824635358|1824635356|1824635354|1824635352|1824635350|1824635348|1824635346|1824635344|1824635342|1824635340|1824635338|1824635336|1824635334|1824635332|1824635330|1824635328|1824635326|1824635324|1824635322|1824635320|1824635318|1772548198|1772548196|1772548194|1772548192|1772548184|1772548182|1772548180|1772548178|1772548172|1772548164|1772548160|1772548152|1772548146|1772548142|1772548138|1827390233|1827390231|1827390229|1605303978|1605303976|1605303974|1605303972|1605303970|1605303968|1605303966|1605303964|1605303962|1605303960|1605303958|1605303956|1605303954|1605303952|1605303950|1605303948|1605303946|1605303944|1605303942|1605303940|1605303938|1605303936|1605303934|1605303932|1605303930|1605303928|1605303926|1605303924|1605303922|1605303920|1605303918|1605303916|1605303914|1605303912|1605303910|1605303908|1605303906|1605303904|1605303902|1605303900|1605303898|1605303896|1605303894|1605303892|1605303890|1605303888|1605303886|1605303884|1605303882|1605303880|1605303878|1605303876|1605303874|1605303872|1605303870|1605303868|1605303866|1605303864|1605303862|1605303860|1605303858|1605303856|1605303854|1605303852|1605303850|1605303848|1605303846|1605303844|1605303842|1605303840|1605303838|1605303836|1605303834|1605303832|1605303830|1605303828|1605303826|1605303824|1605303822|1544925925|1544724275|1383527696|1039337474|1039337472|1039337470|1039337468|1039337466|304416930|304416926|299555709|299555707|1210420918|1210420916|1043110827|1043110825|1043110823|1043110821|1043110819|1043110817|1043110815|1043110813|1043110811|1043110809|1043110807|1043110805|1043110803|1043110801|1043110799|1043110797|1043110795|1043110793|1043110791|1043110789|1043110787|1043110785|1043110783|1043110781|1043110779|1043110777|1043110775|1043110773|1043110771|1043110769|1043110767|1043110765|1043110763|1043110761|1043110759|1043110757|1043110755|1043110753|1043110751|1043110749|1043110747|1043110745|1043110743|1043110741|1043110739|1043110737|1043110735|1043110733|1043110731|1043110729|1043110727|1043110725|1043110723|1043110721|1043110719|1043110717|1043110715|1043110713|1043110711|1043110709|1043110707|1043110705|1043110703|1043110701|1043110699|1043110697|1043110695|1043110693|1043110691|1043110689|1043110687|1043110685|1043110683|1043110681|1043110679|1043110677|1043110675|1043110673|1043110671|1043110669|1043110667|1043110665|1043110663|1043110661|1043110659|1043110657|1043110655|1043110653|1043110651|1043110649|1043110647|1043110645|1043110643|1043110641|1043110639|1043110637|1043110635|1043110633|1043110631|1043110629|1043110627|1043110625|1043110623|1043110621|1043110619|1043110617|1043110615|1127783722|1127783720|1127783718|1127783716|1127783714|1127783712|1127783710|1127783708|1127783706|1127783704|1127783702|1127783700|1127783698|1127783696|1127783694|1127783692|1127783690|1127783688|1127783686|1127783684|1127783682|1127783680|1127783678|1127783676|1127783674|1127783672|1127783670|1127783668|1127783666|1127783664|1127783662|1078555444|1078555442|1078555440|1078555438|1078555436|1078555434|1078555432|1078555430|1078555428|1078555426|1078555424|1078555422|1078555420|1078555418|1078555416|1078555414|1078555412|1078555410|1078555408|1078555406|1078555404|1078555402|1078555400|1078555398|1078555396|1078555394|1078555392|304416928|304416924|304416922|304416920|1021313800|1021313798|1021313796|1021313794|1021313792|1021313790|1021313788|584483235|575453239|429490552|429490550|429490548|429490546|429490544|429490542|429490540|429490538",77,"KX121793.1|MH264875.1|MH264873.1|MH264874.1|MH264877.1|MT246743.1|MT246708.1|KX121842.1|KX121843.1|KX121839.1|KX121867.1|MT246722.1|LC120627.1|MT246726.1|KX286328.1|MT246761.1|KX121873.1|KX121874.1|MT246745.1|KX961433.1|MT246741.1|MT246685.1|MH264864.1|MH264841.1|MH264814.1|MH264849.1|MH264852.1|MH264829.1|MH264848.1|MH264862.1|MH264836.1|MH264850.1|MH264824.1|KX121853.1|KX121852.1|MT246734.1|MH264878.1|OL964303.1|KX121812.1|MT246707.1|MH264853.1|MN311118.1|MT246715.1|MW593139.1|MH264868.1|KX298243.1|KX961432.1|KX961414.1|KX121798.1|MW315203.1|LC120652.1|OP702936.1|KX961409.1|MT246706.1|MT246679.1|KX121837.1|MH264886.1|LC120645.1|MT246727.1|KX961406.1|MH264820.1|KX961417.1|KX121804.1|KX961407.1|KX121870.1|KX121789.1|KX121790.1|KX121859.1|KX961403.1|MH264889.1|MT246718.1|MH264856.1|MT246683.1|KX121869.1|KX121861.1|MT246714.1|KX121876.1|MT246687.1|KX121830.1|MT246711.1|MT246721.1|MT246750.1|KX121803.1|MH242693.1|MH264822.1|MH264846.1|MH264845.1|KX121875.1|KX961405.1|KX961420.1|MT246691.1|MT246693.1|KX961404.1|MT246697.1","Capitella","1",406
"Capitella capitata","Capitella capitata","annelida","GoMA_census_fauna","Capitella capitata","Capitella capitata",0,23,"","2214016943|2212450310|1827390233|1827390231|1827390229|1043110827|1021313800|1021313798|1021313796|1021313794|1021313792|1021313790|1021313788|584483235|575453239|429490552|429490550|429490548|429490546|429490544|429490542|429490540|429490538",16,"ON103350.1|ON076996.1|MN256586.1|MN256585.1|MN256584.1|KX121879.1|KU050702.1|KU050701.1|KU050700.1|KU050699.1|KU050698.1|KU050697.1|KU050696.1|KF815717.1|KF737175.1|JX676179.1|JX676178.1|JX676169.1|JX676174.1|JX676173.1|JX676171.1|JX676137.1|JX676150.1","Capitella capitata|Capitella","2",23
"Capitellides giardi","Capitellides giardi","annelida","GoMA_census_fauna","Capitellides giardi","Capitellides giardi",0,0,"","",NA,"na","na","na",0
"Caprella equilibra","Caprella equilibra","arthropoda","GoMA_census_fauna","Caprella equilibra","Caprella equilibra",0,14,"","2432718590|2432717980|1818769871|1818769869|1818769867|1035662525|1035662479|1035662371|1035662149|1035662063|1035661951|93116771|93116769|93116767",8,"OQ323108.1|OQ322803.1|KU906028.1|KU905974.1|MT151842.1|MT151840.1|MT151841.1|KU906051.1|KU905863.1|KU905820.1|KU905764.1|DQ466523.1|DQ466522.1|DQ466521.1","Caprella equilibra","1",14
"Caprella linearis","Caprella linearis","arthropoda","GoMA_census_fauna","Caprella linearis","Caprella linearis",0,39,"","1502979193|1502978920|1502977892|1502976084|1502975592|1502974933|1502974854|1502974264|1502974128|1502970722|1502970077|1502969779|1502967621|1497451966|1497451562|1497451292|1497450988|1497448148|1497446783|1495353460|1495352562|1495348294|1465190410|1465190296|1465190234|1465189922|1465189914|1465189750|1465189702|1465189458|1465189432|220029923|220029921|220029919|220029917|220029915|220029913|220029911|220029909",31,"MG321099.1|MG319625.1|MG320963.1|MG320504.1|MG316938.1|MG319421.1|MG317249.1|MG319092.1|MG319057.1|MG318787.1|MG318719.1|MG315412.1|MG316813.1|MG315842.1|MG315614.1|MG315277.1|MG315125.1|MG313705.1|MG313029.1|MG312864.1|MG312415.1|MG311281.1|MG936584.1|MG936095.1|MG936527.1|MG936496.1|MG936340.1|MG936336.1|MG936254.1|MG936230.1|MG936108.1|FJ581575.1|FJ581574.1|FJ581570.1|FJ581568.1|FJ581573.1|FJ581569.1|FJ581572.1|FJ581571.1","Caprella linearis","1",39
"Caprella penantis","Caprella penantis","arthropoda","GoMA_census_fauna","Caprella penantis","Caprella penantis",2,209,"2459368651|2441921033","2171324996|2171324990|2171324988|2171324978|2171324976|2171324974|2171324972|2171324970|2171324968|2171324966|2171324964|2171324962|2171324960|2171324958|2171324956|2171324954|2171324952|2171324950|2171324924|2171324922|2171324920|2171324918|2171324916|2171324914|2171324912|2171324910|2171324906|2171324902|2171324900|2171324898|2171324896|2171324894|2171324892|2171324888|2171324886|2171324884|2171324880|2171324878|2171324876|2171324874|2171324872|2171324870|2171324868|2171324866|2171324864|2171324860|2171324858|2171324856|2171324852|2171324848|1524090052|1524090050|1524090048|1524090046|1524090044|1524090042|1524090040|1524090038|1524090036|1524090034|1524090032|1524090030|1524090028|1524090026|1524090024|1524090022|1524090020|1524090018|1524090016|1524090014|1524090012|1524090010|1524090008|1524090006|1818769873|1391840294|1391840236|1035662051|767809323|767809211|767809207|767809191|767809069|767809023|767809021|767809013|767809007|767808957|767808873|767808855|767808779|767808707|767808703|767808687|767808607|767808595|767808571|767808535|767808471|767808429|767808401|767808341|767808285|767808101|767808097|767807911|767807897|767807895|767807869|767807781|767807711|767807667|767807653|767807625|767807613|767807609|767807569|767807445|767807411|767807197|767807027|767806953|767806931|767806837|767806835|767806783|447380781|447380779|447380777|447380775|447380773|447380771|447380769|447380767|447380765|447380763|447380761|447380759|447380757|447380755|447380753|447380751|447380749|447380747|447380745|447380743|447380741|447380739|447380729|447380727|447380725|447380723|447380721|447380719|447380717|447380715|447380713|447380711|447380709|447380707|447380705|447380703|447380701|447380699|447380697|447380695|447380693|447380691|447380661|447380659|447380657|447380655|447380637|447380635|447380633|447380631|447380629|447380627|447380625|447380623|447380621|447380619|447380617|447380615|447380613|447380611|447380609|447380607|447380605|447380603|447380601|447380599|447380597|447380595|447380593|447380591|447380589|447380587|447380585|447380583|447380581|447380579|447380577|447380575|447380573|442566110|442566108|442566106|442566104",89,"MH826161.1|OM057902.1|KC146286.1|OM057945.1|KP254636.1|KC146287.1|OM057916.1|OM057913.1|OM057908.1|KC146274.1|KC146267.1|OM057907.1|KC146207.1|KP254571.1|KC146229.1|KC146206.1|MH826155.1|MH826156.1|JX988586.1|MH826144.1|OM057942.1|KC146297.1|KC146294.1|OM057893.1|KC146205.1|KC146230.1|OM057910.1|OM057912.1|OM057899.1|OM057901.1|KP254895.1|KP254099.1|KP254485.1|OM057909.1|OM057919.1|KC146204.1|KC146235.1|KC146234.1|KC146233.1|KC146281.1|OM057890.1|KP254731.1|OM057934.1|JX988583.1|KC146214.1|KC146211.1|MH826154.1|OM057898.1|KC146275.1|KC146277.1|OM057895.1|KC146268.1|OM057917.1|OM057911.1|OM057906.1|OM057889.1|KC146208.1|KC146203.1|OM057946.1|KP255215.1|MH826150.1|KP254487.1|KP255184.1|KC146226.1|OM057943.1|KP254507.1|KP254823.1|OM057896.1|KP254098.1|KP254386.1|KC146300.1|KC146228.1|OM057939.1|KC146225.1|KC146213.1|OM057947.1|KC146272.1|KC146246.1|KC146223.1|KC146227.1|KC146279.1|OM057894.1|KC146299.1|OM057952.1|OM057914.1|MH826149.1|KC146290.1|KC146244.1|KC146278.1|KC146245.1|MH826142.1|OM057956.1|MH826164.1|JX988584.1|KC146307.1|KP254146.1|MH826146.1|MH087594.1|KP254493.1|MH826153.1|NC_072118.1|OP583748.1","Caprella penantis","1",211
"Caprella septentrionalis","Caprella septentrionalis","arthropoda","GoMA_census_fauna","Caprella septentrionalis","Caprella septentrionalis",0,59,"","323121423|323121421|323121419|323121417|323121415|323121413|323121411|301043376|301043360|301043358|301043356|1430075728|1502978908|1502978570|1502977275|1502976762|1502976596|1502976208|1502975843|1502973916|1502973680|1502971493|1502971431|1502968724|1497452112|1497451774|1497450020|1497449618|1497448698|1497448194|1497448184|1497447332|1497446847|1495353134|1495352754|1495352320|1495348786|1495348504|1495347906|1495346450|321490155|321490139|321490131|321490127|321490123|321490121|321490119|220029955|220029953|220029951|220029949|220029947|220029945|220029943|220029941|220029939|220029937|220029935|220029933",37,"HQ987389.1|HQ987388.1|HQ987387.1|HQ987386.1|HQ987385.1|HQ987384.1|HQ987383.1|HM425351.1|MG320788.1|MG319964.1|MG319687.1|MG318613.1|MG315687.1|MG315518.1|MG313723.1|MG312701.1|MG312511.1|MG311527.1|MG310359.1|HQ972155.1|HQ972143.1|HQ972141.1|HM425343.1|HM425342.1|MG313061.1|HQ972137.1|HM425341.1|MG935280.1|MG320957.1|MG320196.1|MG319881.1|MG319545.1|MG318524.1|MG316342.1|MG317612.1|MG317581.1|MG314641.1|MG314440.1|MG313980.1|MG313728.1|MG313297.1|MG312294.1|MG311386.1|MG311087.1|HQ972147.1|HQ972139.1|HQ972138.1|FJ581591.1|FJ581590.1|FJ581582.1|FJ581581.1|FJ581589.1|FJ581586.1|FJ581585.1|FJ581584.1|FJ581588.1|FJ581587.1|FJ581583.1|FJ581580.1","Caprella septentrionalis","1",59
"Caprella unica","Caprella unica","arthropoda","GoMA_census_fauna","Caprella unica","Caprella unica",0,18,"","1502978996|1502977082|1502977025|1502974999|1502974082|1502971921|1502971104|1502971038|1502969731|1502968299|1497450148|1497446793|1495353486|1495353278|1495353232|1495347440|1495346626|116607206",18,"MG321001.1|MG320116.1|MG320095.1|MG319125.1|MG318696.1|MG317791.1|MG317418.1|MG317385.1|MG316797.1|MG316130.1|MG314705.1|MG313034.1|MG312877.1|MG312773.1|MG312750.1|MG310854.1|MG310447.1|DQ889141.1","Caprella unica","1",18
"Capsala martinierei","Capsala martinierei","platyhelminthes","GoMA_census_fauna","Capsala martinierei","Capsala martinierei",2,0,"2235261753|2223826930","",1,"NC_063093.1|OL790148.1","Capsala martinierei","1",2
"Capulus ungaricus","Capulus ungaricus","mollusca","GoMA_census_fauna","Capulus ungaricus","Capulus ungaricus",0,7,"","1843758200|1843758198|1843758030|1843758028|937202362|30794855|908309366",7,"MT491386.1|MT491385.1|MT491301.1|MT491300.1|KR364835.1|AF546070.1|KR084853.1","Capulus ungaricus","1",7
"Carcinonemertes carcinophila","Carcinonemertes carinophila","nemertea","GoMA_census_fauna","Carcinonemertes carinophila","Carcinonemertes carcinophila",0,1,"","321172199",1,"HQ848619.1","Carcinonemertes carcinophila","1",1
"Carcinus maenas","Carcinus maenas","arthropoda","New England crab species","Carcinus maenas","Carcinus maenas",0,793,"","2428836351|1384344360|2001773814|2001773811|2001773808|2001773805|2001773802|2001773798|2001773794|2001773790|2001773787|2001773784|2001773781|2001773778|2001773775|2001773772|2001773768|2001773766|2001773763|2001773760|2001773757|2001773753|2001773750|2001773746|2001773743|2001773740|2001773737|2001773734|2001773731|2001773728|2001773725|2001773722|2001773719|1827949970|1847610937|1847610934|1847610931|1847610928|1847610926|1847610923|1847610920|1847610918|1847610915|1847610912|1847610909|1847610906|1847610903|1847610901|1847610898|1847610895|1847610893|1847610890|1847610887|1847610884|1847610881|1847610878|1847610875|1847610872|1847610869|1847610867|1847610864|1847610861|1847610858|1847610855|1898542779|1732262505|1769324477|1769324462|1769324457|1706882203|1706882201|1706882199|1706882197|1706882195|1706882193|1706882191|1706882189|1706882187|1706882185|1706882183|1706882181|1706882179|1706882177|1706882175|1706882173|1706882171|1706882169|1706882167|1706882165|1706882163|1706882161|1706882159|1706882157|1706882155|1706882153|1706882151|1706882149|1706882147|1706882145|1706882143|1706882141|1706882139|1706882137|1706882135|1706882133|1706882131|1706882129|1706882127|1706882125|1706882123|1706882121|1706882119|1706882117|1706882115|1706882113|1706882111|1706882109|1706882107|1706882105|1706882103|1706882101|1706882099|1706882097|1706882095|1706882093|1706882091|1706882089|1706882087|1706882085|1706882083|1706882081|1706882079|1706882077|1706882075|1706882073|1706882071|1706882069|1706882067|1706882065|1706882063|1706882061|1706882059|1706882057|1706882055|1706882053|1706882051|1706882049|1706882047|1706882045|1706882043|1706882041|1706882039|1706882037|1706882035|1706882033|1706882031|1706882029|1706882027|1706882025|1706882023|1706882021|1706882019|1706882017|1706882015|1706882013|1706882011|1706882009|1706882007|1706882005|1706882003|1706882001|1706881999|1706881997|1706881995|1706881993|1706881991|1706881989|1706881987|1706881985|1706881983|1706881981|1706881979|1706881977|1706881975|1706881973|1706881971|1706881969|1706881967|1706881965|1706881963|1706881961|1706881959|1706881957|1706881955|1706881953|1706881951|1706881949|1706881947|1706881945|1706881943|1706881941|1706881939|1706881937|1706881935|1706881933|1706881931|1706881929|1706881927|1706881925|1706881923|1706881921|1706881919|1706881917|1706881915|1706881913|1706881911|1706881909|1706881907|1706881905|1706881903|1706881901|1706881899|1706881897|1706881895|1706881893|1706881891|1706881889|1706881887|1706881885|1706881883|1706881881|1706881879|1706881877|1706881875|1706881873|1706881871|1706881869|1706881867|1706881865|1706881863|1706881861|1706881859|1706881857|1706881855|1706881853|1706881851|1706881849|1706881847|1706881845|1706881843|1706881841|1706881839|1706881837|1706881835|1706881833|1706881831|1706881829|1706881827|1706881825|1706881823|1706881821|1706881819|1706881817|1706881815|1706881813|1706881811|1706881809|1706881807|1706881805|1706881803|1706881801|1706881799|1706881797|1706881795|1706881793|1706881791|1706881789|1706881787|1706881785|1706881783|1706881781|1706881779|1706881777|1706881775|1706881773|1706881771|1706881769|1706881767|1706881765|1706881763|1706881761|1706881759|1706881757|1706881755|1706881753|1706881751|1706881749|1706881747|1706881745|1706881743|1706881741|1706881739|1706881737|1706881735|1706881733|1706881731|1706881729|1706881727|1706881725|1706881723|1706881721|1706881719|1706881717|1706881715|1706881713|1706881711|1706881709|1706881707|1706881705|1706881703|1563835458|1430075492|1430075145|89501097|89501063|89501018|89501017|89500931|89500628|89500422|58833935|58833882|58833880|58833835|58833834|84408818|84407842|83280543|83280484|83280370|83279538|80465890|80465643|77991549|76596616|76596324|62428455|60102100|60101918|1524233206|1524233204|1524233186|1524233184|1465190190|1465189288|1210333288|1210333286|1210333284|1210333282|1210333280|1210333278|1210333276|1210333274|1210333272|1210333270|1210333268|1210333266|1210333264|1210333262|1210333260|1210333258|1210333256|1210333254|1210333252|1210333250|1210333248|1210333246|1210333244|1210333242|1210333240|1210333238|1210333236|1210333234|1210333232|1210333230|1210333228|1210333226|1210333224|1210333222|1210333220|1210333218|1210333216|1210333214|1210333212|1210333210|1210333208|1210333206|1210333204|1210333202|1210333200|1210333198|1210333196|1210333194|1210333192|1210333190|1210333188|1210333186|1210333184|1210333182|1210333180|1210333178|1210333176|1210333174|1210333172|1210333170|1210333168|1210333166|1210333164|1210333162|1210333160|1210333158|1210333156|1210333154|1210333152|1210333150|1210333148|1210333146|1210333144|1210333142|1210333140|1210333138|1210333136|1210333134|1210333132|1210333130|1210333128|1210333126|1210333124|1210333122|1210333120|1210333118|1210333116|1210333114|1210333112|1210333110|1210333108|1210333106|1210333104|1210333102|1210333100|1210333098|1210333096|1210333094|1210333092|1210333090|1210333088|1210333086|1210333084|1210333082|1210333080|1210333078|1210333076|1210333074|1210333072|1210333070|1210333068|1210333066|1210333064|1210333062|1210333060|1210333058|1210333056|1210333054|1210333052|1210333050|1210333048|1210333046|1210333044|1210333042|1210333040|1210333038|1210333036|1210333034|1210333032|1210333030|1210333028|1210333026|1210333024|1210333022|1210333020|1210333018|1210333016|1210333014|1210333012|1210333010|1210333008|1210333006|1210333004|1210333002|1210333000|1210332998|1210332996|1210332994|1210332992|1210332990|1210332988|1210332986|1210332984|1210332982|1210332980|1210332978|1210332976|1210332974|1210332972|1210332970|1210332968|1210332966|1210332964|1210332962|1210332960|1210332958|1210332956|1210332954|1210332952|1210332950|1210332948|1210332946|1210332944|1210332942|1210332940|1210332938|1210332936|1210332934|1210332932|1210332930|1210332928|1210332926|1210332924|1210332922|1210332920|1210332918|1210332916|1210332914|1210332912|1210332910|1210332908|1210332906|1210332904|1210332902|1210332900|1210332898|1210332896|1210332894|1210332892|1210332890|1210332888|1210332886|1210332884|1210332882|1210332880|1210332878|1210332876|1210332874|1210332872|1210332870|1210332868|1210332866|1210332864|1210332862|1210332860|1210332858|1210332856|1210332854|1210332852|1210332850|1210332848|1210332846|1210332844|1210332842|1210332840|1210332838|1210332836|1210332834|1210332832|1210332830|1210332828|1210332826|1210332824|1210332822|1210332820|1210332818|1210332816|1210332814|1210332812|1210332810|1210332808|1210332806|1210332804|1210332802|1210332800|1210332798|1210332796|1210332794|1210332792|1210332790|1210332788|1210332786|1210332784|1210332782|1210332780|1210332778|1210332776|1210332774|1210332772|1210332770|1210332768|1210332766|1189445152|1189398870|168202867|1050201301|1050201299|367056881|367056879|367056761|367056759|367056757|47933709|47933707|47933705|47933703|47933701|47933699|47933697|47933695|319976666|319976664|319976662|319976660|319976658|319976656|319976654|319976652|319976650|319976648|319976646|319976644|319976642|319976640|319976638|319976636|319976634|319976632|319976630|319976628|319976626|319976624|319976622|319976620|319976618|319976616|319976614|319976612|319976610|319976608|319976606|319976604|319976602|319976600|319976598|319976596|319976594|319976592|319976590|319976588|319976586|319976584|220029967|220029965|220029963|220029961|220029959|220029957|107123528|107123506|107123484|107123464|107123439|959315773|959315771|959315769|959315767|959315765|936254406|936254330|936254110|936254094|936253976|936253902|936253214|936253030|936252928|936252380|936252216|694188382|694188380|564282517|567321181|567321179|567321177|567321175|567321173|567321171|204462680|204462678|204462676|204462674|204462672|204462670|204462668|204462666|204462664|204462662|204462660|204462658|204462656|204462654|204462652|204462650|204462648|204462646|204462644|204462642|204462640|204462638|204462636|204462634|204462632|204462630|204462628|204462626|204462624|204462622|204462620|204462618|204462616|204462614|204462612|204462610|204462608|204462606|204462604|204462602|204462600|204462598|204462596|204462594|204462592|204462590|204462588|204462586|204462584|204462582|204462580|204462578|204462576|204462574|204462572|204462570|204462568|204462566|204462564|204462562|204462560|204462558|204462556|204462554|204462552|204462550|204462548|204462546|204462544|204462542|204462540|204462538|204462536|204462534|204462532|204462530|204462528|204462526|219938543|219938542",40,"MK634826.1|MK634812.1|MK634801.1|MK634750.1|MK634870.1|MK634819.1|MK634845.1|MK634825.1|MK634862.1|MK634771.1|MK634954.1|MK634760.1|MK634822.1|MK634754.1|MK634876.1|MK634821.1|MK634868.1|MK634808.1|MK634782.1|MK634787.1|MK634790.1|KY800976.1|KY801078.1|KY801086.1|KY800961.1|KY800978.1|MW728920.1|KY801128.1|KY801142.1|KY801102.1|KY801131.1|KY801083.1|KY801002.1|KY801134.1|KY800930.1|KY801043.1|KY801006.1|KY801140.1|DV642725.1|MK634978.1|MK634987.1|MK634932.1|MK634961.1|MW728938.1|FJ159048.1|FJ159082.1|DV467376.1|KY801074.1|HQ129957.1|HQ129948.1|HQ129973.1|HQ129967.1|KY801148.1|KY800988.1|KY801045.1|KY801129.1|KY801049.1|MK634983.1|MK634965.1|MK634795.1|MK634898.1|MK634779.1|MT547807.1|FJ159010.1|KY800999.1|KY801040.1|KY801108.1|KY800921.1|KY801143.1|KY801000.1|KY800944.1|FJ159040.1|KF709204.1|FJ159043.1|AY616443.1|MK634783.1|MK634984.1|MK634950.1|FJ159059.1|KY801092.1|FJ159009.1|MT547794.1|MT547801.1|FJ159029.1|MW728918.1|HQ129966.1|HQ129942.1|MW728923.1|MW728936.1|FJ159077.1|MW728928.1|FJ159058.1|FJ159031.1|MW728924.1|DN161339.1|DQ523682.1|FJ159024.1|EU329154.1|MW728917.1|HQ129947.1","Carcinus maenas","1",793
"Cardiomya striata","Cardiomya striata","mollusca","GoMA_census_fauna","Cardiomya striata","Cardiomya striata",0,0,"","",NA,"na","na","na",0
"Cardita borealis","Cardita borealis","mollusca","GoMA_census_fauna","Cardita borealis","Cardita borealis",0,0,"","",NA,"na","na","na",0
"Caridion gordoni","Caridion gordoni","arthropoda","GoMA_census_fauna","Caridion gordoni","Caridion gordoni",0,2,"","1430075185|1430074664",2,"MG935103.1|MG934930.1","Caridion gordoni","1",2
"Casco bigelowi","Casco bigelowi","arthropoda","GoMA_census_fauna","Casco bigelowi","Casco bigelowi",0,0,"","",NA,"na","na","na",0
"Catablema vesicarium","Catablema vesicarium","cnidaria","GoMA_census_fauna","Catablema vesicarium","Catablema vesicarium",0,2,"","2070381953|1509159637",2,"MZ580888.1|MG421028.1","Catablema vesicarium","1",2
"Catriona aurantia","Catriona aurantia","mollusca","GoMA_census_fauna","Catriona aurantia","Catriona aurantia",0,1,"","1371546506",1,"KY985467.1","Catriona aurantia","1",1
"Catriona gymnota","Catriona gymnota","mollusca","GoMA_census_fauna","Catriona gymnota","Catriona gymnota",0,3,"","1430075211|1125607762|1125607760",3,"MG935111.1|KY128908.1|KY128907.1","Catriona gymnota|Cuthona gymnota","2",3
"Caulleriella fragilis","Caulleriella fragilis","annelida","GoMA_census_fauna","Caulleriella fragilis","Caulleriella fragilis",0,0,"","",NA,"na","na","na",0
"Cauloramphus cymbaeformis","Cauloramphus cymbaeformis","bryozoan","GoMA_census_fauna","Cauloramphus cymbaeformis","Cauloramphus cymbaeformis",0,0,"","",NA,"na","na","na",0
"Cavolinia gibbosa","Cavolinia gibbosa","mollusca","GoMA_census_fauna","Cavolinia gibbosa","Cavolinia gibbosa",0,6,"","1778650408|1778650406|1778650404|1778650402|241947728|482667750",5,"MK913378.1|MK913377.1|MK913376.1|MK913375.1|FJ876856.1|KC774033.1","Cavolinia gibbosa","1",6
"Cavolinia inflexa","Cavolinia inflexa","mollusca","GoMA_census_fauna","Cavolinia inflexa","Cavolinia inflexa",0,20,"","2055882837|2055882833|2055882827|2055882825|2055882823|2055882821|2055882819|2055882817|2055882815|2055882813|2055882811|2055882809|2055882755|2055882528|2055882526|1208325200|1208325198|482667756|482667746|482667744",20,"MW125433.1|MW125431.1|MW125428.1|MW125427.1|MW125426.1|MW125425.1|MW125424.1|MW125423.1|MW125422.1|MW125421.1|MW125420.1|MW125419.1|MW125392.1|MW125342.1|MW125341.1|MF048914.1|MF048913.1|KC774036.1|KC774031.1|KC774030.1","Cavolinia inflexa","1",20
"Cavolinia longirostris","Cavolinia longirostris","mollusca","GoMA_census_fauna","Cavolinia longirostris","Cavolinia longirostris",0,79,"","2055882765|2055882763|2055882761|2055882757|2055882753|2055882751|2055882689|2055882687|2055882685|2055882683|2055882681|2055882679|2055882677|2055882675|2055882648|2055882644|2055882641|2055877721|1778650436|241947736|241947734|482667754|443540616|443540614|443540612|443540610|443540608|443540606|443540604|443540602|443540600|443540598|443540596|443540594|443540592|443540590|443540588|443540586|443540584|443540582|443540580|443540578|443540576|443540574|443540572|443540570|443540568|443540566|443540564|443540562|443540560|443540558|443540556|443540554|443540552|443540550|443540548|443540546|443540544|443540542|443540540|443540538|443540536|443540534|443540532|443540530|443540528|443540526|443540524|443540522|443540520|443540518|443540516|443540514|443540512|443540510|443540508|443540506|443540504",70,"MW125397.1|MW125396.1|MW125395.1|MW125393.1|MW125391.1|MW125390.1|MW125359.1|MW125353.1|JX183605.1|JX183604.1|JX183588.1|JX183572.1|MW125358.1|MW125357.1|MW125356.1|MW125355.1|MW125354.1|MW125352.1|MW125351.1|MW125350.1|MW125349.1|MW125303.1|JX183598.1|MK913392.1|FJ876860.1|FJ876859.1|KC774035.1|JX183616.1|JX183615.1|JX183614.1|JX183613.1|JX183574.1|JX183612.1|JX183611.1|JX183609.1|JX183599.1|JX183610.1|JX183608.1|JX183607.1|JX183606.1|JX183603.1|JX183602.1|JX183601.1|JX183600.1|JX183597.1|JX183596.1|JX183595.1|JX183594.1|JX183593.1|JX183592.1|JX183591.1|JX183590.1|JX183589.1|JX183587.1|JX183586.1|JX183585.1|JX183584.1|JX183583.1|JX183582.1|JX183581.1|JX183580.1|JX183579.1|JX183578.1|JX183577.1|JX183576.1|JX183575.1|JX183573.1|JX183571.1|JX183570.1|JX183569.1|JX183568.1|JX183567.1|JX183566.1|JX183565.1|JX183564.1|JX183563.1|JX183562.1|JX183561.1|JX183560.1","Cavolinia longirostris","1",79
