"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Haliclona permollis","Haliclona permollis","porifera","GoMA_census_fauna","Haliclona permollis","Haliclona permollis",0,3,"","349587293|158937697|158937682",3,"JN242198.1|EF655738.1|EF655730.1","Haliclona permollis","1",3
"Haliclystus auricula","Haliclystus auricula","cnidaria","GoMA_census_fauna","Haliclystus auricula","Haliclystus auricula",0,4,"","1407918098|1407918065|1407918006|1407918004",3,"MF346312.1|MF346311.1|MF346310.1|MF346309.1","Haliclystus auricula","1",4
"Haliclystus octoradiatus","Haliclystus octoradiatus","cnidaria","GoMA_census_fauna","Haliclystus octoradiatus","Haliclystus octoradiatus",0,1,"","1025756836",1,"KU257476.1","Haliclystus octoradiatus","1",1
"Haliclystus salpinx","Haliclystus salpinx","cnidaria","GoMA_census_fauna","Haliclystus salpinx","Haliclystus salpinx",0,0,"","",NA,"na","na","na",0
"Halimocyathus lagena","Halimocyathus lagena","cnidaria","GoMA_census_fauna","Halimocyathus lagena","Halimocyathus lagena",0,0,"","",NA,"na","na","na",0
"Halimocyathus platypus","Halimocyathus platypus","cnidaria","GoMA_census_fauna","Halimocyathus platypus","Halimocyathus platypus",0,0,"","",NA,"na","na","na",0
"Haliplanella lineata","Haliplanella lineata","cnidaria","GoMA_census_fauna","Haliplanella lineata","Haliplanella lineata",2,12,"1796333065|1714791189","2432719034|2432718832|2432718704|2432717686|1563835352|1563835070|1391840464|1391840442|1391840424|1391840320|1391840104|983657617",5,"OQ323330.1|OQ323229.1|OQ323165.1|OQ322656.1|MK308196.1|MK308045.1|MH087697.1|MH087636.1|MH087708.1|MH087688.1|MH087528.1|KT428763.1|NC_045515.1|MH699974.1","Haliplanella lineata","1",14
"Haliplectus cylindrocaudatus","Haliplectus cylindrocaudatus","nematoda","GoMA_census_fauna","Haliplectus cylindrocaudatus","Haliplectus cylindrocaudatus",0,0,"","",NA,"na","na","na",0
"Halisarca dujardini","Halisarca dujardini","porifera","GoMA_census_fauna","Halisarca dujardini","Halisarca dujardini",2,3,"164420980|158668134","1917865983|1489968542|1373509175",4,"MW139668.1|MG421851.1|MG808392.1|NC_010212.1|EU237483.1","Halisarca dujardini","1",5
"Halitiara formosa","Halitiara formosa","cnidaria","GoMA_census_fauna","Halitiara formosa","Halitiara formosa",0,0,"","",NA,"na","na","na",0
"Haloclava producta","Haloclava producta","cnidaria","GoMA_census_fauna","Haloclava producta","Haloclava producta",2,3,"1834961991|1822247807","2432719126|2432718342|2432718068",2,"OQ323376.1|OQ322984.1|OQ322847.1|NC_047218.1|MN076185.1","Haloclava producta","1",5
"Halocynthia pyriformis","Halocynthia pyriformis","chordata","GoMA_census_fauna","Halocynthia pyriformis","Halocynthia pyriformis",0,6,"","220063585|1509160821|1489968842|320516267|158342337|158253229",6,"FJ528610.1|MG421480.1|MG422001.1|HQ938400.1|EU178861.1|EU178858.1","Halocynthia pyriformis","1",6
"Halopsis ocellata","Halopsis ocellata","cnidaria","GoMA_census_fauna","Halopsis ocellata","Halopsis ocellata",0,10,"","2452997587|2452997585|2452997583|2452997579|2384788760|2384788757|2384788754|2384788751|2384788748|1327835854",8,"OQ031464.1|OQ031463.1|OQ031460.1|OQ031462.1|OP945756.1|OP945755.1|OP945754.1|OP945753.1|OP945752.1|MF000506.1","Halopsis ocellata","1",10
"Haminoea solitaria","Haminoea solitaria","mollusca","GoMA_census_fauna","Haminoea solitaria","Haminoea solitaria",0,7,"","2432719148|2432718570|2432718388|2432718346|2432717990|2432717802|1386666082",3,"OQ323387.1|OQ322986.1|OQ322808.1|MH235932.1|OQ323098.1|OQ323007.1|OQ322714.1","Haminoea solitaria","1",7
"Hanleya dalli","Hanleya dalli","mollusca","GoMA_census_fauna","Hanleya dalli","Hanleya dalli",0,0,"","",NA,"na","na","na",0
"Hanleya hanleyi","Hanleya hanleyi","mollusca","GoMA_census_fauna","Hanleya hanleyi","Hanleya hanleyi",0,0,"","",NA,"na","na","na",0
"Hanleya mendicaria","Hanleya mendicaria","mollusca","GoMA_census_fauna","Hanleya mendicaria","Hanleya mendicaria",0,0,"","",NA,"na","na","na",0
"Hanleya nagelfar","Hanleya negalfar","mollusca","GoMA_census_fauna","Hanleya negalfar","Hanleya nagelfar",0,0,"","",NA,"na","na","na",0
"Haploops fundiensis","Haploops fundiensis","arthropoda","GoMA_census_fauna","Haploops fundiensis","Haploops fundiensis",0,0,"","",NA,"na","na","na",0
"Haploops setosa","Haploops setosa","arthropoda","GoMA_census_fauna","Haploops setosa","Haploops setosa",0,0,"","",NA,"na","na","na",0
"Haploops spinosa","Haploops spinosa","arthropoda","GoMA_census_fauna","Haploops spinosa","Haploops spinosa",0,0,"","",NA,"na","na","na",0
"Haploops tubicola","Haploops tubicola","arthropoda","GoMA_census_fauna","Haploops tubicola","Haploops tubicola",0,4,"","1430075544|1430074529|1495348284|1495347490",3,"MG935220.1|MG934885.1|MG311276.1|MG310879.1","Haploops tubicola","1",4
"Haploscoloplos fragilis","Haploscoloplos fragilis","annelida","GoMA_census_fauna","Haploscoloplos fragilis","Haploscoloplos fragilis",0,0,"","",NA,"na","na","na",0
"Haploscoloplos robustus","Haploscoloplos robustus","annelida","GoMA_census_fauna","Haploscoloplos robustus","Haploscoloplos robustus",0,0,"","",NA,"na","na","na",0
"Harmothoe extenuata","Harmothoe extenuata","annelida","GoMA_census_fauna","Harmothoe extenuata","Harmothoe extenuata",0,2,"","2250419666|1383527875",2,"ON716038.1|MH242783.1","Harmothoe extenuata","1",2
