"source_binomial","phylum","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Sarsia mirabilis","cnidaria","GoMA_census_fauna","Sarsia mirabilis","Sarsia mirabilis","Sarsia mirabilis","0","35","","2493869183|2493869176|2493869173|2493869170|2493869167|2493869164|2493869158|2493869151|2493869145|2493869142|2493869139|2493869070|2493869041|2493868981|2493868834|270271818|270271816|1832602130|1832602112|1832602108|1832602096|1832602086|1832602084|1832602072|1832602068|321487643|321487641|321487633|1377046381|1377046379|1377046377|515424703|515424701|515424698|410833464"
"Sarsia tubulosa","cnidaria","GoMA_census_fauna","Sarsia tubulosa","Sarsia tubulosa","Sarsia tubulosa","0","35","","2493869183|2493869176|2493869173|2493869170|2493869167|2493869164|2493869158|2493869151|2493869145|2493869142|2493869139|2493869070|2493869041|2493868981|2493868834|270271818|270271816|1832602130|1832602112|1832602108|1832602096|1832602086|1832602084|1832602072|1832602068|321487643|321487641|321487633|1377046381|1377046379|1377046377|515424703|515424701|515424698|410833464"
"Sarsiella zostericola","arthropoda","GoMA_census_fauna","Sarsiella zostericola","Sarsiella zostericola","Sarsiella zostericola","0","0","",""
"Sayella fusca","mollusca","GoMA_census_fauna","Sayella fusca","Sayella fusca","Sayella fusca","0","0","",""
"Scabrotrophon fabricii","mollusca","GoMA_census_fauna","Scabrotrophon fabricii","Scabrotrophon fabricii","Scabrotrophon fabricii","0","2","","1489973187|564733631"
"Scalibregma inflatum","annelida","GoMA_census_fauna","Scalibregma inflatum","Scalibregma inflatum","Scalibregma inflatum","0","1","","1015812526"
"Scalibregma minutum","annelida","GoMA_census_fauna","Scalibregma minutum","Scalibregma minutum","Scalibregma minutum","0","0","",""
"Scaphander nobilis","mollusca","GoMA_census_fauna","Scaphander nobilis","Scaphander nobilis","Scaphander nobilis","0","3","","2060203634|2060203632|1894822554"
"Scaphander punctostriatus","mollusca","GoMA_census_fauna","Scaphander punctostriatus","Scaphander punctostriatus","Scaphander punctostriatus","0","7","","2060203648|480474604|480474602|480474600|480474598|480474596|480474594"
"Schistomeringos caeca","annelida","GoMA_census_fauna","Schistomeringos caeca","Schistomeringos caeca","Schistomeringos caeca","0","0","",""
"Schizomavella auriculata","bryozoan","GoMA_census_fauna","Schizomavella auriculata","Schizomavella auriculata","Schizomavella auriculata","0","0","",""
"Schizoporella biperta","bryozoan","GoMA_census_fauna","Schizoporella biperta","Schizoporella biaperta","Schizoporella biaperta","0","0","",""
"Schizoporella obesa","bryozoan","GoMA_census_fauna","Schizoporella obesa","Schizoporella obesa","Schizoporella obesa","0","0","",""
"Schizoporella unicornis","bryozoan","GoMA_census_fauna","Schizoporella unicornis","Schizoporella unicornis","Schizoporella unicornis","0","0","",""
"Schizotricha tenella","cnidaria","GoMA_census_fauna","Schizotricha tenella","Schizotricha tenella","Schizotricha tenella","0","0","",""
"Sclerocrangon boreas","arthropoda","GoMA_census_fauna","Sclerocrangon boreas","Sclerocrangon boreas","Sclerocrangon boreas","0","33","","1502974136|1502974130|1502973265|1502970351|1502969008|1502967448|1497451826|1497450914|1497450336|1497447562|1495352992|1495351982|1495348790|1495348576|1495348206|1495347376|1495347056|296743732|296743730|296743728|116614077|116614075|116614073|116614071|116614069|220030575|220030573|220030571|220030569|220030567|220030565|220030563|116607517"
"Sclerodactyla briareus","echinodermata","GoMA_census_fauna","Sclerodactyla briareus","Sclerodactyla briareus","Sclerodactyla briareus","0","2","","2432718428|1154256461"
"Scolecithricella minor","arthropoda","GoMA_census_fauna","Scolecithricella minor","Scolecithricella minor","Scolecithricella minor","0","7","","1784330439|1784330437|1784330435|1784330433|239859672|239859670|10197790"
"Scolecithrix danae","arthropoda","GoMA_census_fauna","Scolecithrix danae","Scolecithrix danae","Scolecithrix danae","0","5","","2230305828|2230305826|193792210|193792208|193792206"
"Scoloplos acutus","annelida","GoMA_census_fauna","Scoloplos acutus","Scoloplos acutus","Scoloplos acutus","0","10","","299832946|305653615|305653613|305653611|305653609|305653607|305653605|305653603|305653601|299556053"
"Scoloplos armiger","annelida","GoMA_census_fauna","Scoloplos armiger","Scoloplos armiger","Scoloplos armiger","0","31","","305653623|305653621|305653619|305653617|1354702628|1354702404|1354702380|1354702204|1354702188|1354702064|1354701448|1354701298|1354701264|1354701228|304417550|304417548|304417546|299556133|299555893|299555845|299555839|299555837|299555833|299555715|299555713|299555711|299555659|299555657|299555655|299555529|584483265"
"Scoloplos fragilis","annelida","GoMA_census_fauna","Scoloplos fragilis","Scoloplos fragilis","Scoloplos fragilis","0","0","",""
"Scoloplos robustus","annelida","GoMA_census_fauna","Scoloplos robustus","Scoloplos robustus","Scoloplos robustus","0","0","",""
"Scypha ciliata","porifera","GoMA_census_fauna","Scypha ciliata","Scypha ciliata","Scypha ciliata","0","1","","995896708"
"Seguenzia monocingulata monocingulata","mollusca","GoMA_census_fauna","Seguenzia monocingulata monocingulata","Seguenzia monocingulata monocingulata","Seguenzia monocingulata monocingulata","0","0","",""
"Seison annulatus","rotifera","GoMA_census_fauna","Seison annulatus","Seison annulatus","Seison annulatus","0","0","",""
"Seison nebaliae","rotifera","GoMA_census_fauna","Seison nebaliae","Seison nebaliae","Seison nebaliae","0","1","","83285114"
"Selaginopsis cylindrica","cnidaria","GoMA_census_fauna","Selaginopsis cylindrica","Selaginopsis cylindrica","Selaginopsis cylindrica","0","0","",""
