"source_binomial","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Anatidae affinis","HarrisonGoldspiel_LandVertsNortheast","Anatidae affinis","Anatidae","Anatidae","143","630","2325199580|2301311335|2301311321|2299193294|2296000886|2275335133|2202293716|2172614103|2148245680|2147638624|2147638610|2132858599|2088244577|2070976013|1939457591|240266654|154125702|2046218674|2029858725|2029858711|2029858697|2029858683|2029858669|2029858655|2029858641|2029858627|2029858613|2029858599|2029858585|2029858571|2029858557|2029858543|2029858529|2008115042|1980529011|1972803994|1972803888|1958836391|1958836377|1958836363|1919575123|1909392893|1898549258|1898549244|1783497373|1777393319|1777083672|1772810710|1750939978|1583107605|1580139359|1580139345|1040461296|1040461282|1511251967|1496230991|1481358124|1338000199|1245686026|1245686012|1245685998|1245685984|1070067940|209887473|209887459|198387228|197131205|67005507|63004234|4887659|325126972|291464798|27764476|957740646|1001824344|948299546|939710435|814557319|821318271|913022844|909720593|817597747|821318257|817597733|675023224|675023238|671729212|817598365|756762052|755571791|722491577|558613890|553831960|702074663|574450742|688074671|507474041|459664566|459664552|674840596|671729102|669032163|669032065|672424639|672424625|672424611|672106529|670800412|670800394|669034775|545691648|662036138|662020141|658355497|655168110|608788124|575669457|190349328|598324080|599088153|482514291|189342999|594543161|565672465|546143674|545601028|532694967|532165062|383931270|372292047|331746922|240266668|84488706|66276016|5835932|197935720|27819328|189342985|374429580|323301359|189342971|151327672|330369629","2308378310|2308378308|2234448406|2234448405|2234448404|2234448403|2234448402|2234448401|2234448400|2234448399|2234448398|2234448397|2234448396|2234448395|2234448394|2234448393|2234448392|2234448391|2234448390|2234448389|2234448388|2234448387|2234448386|2234448385|2234448384|2234448383|2234448382|2234448381|2234448380|2234448379|2234448378|2234448377|2234448376|2234448375|2234448374|2234448373|2234448372|2234448371|2234448370|2234448369|2234448368|2234448367|2234448366|2234448365|2234448364|2234448363|2234448362|2234448357|2234448356|2235968482|2033670081|2033670078|2033670077|2033670074|2033670071|2033670070|2033670063|2033670062|2022838846|2022838844|1961334357|1944770766|1865211190|1802844852|528076061|528076039|528075774|528075641|1496917927|1103592|1190063320|1139382391|957740660|800909420|557643622|557643614|557643613|557643612|557643611|431832293|431832292|431832291|431832290|431832289|431832288|431832287|431832286|431832285|431832284|431832283|431832282|431832281|431832280|431832279|374676790|374676789|374676788|374676787|374676786|374676780|374676779|374676778|374676777|374676776|374676775|374676774|374676773|374676772|389984943|389984942|389984941|389984940|389984939|389984938|389984937|389984936|389984935|389984934|389984933|389984932|389984931|389984930|389984929|389984928|389984927|389984926|389984925|389984924|389984923|389984922|389984921|389984920|389984919|389984918|389984917|389984916|389984915|389984914|389984913|389984912|389984911|389984910|389984909|389984908|389984907|389984906|389984905|389984904|389984903|389984902|389984901|389984900|389984899|389984898|389984897|389984896|389984895|389984894|389984893|389984892|389984891|389984890|389984889|389984888|389984887|389984886|389984885|389984884|389984883|389984882|389984881|389984880|389984879|389984878|389984877|389984876|389984875|389984874|389984873|389984872|389984871|389984870|389984869|389984868|389984867|389984866|389984865|389984864|389984863|389984862|389984861|389984860|389984859|389984858|389984857|389984856|389984855|389984854|389984853|389984852|389984851|389984850|1945489|349831685|349831684|349831683|349831682|349831681|349831680|349831679|349831678|349831677|349831676|349831675|349831674|349831673|349831672|349831671|349831670|349831669|349831668|349831667|349831666|349831665|349831664|349831663|349831662|349831661|349831660|349831659|349831658|349831657|349831656|349831655|349831654|349831653|349831652|349831651|349831650|349831649|349831648|349831647|349831646|349831645|349831644|349831643|349831642|349831641|349831640|349831639|349831638|349831637|349831636|349831635|349831634|349831633|349831632|349831631|349831630|349831629|349831628|349831627|349831626|349831625|349831624|349831623|349831622|349831621|349831620|349831619|349831618|349831617|349831616|349831615|349831614|349831613|349831612|349831611|349831610|349831609|349831608|349831607|349831606|349831605|349831604|349831603|349831602|349831601|349831600|349831599|349831598|349831597|349831596|349831595|349831594|349831593|349831592|349831591|349831590|349831589|349831588|349831587|349831586|349831585|349831584|349831583|349831582|349831581|349831580|349831579|349831578|349831577|349831576|349831575|349831574|349831573|349831572|349831571|349831570|349831569|349831568|349831567|349831566|349831565|349831564|349831563|349831562|349831561|349831560|349831559|349831558|349831557|349831556|349831555|349831554|349831553|349831552|349831551|349831550|349831549|349831548|349831547|349831546|349831545|349831544|349831543|349831542|349831541|349831540|349831539|349831538|349831537|349831536|349831535|349831534|349831533|349831532|349831531|349831530|349831529|349831528|349831527|349831526|349831525|349831524|349831523|349831522|349831521|349831520|349831519|349831518|349831517|349831516|349831515|349831514|349831513|349831512|349831511|349831510|349831509|349831508|349831507|349831506|349831505|349831504|349831503|349831502|349831501|349831500|349831499|349831498|349831497|349831496|349831495|349831494|349831493|349831492|349831491|349831490|349831489|349831488|349831487|349831486|349831485|349831484|349831483|349831482|349831481|349831480|349831479|349831478|349831477|349831476|349831475|349831474|349831473|349831472|349831471|349831470|349831469|349831468|349831467|349831466|349831465|349831464|349831463|349831462|349831461|349831460|349831459|349831458|349831457|349831456|349831455|349831454|349831453|349831452|349831451|349831450|349831449|349831448|349831447|349831446|349831445|349831444|349831443|349831442|349831441|349831440|349831439|349831438|6318719|6318718|6318717|6318716|6318715|6318714|6318713|6318712|6318711|6318710|6318709|6318708|6318707|6318706|6318705|6318704|6318703|6318702|6318701|6318700|6318699|6318698|6318697|6318696|6318695|6318694|6318693|6318692|6318691|6318690|6318689|6318688|6318687|6318686|294999474|294999473|294999472|294999471|294999470|294999469|294999468|294999467|294999466|294999465|294999464|294999463|294999462|294999461|294999460|294999459|294999458|294999457|294999456|294999455|294999454|294999453|294999452|294999451|294999450|294999449|294999448|294999447|294999446|294999445|294999444|294999443|294999442|294999441|294999440|294999439|294999438|294999437|294999436|294999435|294999434|294999433|294999432|294999431|294999430|294999429|294999428|294999427|294999426|294999425|294999424|294999423|294999422|294999421|294999420|294999419|294999418|294999417|294999416|294999415|294999414|294999413|294999412|294999411|294999410|294999409|294999408|294999407|294999406|294999405|294999404|294999403|294999402|294999401|294999400|294999399|294999398|294999397|294999396|294999395|294999394|294999393|294999392|291603457|290878007|290878006|113120246|113120245|113120244|113120243|113120242|113120241|53986575|53986574|53986573|53986572|53986571|53986570|37725797|37725796|37725795|37725794|37725793|37725792|37725791|37725790|37725789|37725788|37725787|37725786|37725785|37725784|37725783|37725782|37725781|37725780|37725779|158935691|21522835|35757856|35757854|22901834|2213766|2213756|2213712|2213711|2213696|2213690|2213681|2213678|2213672|5738213|5738212|5738211|5738210|5738209|5738208|5738207|5738206|290376|289847|1399872|1399870|13960|347881"
"Anaxyrus americanus","HarrisonGoldspiel_LandVertsNortheast","Anaxyrus americanus","Anaxyrus americanus","Anaxyrus americanus","2","11","1822248060|1834962145","253971167|77176498|56122836|56122831|56122830|56122829|692113845|50896981|147886343|7672891|1777785"
"Anaxyrus fowleri","HarrisonGoldspiel_LandVertsNortheast","Anaxyrus fowleri","Anaxyrus fowleri","Anaxyrus fowleri","0","20","","77176523|56122849|56122848|56122837|125634345|125634339|125634338|125634337|125634336|125634335|125634334|125634333|125634332|125634331|125634330|125634329|125634328|125634327|125634326|125634325"
"Aneides aneides","HarrisonGoldspiel_LandVertsNortheast","Aneides aneides","Aneides","Aneides","4","313","51979939|51979771|53686488|53686474","1967466862|1967466861|1967466860|1967466859|1967466858|1967466857|1967466856|1967466855|1967466854|1967466853|1967466852|1967466851|1967466850|1967466849|1967466848|1967466847|1967466846|1967466845|1967466844|1967466843|1967466842|1967466841|1967466840|1967466839|1967466838|1967466837|1967466836|1967466835|1967466834|1967466833|1967466832|1967466831|1967466830|1967466829|1967466828|1967466827|1967466826|1967466825|1967466824|1967466823|1967466822|1967466821|1967466820|1967466819|1967466818|1967466817|1967466816|1967466815|1967466814|1967466813|1967466812|1967466811|1967466810|1967466809|1967466808|1967466807|1967466806|1967466805|1967466804|1967466803|1967466802|1967466801|1967466800|1967466799|1967466798|1967466797|1967466796|1967466795|1967466794|1967466793|1967466792|1967466791|763656824|763656822|763656820|763656818|763656816|763656814|763656812|763656810|763656808|763656806|763656804|763656802|763656800|763656798|763656796|763656794|763656792|763656790|763656788|763656786|763656784|763656782|763656780|763656778|763656776|763656774|763656772|763656770|763656768|763656766|763656764|763656762|763656760|763656759|763656758|763656757|763656756|763656755|763656754|763656753|763656752|763656751|763656749|763656747|763656745|763656743|763656741|763656739|763656737|763656735|763656733|763656731|763656729|763656727|763656725|763656723|763656722|763656720|763656718|763656716|763656714|763656712|763656710|763656708|763656707|763656706|763656705|763656704|763656703|763656702|763656701|763656700|763656698|763656696|763656694|763656692|763656690|763656688|763656686|763656684|763656682|763656680|763656678|763656676|763656674|763656672|763656670|763656668|763656666|763656664|763656662|763656660|763656658|763656656|763656654|763656652|763656650|763656648|763656646|763656644|763656642|763656640|763656638|763656636|763656634|763656632|763656630|763656628|763656626|763656625|763656624|763656623|763656622|763656621|763656620|763656619|763656618|763656616|763656614|763656612|763656610|763656608|763656606|763656604|763656602|763656600|763656598|763656596|763656594|763656592|763656590|763656588|763656586|763656584|763656582|763656580|763656578|763656576|763656574|763656572|763656570|763656568|763656566|763656564|763656562|763656560|763656558|763656556|763656554|763656552|763656550|763656528|536463580|536463579|536463578|536463577|536463576|536463575|536463574|536463573|536463572|536463571|536463570|536463569|536463568|536463567|536463566|536463565|536463564|536463563|536463562|536463561|536463560|536463559|536463558|536463557|536463556|536463555|536463554|536463553|536463552|536463551|536463550|536463549|536463548|536463547|536463546|536463545|536463544|536463543|536463542|536463541|536463540|536463539|536463538|536463537|536463536|33772929|33772928|33772927|33772926|33772925|33772924|33772923|33772922|33772921|33772920|33772919|33772918|33772917|33772916|33772915|33772914|33772913|33772912|33772911|33772910|33772909|33772908|33772907|33772906|33772905|33772904|33772903|33772902|33772901|33772900|33772899|33772898|33772897|33772896|33772895|33772894|33772893|33772892|33772891|33772890|33772889|33772888|33772887|33772886"
"Anguilla rostrata","ReneeFrancolini_MaineFish","Anguilla rostrata","Anguilla rostrata","Anguilla rostrata","51","9","1935001826|597441108|597440352|597440338|597440324|597440310|597440296|597440282|597440268|597440254|597440240|597440226|597440212|597440198|597440184|597440170|597440156|597440142|597440128|597440114|597440100|597440086|597440072|597440058|597440044|597440030|597440016|597440002|597439988|597439974|597439960|597439946|597439932|597439918|597439904|597439890|597439876|597439862|597439848|597439834|597439820|597439806|597439792|597439778|597439764|597439750|597439736|597439722|597439708|597439694|325278752","2309725953|2082965259|2082965256|222431092|241914310|12248862|14279249|14279248|1711308"
"Anhinga anhinga","HarrisonGoldspiel_LandVertsNortheast","Anhinga anhinga","Anhinga anhinga","Anhinga anhinga","0","2","","1863294856|61139600"
"Anous stolidus","HarrisonGoldspiel_LandVertsNortheast","Anous stolidus","Anous stolidus","Anous stolidus","0","1","","54660067"
"Anser albifrons","HarrisonGoldspiel_LandVertsNortheast","Anser albifrons","Anser albifrons","Anser albifrons","4","1","1511251967|1496230991|27764476|27819328","37725796"
"Anser brachyrhynchus","HarrisonGoldspiel_LandVertsNortheast","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","0","0","",""
"Anser caerulescens","HarrisonGoldspiel_LandVertsNortheast","Anser caerulescens","Anser caerulescens","Anser caerulescens","0","0","",""
