"search_name","source_binomial","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","unique_target_seqs_n","primer_matched_n","clamp_threshold1_n","clamp_threshold2_n","dup_accessions","dup_species","dup_species_n","n_target_all"
"Ambystoma opacum","Ambystoma opacum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma opacum","Ambystoma opacum",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ambystoma texanum","Ambystoma texanum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma texanum","Ambystoma texanum",2,0,"261888555|308745748","",1,1,1,1,"GU078471.1|NC_014571.1","Ambystoma texanum","1",2
"Ambystoma tigrinum","Ambystoma tigrinum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma tigrinum","Ambystoma tigrinum",2,2,"49066264|62161229","90296576|1041759",3,2,2,2,"DQ283407.1|U36419.1|AY659992.1|NC_006887.1","Ambystoma tigrinum","1",4
"Ammodramus savannarum","Ammogramus savannarum","HarrisonGoldspiel_LandVertsNortheast","Ammogramus savannarum","Ammodramus savannarum",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ammodytes americanus","Ammodytes americanus","ReneeFrancolini_MaineFish","Ammodytes americanus","Ammodytes americanus",2,1,"959122927|948550323","109158843",2,1,1,1,"DQ533154.1|NC_028530.1|KT723027.1","Ammodytes americanus","1",3
"Ammospiza caudacuta","Ammospiza caudacuta","HarrisonGoldspiel_LandVertsNortheast","Ammospiza caudacuta","Ammospiza caudacuta",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ammospiza leconteii","Ammospiza leconteii","HarrisonGoldspiel_LandVertsNortheast","Ammospiza leconteii","Ammospiza leconteii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ammospiza maritima","Ammospiza maritima","HarrisonGoldspiel_LandVertsNortheast","Ammospiza maritima","Ammospiza maritima",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ammospiza nelsoni","Ammospiza nelsoni","HarrisonGoldspiel_LandVertsNortheast","Ammospiza nelsoni","Ammospiza nelsoni",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Anarhichas lupus","Anarhichas lupus","ReneeFrancolini_MaineFish","Anarhichas lupus","Anarhichas lupus",88,2,"1898139894|1188236422|1188236408|1188236394|1188236380|1188236366|1188236352|1188236338|1188236324|1188236310|1188236296|1188236282|1188236268|1188236254|1188236240|1188236226|1188236212|1188236198|1188236184|1188236170|1188236156|1188236142|1188236128|1188236114|1188236100|1188236086|1188236072|1188236058|1188236044|1188236030|1188236016|1188236002|1188235988|1188235974|1188235960|1188235946|1188235932|1188235918|1188235904|1188235890|1188235876|1188235862|1188235848|1188235834|1188235820|1188235806|1188235792|1188235778|1188235764|1188235750|1188235736|1188235722|1188235708|1188235694|1188235680|1188235666|1188235652|1188235638|1188235624|1188235610|1188235596|1188235582|1188235568|1188235554|1188235540|1188235526|1188235512|1188235498|1188235484|1188235470|1188235456|1188235442|1188235428|1188235414|1188235400|1188235386|1188235372|1188235358|1188235344|1188235330|1188235316|1188235302|1188235288|1188235274|1188235260|1188235246|156765953|146160759","1209184850|1916875",19,17,17,17,"LC278203.1|U87413.1|MT410929.1|KX118005.1|KX118001.1|KX117996.1|KX117995.1|KX117994.1|KX117992.1|KX117991.1|KX117990.1|KX117989.1|KX117988.1|KX117986.1|KX117985.1|KX117975.1|KX117973.1|KX117972.1|KX117966.1|KX117965.1|KX117963.1|KX117961.1|KX117958.1|KX117957.1|KX117956.1|KX117953.1|KX117952.1|KX117948.1|KX117947.1|KX117946.1|KX117943.1|KX117942.1|KX117940.1|KX117939.1|KX117937.1|KX117933.1|KX117932.1|KX117931.1|KX117930.1|KX117929.1|KX117928.1|KX117926.1|KX117924.1|KX117923.1|NC_009773.1|EF427916.1|KX118004.1|KX118003.1|KX117967.1|KX117944.1|KX117936.1|KX118002.1|KX118000.1|KX117984.1|KX117982.1|KX117980.1|KX117979.1|KX117978.1|KX117977.1|KX117976.1|KX117971.1|KX117968.1|KX117959.1|KX117954.1|KX117951.1|KX117950.1|KX117941.1|KX117938.1|KX117921.1|KX117999.1|KX117998.1|KX117997.1|KX117993.1|KX117983.1|KX117987.1|KX117981.1|KX117974.1|KX117970.1|KX117969.1|KX117945.1|KX117927.1|KX117964.1|KX117962.1|KX117955.1|KX117960.1|KX117922.1|KX117949.1|KX117935.1|KX117934.1|KX117925.1","Anarhichas lupus","1",90
