"search_name","source_binomial","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","unique_target_seqs_n","primer_matched_n","clamp_threshold1_n","clamp_threshold2_n","dup_accessions","dup_species","dup_species_n","n_target_all"
"Histrionicus histrionicus","Histrionicus histrionicus","HarrisonGoldspiel_LandVertsNortheast","Histrionicus histrionicus","Histrionicus histrionicus",1,1,"2029858669","6318715",1,NA,NA,NA,"AF173713.1","Histrionicus histrionicus","1",2
"Hydrobates castro","Hydrobates castro","HarrisonGoldspiel_LandVertsNortheast","Hydrobates castro","Hydrobates castro",3,0,"1607264013|1600727180|1572790703","",2,2,2,2,"MK170187.1|NC_041251.1|MH433599.1","Hydrobates castro","1",3
"Hydrobates leucorhous","Hydrobates leucorhous","HarrisonGoldspiel_LandVertsNortheast","Hydrobates leucorhous","Hydrobates leucorhous",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Hydrocoleus minutus","Hydrocoleus minutus","HarrisonGoldspiel_LandVertsNortheast","Hydrocoleus minutus","Hydrocoleus minutus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Hydroprogne caspia","Hydroprogne caspia","HarrisonGoldspiel_LandVertsNortheast","Hydroprogne caspia","Hydroprogne caspia",0,2,"","109657935|54660082",2,1,1,1,"DQ674569.1|AY631336.1","Hydroprogne caspia","1",2
"Hyla andersonii","Hyla andersonii","HarrisonGoldspiel_LandVertsNortheast","Hyla andersonii","Hyla andersonii",24,4,"2248505923|2231657241|2231657213|2231657199|2231657185|2231657171|2231657157|2231657143|2231657115|2231657101|2231657073|2231657059|2231657045|2231657031|2231657017|2231657003|2231656989|2231656975|2231656961|2231656947|2231656933|2231656919|2231656905|2231656891","61697209|148524023|148524022|33943770",19,19,19,19,"AY843598.1|EF566956.1|EF566955.1|AY291115.1|NC_063648.1|MW002703.1|MW002697.1|MW002696.1|MW002721.1|MW002719.1|MW002714.1|MW002718.1|MW002717.1|MW002715.1|MW002716.1|MW002712.1|MW002711.1|MW002709.1|MW002708.1|MW002707.1|MW002706.1|MW002705.1|MW002704.1|MW002702.1|MW002701.1|MW002700.1|MW002699.1|MW002698.1","Hyla andersonii","1",28
"Hyla chrysoscelis","Hyla chrysoscelis","HarrisonGoldspiel_LandVertsNortheast","Hyla chrysoscelis","Hyla chrysoscelis",0,4,"","148524016|148524015|298200434|33943771",4,4,4,4,"EF566949.1|EF566948.1|GU989082.1|AY291116.1","Hyla chrysoscelis","1",4
"Hyla versicolor","Hyla versicolor","HarrisonGoldspiel_LandVertsNortheast","Hyla versicolor","Hyla versicolor",2,4,"1806556880|1812094412","61697293|60735533|148524018|148524017",5,5,5,5,"AY843682.1|AY819441.1|EF566951.1|EF566950.1|MH087467.1|NC_045917.1","Hyla versicolor","1",6
"Hylocichla mustelina","Hylocichla mustelina","HarrisonGoldspiel_LandVertsNortheast","Hylocichla mustelina","Hylocichla mustelina",0,1,"","166707738",1,NA,NA,NA,"EU154487.1","Hylocichla mustelina","1",1
"Hyporhamphus unifasciatus","Hyporhamphus unifasciatus","ReneeFrancolini_MaineFish",NA,NA,0,2,"","2282139951|30840443",2,NA,NA,NA,"OP151316.1|AF231581.1","Hyporhamphus unifasciatus","1",2
"Icteria virens","Icteria virens","HarrisonGoldspiel_LandVertsNortheast","Icteria virens","Icteria virens",0,1,"","21644745",1,1,1,1,"AF447236.1","Icteria virens","1",1
"Icterus bullockii","Icterus bullockii","HarrisonGoldspiel_LandVertsNortheast","Icterus bullockii","Icterus bullockii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Icterus galbula","Icterus galbula","HarrisonGoldspiel_LandVertsNortheast","Icterus galbula","Icterus galbula",0,1,"","21644746",1,1,1,1,"AF447237.1","Icterus galbula","1",1
"Icterus spurius","Icterus spurius","HarrisonGoldspiel_LandVertsNortheast","Icterus spurius","Icterus spurius",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ictinia mississippiensis","Ictinia mississippiensis","HarrisonGoldspiel_LandVertsNortheast","Ictinia mississippiensis","Ictinia mississippiensis",0,1,"","281307565",1,1,1,1,"GQ264660.1","Ictinia mississippiensis","1",1
"Isurus oxyrinchus","Isurus oxyrinchus","ReneeFrancolini_MaineFish","Isurus oxyrinchus","Isurus oxyrinchus",6,11,"2131187842|2131187828|2131187814|1441458592|556505759|523500936","2307998542|2304349737|2282139791|1273064239|752502824|442539464|56405191|56405190|56405189|37722032|33317232",14,6,6,6,"LC729815.1|OP454395.1|OP151190.1|KY290583.1|AB938090.1|JX978306.1|AY830749.1|AY830748.1|AY830747.1|AY147894.1|AF447999.1|MZ923833.1|MZ923832.1|MZ923831.1|MF537044.1|NC_022691.1|KF361861.1","Isurus oxyrinchus","1",17
"Ixobrychus exilis","Ixobrychus exilis","HarrisonGoldspiel_LandVertsNortheast","Ixobrychus exilis","Ixobrychus exilis",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ixoreus naevius","Ixoreus naevius","HarrisonGoldspiel_LandVertsNortheast","Ixoreus naevius","Ixoreus naevius",0,1,"","166707739",1,NA,NA,NA,"EU154488.1","Ixoreus naevius","1",1
"Junco hyemalis","Junco hyemalis","HarrisonGoldspiel_LandVertsNortheast","Junco hyemalis","Junco hyemalis",0,4,"","1917172135|21644747|19481513|2213770",4,3,3,3,"MN356413.1|AF447238.1|AF407087.1|U86139.1","Junco hyemalis","1",4
"Kinosternon subrubrum","Kinosternon subrubrum","HarrisonGoldspiel_LandVertsNortheast","Kinosternon subrubrum","Kinosternon subrubrum",0,2,"","523451693|523451692",2,NA,NA,NA,"KF301287.1|KF301286.1","Kinosternon subrubrum","1",2
"Lachnolaimus maximus","Lachnolaimus maximus","ReneeFrancolini_MaineFish","Lachnolaimus maximus","Lachnolaimus maximus",0,3,"","109158908|33569497|194351320",3,2,2,2,"DQ533219.1|AY279618.1|EU601225.1","Lachnolaimus maximus","1",3
"Lactophrys trigonus","Lactophrys trigonus","ReneeFrancolini_MaineFish","Lactophrys trigonus","Lactophrys trigonus",0,1,"","2277778005",1,NA,NA,NA,"OP088671.1","Lactophrys trigonus","1",1
"Lagocephalus laevigatus","Lagocephalus laevigatus","ReneeFrancolini_MaineFish","Lagocephalus laevigatus","Lagocephalus laevigatus",1,2,"327492667","56684277|27435109",3,2,2,2,"AY700295.1|AY141360.1|NC_015345.1","Lagocephalus laevigatus","1",3
"Lagopus lagopus","Lagopus lagopus","HarrisonGoldspiel_LandVertsNortheast","Lagopus lagopus","Lagopus lagopus",2,2,"1236517500|1135451558","8886849|6970159",3,2,2,2,"AF222583.1|AF230152.1|NC_035568.1|KX609784.1","Lagopus lagopus","1",4
"Lamna nasus","Lamna nasus","ReneeFrancolini_MaineFish","Lamna nasus","Lamna nasus",3,3,"1871283157|1150149431|1135451676","56405195|56405194|37722034",4,2,2,2,"AY830753.1|AY830752.1|AY147896.1|MT410902.1|NC_033911.1|KX610464.1","Lamna nasus","1",6
"Lampropeltis calligaster","Lampropeltis calligaster","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis calligaster","Lampropeltis calligaster",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Lampropeltis getula","Lampropeltis getula","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis getula","Lampropeltis getula",0,3,"","1057716006|24459549|24459548",3,NA,NA,NA,"KX694603.1|AY122822.1|AY122821.1","Lampropeltis getula","1",3
"Lampropeltis triangulum","Lampropeltis triangulum","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis triangulum","Lampropeltis triangulum",0,1,"","238632128",1,NA,NA,NA,"FJ623963.1","Lampropeltis triangulum","1",1
"Lanius borealis","Lanius borealis","HarrisonGoldspiel_LandVertsNortheast","Lanius borealis","Lanius borealis",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Lanius ludovicianus","Lanius ludovicianus","HarrisonGoldspiel_LandVertsNortheast","Lanius ludovicianus","Lanius ludovicianus",2,1,"1919576820|1910802620","1835974",2,1,1,1,"S82910.1|NC_051030.1|MN356223.1","Lanius ludovicianus","1",3
"Larus argentatus","Larus argentatus","HarrisonGoldspiel_LandVertsNortheast","Larus argentatus","Larus argentatus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus brachyrhynchus","Larus brachyrhynchus","HarrisonGoldspiel_LandVertsNortheast","Larus brachyrhynchus","Larus brachyrhynchus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus canus","Larus canus","HarrisonGoldspiel_LandVertsNortheast","Larus canus","Larus canus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus crassirostris","Larus crassirostris","HarrisonGoldspiel_LandVertsNortheast","Larus crassirostris","Larus crassirostris",2,0,"722489893|698352826","",1,1,1,1,"NC_025556.1|KM507782.1","Larus crassirostris","1",2
"Larus delawarensis","Larus delawarensis","HarrisonGoldspiel_LandVertsNortheast","Larus delawarensis","Larus delawarensis",0,1,"","54660073",1,NA,NA,NA,"AY631327.1","Larus delawarensis","1",1
"Larus fuscus","Larus fuscus","HarrisonGoldspiel_LandVertsNortheast","Larus fuscus","Larus fuscus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus glaucenscens","Larus glaucensens","HarrisonGoldspiel_LandVertsNortheast","Larus glaucensens","Larus glaucenscens",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus glaucoides","Larus glaucoides","HarrisonGoldspiel_LandVertsNortheast","Larus glaucoides","Larus glaucoides",0,1,"","7339766",1,1,1,1,"AF173566.1","Larus glaucoides","1",1
"Larus heermanni","Larus heermanni","HarrisonGoldspiel_LandVertsNortheast","Larus heermanni","Larus heermanni",0,1,"","1870727",1,NA,NA,NA,"U88012.1","Larus heermanni","1",1
"Larus hyperboreus","Larus hyperboreus","HarrisonGoldspiel_LandVertsNortheast","Larus hyperboreus","Larus hyperboreus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Larus marinus","Larus marinus","HarrisonGoldspiel_LandVertsNortheast","Larus marinus","Larus marinus",0,1,"","190411518",1,NA,NA,NA,"EF373088.2","Larus marinus","1",1
"Larus schistisagus","Larus schistisagus","HarrisonGoldspiel_LandVertsNortheast","Larus schistisagus","Larus schistisagus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Lasionycteris noctivagans","Lasionycteris noctivagans","HarrisonGoldspiel_LandVertsNortheast","Lasionycteris noctivagans","Lasionycteris noctivagans",4,1,"1919575880|1910322684|1910322670|1910322656","13195301",3,3,3,3,"AF326095.1|NC_050995.1|MT774149.1|MT774151.1|MT774150.1","Lasionycteris noctivagans","1",5
"Lasiurus borealis","Lasiurus borealis","HarrisonGoldspiel_LandVertsNortheast","Lasiurus borealis","Lasiurus borealis",2,2,"375267205|342209263","40365201|40365200",3,3,3,3,"AY495481.1|AY495480.1|NC_016873.1|JN209842.1","Lasiurus borealis","1",4
"Lasiurus cinereus","Lasiurus cinereus","HarrisonGoldspiel_LandVertsNortheast","Lasiurus cinereus","Lasiurus cinereus",0,1,"","40365202",1,1,1,1,"AY495482.1","Lasiurus cinereus","1",1
"Laterallus jamaicensis","Laterallus jamaicensis","HarrisonGoldspiel_LandVertsNortheast","Laterallus jamaicensis","Laterallus jamaicensis",1,0,"2229433338","",1,1,1,1,"OM677841.1","Laterallus jamaicensis","1",1
"Leiostomus xanthurus","Leiostomus xanthurus","ReneeFrancolini_MaineFish","Leiostomus xanthurus","Leiostomus xanthurus",0,8,"","2282237312|2282237311|2282237310|2282139994|1129799468|1129799467|1129799466|1129799465",NA,NA,NA,NA,"na","na","na",8
"Leiothlypis celata","Leiothlypis celata","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis celata","Leiothlypis celata",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leiothlypis peregrina","Leiothlypis peregrina","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis peregrina","Leiothlypis peregrina",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leiothlypis ruficapilla","Leiothlypis ruficapilla","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis ruficapilla","Leiothlypis ruficapilla",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leiothlypis virginiae","Leiothlypis virginiae","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis virginiae","Leiothlypis virginiae",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leptoclinus maculatus","Leptoclinus maculatus","ReneeFrancolini_MaineFish","Leptoclinus maculatus","Leptoclinus maculatus",3,4,"1898139782|902686493|874508174","1561111642|985566736|985563323|985563315",4,2,2,2,"LC458372.1|LC069671.1|LC092006.1|LC091998.1|MT410903.1|NC_027588.1|KT004433.1","Leptoclinus maculatus","1",7
"Lepus americanus","Lepus americanus","HarrisonGoldspiel_LandVertsNortheast","Lepus americanus","Lepus americanus",2,2,"620695141|612408354","33114361|4691457",3,3,3,3,"AY292707.1|U58923.1|U58929.1|NC_024043.1|KJ397613.1","Lepus americanus|Sylvilagus floridanus","2",4
"Lepus californicus","Lepus californicus","HarrisonGoldspiel_LandVertsNortheast","Lepus californicus","Lepus californicus",0,2,"","33114359|4691460",2,2,2,2,"AY292705.1|U58924.1","Lepus californicus","1",2
"Lepus europaeus","Lepus europaeus","HarrisonGoldspiel_LandVertsNortheast","Lepus europaeus","Lepus europaeus",16,10,"2120245622|1143566534|1143566520|1143566506|1143566492|1143566478|1143566464|1143566450|1143566436|1143566422|1143566408|1143566394|1143566380|1143566366|1143566352|21492444","1490012212|704366619|704366616|704366612|704366608|576106918|124108823|124108822|58201778|58201777",15,12,12,12,"MH115259.1|KM224302.1|KM224301.1|KM224300.1|KM224299.1|KF781316.1|EF027256.1|EF027255.1|AY745183.1|AY745182.1|MT483614.1|KY211034.1|KY211033.1|KY211032.1|KY211031.1|KY211030.1|KY211029.1|KY211028.1|KY211027.1|KY211026.1|KY211025.1|KY211024.1|KY211023.1|KY211022.1|KY211021.1|NC_004028.1","Lepus europaeus","1",26
"Leuconotopicus villosus","Leuconotopicus villosus","NoahEmail","Leuconotopicus villosus","Leuconotopicus villosus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leucophaeus atricilla","Leucophaeus atricilla","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus atricilla","Leucophaeus atricilla",0,2,"","168805896|94471931",2,2,2,2,"EU167055.1|DQ485795.1","Leucophaeus atricilla","1",2
"Leucophaeus pipixcan","Leucophaeus pipixcan","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus pipixcan","Leucophaeus pipixcan",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Leucoraja erinacea","Leucoraja erinacea","ReneeFrancolini_MaineFish","Leucoraja erinacea","Leucoraja erinacea",2,2,"357933679|359422108","215778002|556903150",3,1,1,1,"GH161211.1|KF561896.1|JQ034406.1|NC_016429.1","Leucoraja erinacea","1",4
"Leucoraja ocellata","Leucoraja ocellata","ReneeFrancolini_MaineFish","Leucoraja ocellata","Leucoraja ocellata",0,5,"","1515576480|1515576479|1515576478|1515576477|1515576476",2,NA,NA,NA,"MH377765.1|MH377764.1|MH377763.1|MH377762.1|MH377761.1","Leucoraja ocellata","1",5
"Limanda ferruginea","Limanda ferruginea","ReneeFrancolini_MaineFish","Limanda ferruginea","Limanda ferruginea",0,3,"","1825511888|1515576541|1515576540",2,1,1,1,"MT103916.1|MH377826.1|MH377825.1","Limanda ferruginea|Myzopsetta ferruginea","2",3
"Limnodromus griseus","Limnodromus griseus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus griseus","Limnodromus griseus",0,1,"","386081378",1,NA,NA,NA,"JQ962988.1","Limnodromus griseus","1",1
"Limnodromus scolopaceus","Limnodromus scolopaceus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus scolopaceus","Limnodromus scolopaceus",0,2,"","190411520|21304626",2,NA,NA,NA,"EF373090.2|AF285806.1","Limnodromus scolopaceus","1",2
"Limnothlypis swainsonii","Limnothlypis swainsonii","HarrisonGoldspiel_LandVertsNortheast","Limnothlypis swainsonii","Limnothlypis swainsonii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Limosa fedoa","Limosa fedoa","HarrisonGoldspiel_LandVertsNortheast","Limosa fedoa","Limosa fedoa",0,3,"","109657943|15428368|15428367",2,1,1,1,"DQ674577.1|AF285811.1|AF285810.1","Limosa fedoa","1",3
"Limosa haemastica","Limosa haemastica","HarrisonGoldspiel_LandVertsNortheast","Limosa haemastica","Limosa haemastica",0,3,"","190411521|15428366|15428365",2,NA,NA,NA,"EF373091.2|AF285809.1|AF285808.1","Limosa haemastica","1",3
"Limosa lapponica","Limosa lapponica","HarrisonGoldspiel_LandVertsNortheast","Limosa lapponica","Limosa lapponica",3,3,"1829767340|1818407424|1115555531","21304623|21304622|21304621",4,2,2,2,"AF285803.1|AF285802.1|AF285801.1|NC_046765.1|MK341549.1|KX371106.1","Limosa lapponica","1",6
"Limosa limosa","Limosa limosa","HarrisonGoldspiel_LandVertsNortheast","Limosa limosa","Limosa limosa",0,4,"","386081381|386081380|21304620|21304619",4,NA,NA,NA,"JQ962991.1|JQ962990.1|AF285800.1|AF285799.1","Limosa limosa","1",4
"Liparis atlanticus","Liparis atlanticus","ReneeFrancolini_MaineFish","Liparis atlanticus","Liparis atlanticus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Liparis gibbus","Liparis gibbus","ReneeFrancolini_MaineFish","Liparis gibbus","Liparis gibbus",0,8,"","2072646502|2072646501|2072646500|2072646480|2072646437|1825511891|1825511890|1825511889",NA,NA,NA,NA,"na","na","na",8
"Liparis inquilinus","Liparis inquilinus","ReneeFrancolini_MaineFish","Liparis inquilinus","Liparis inquilinus",0,1,"","985566351",1,NA,NA,NA,"LC049929.1","Liparis inquilinus","1",1
"Lithobates catesbeianus","Lithobates catesbeianus","HarrisonGoldspiel_LandVertsNortheast","Lithobates catesbeianus","Lithobates catesbeianus",4,18,"1790939004|1135511519|556505831|528749748","13450|90296426|1247275954|1247275952|1247275945|1247275938|1247275933|1247275925|1247275919|1247275897|336962|1042709596|1005417372|82798231|60735446|55418350|86559914|6984094",20,6,6,6,"X12841.1|DQ283257.1|KY677817.1|KY677815.1|KY677808.1|KY677801.1|KY677796.1|KY677788.1|KY677782.1|KY677760.1|M57527.1|KX269208.1|KU840522.1|DQ289102.1|AY819354.1|AY779206.1|DQ359960.1|AF218718.1|MN241124.1|KX686108.1|NC_022696.1|KF049927.1","Lithobates catesbeianus","1",22
"Lithobates clamitans","Lithobates clamitans","HarrisonGoldspiel_LandVertsNortheast","Lithobates clamitans","Lithobates clamitans",0,15,"","90296354|1247275950|1247275939|1247275934|1247275928|1247275926|1247275907|1247275902|725542175|85725472|55418348|165973077|165973076|165973075|165973074",10,1,1,1,"DQ283185.1|KY677813.1|KY677791.1|KY677770.1|KY677765.1|KY677802.1|KY677797.1|KY677789.1|KM273857.1|DQ347036.1|AY779204.1|EU370709.1|EU370708.1|EU370706.1|EU370707.1","Lithobates clamitans","1",15
"Lithobates kauffeldi","Lithobates kauffeldi","HarrisonGoldspiel_LandVertsNortheast","Lithobates kauffeldi","Lithobates kauffeldi",0,1,"","1247275908",1,NA,NA,NA,"KY677771.1","Lithobates kauffeldi","1",1
"Lithobates palustris","Lithobates palustris","HarrisonGoldspiel_LandVertsNortheast","Lithobates palustris","Lithobates palustris",0,10,"","1042709595|725542176|380854473|380854472|380854471|380854427|380854426|380854425|85725474|55418372",5,NA,NA,NA,"KX269207.1|KM273858.1|JN227420.1|JN227419.1|JN227418.1|JN227374.1|JN227373.1|JN227372.1|DQ347038.1|AY779228.1","Lithobates palustris","1",10
"Lithobates pipiens","Lithobates pipiens","HarrisonGoldspiel_LandVertsNortheast","Lithobates pipiens","Lithobates pipiens",0,34,"","3114855|1050696|90296292|1247275951|1247275949|1247275948|380854470|380854469|380854468|380854467|380854466|380854465|380854464|380854463|380854462|380854461|380854459|380854458|380854455|380854454|380854453|380854452|380854451|380854450|380854449|380854448|380854447|380854446|380854445|85725475|55418365|165973080|165973079|165973078",13,NA,NA,NA,"Y10945.1|X86247.1|DQ283123.1|KY677814.1|KY677812.1|KY677811.1|JN227417.1|JN227406.1|JN227405.1|JN227402.1|JN227401.1|JN227400.1|JN227399.1|JN227396.1|JN227395.1|JN227416.1|JN227414.1|JN227413.1|JN227415.1|JN227412.1|JN227411.1|JN227410.1|JN227409.1|JN227408.1|JN227398.1|JN227394.1|JN227393.1|JN227397.1|JN227392.1|DQ347039.1|AY779221.1|EU370712.1|EU370711.1|EU370710.1","Lithobates pipiens","1",34
"Lithobates septentrionalis","Lithobates septentrionalis","HarrisonGoldspiel_LandVertsNortheast","Lithobates septentrionalis","Lithobates septentrionalis",0,2,"","1042709567|55418344",2,NA,NA,NA,"KX269179.1|AY779200.1","Lithobates septentrionalis","1",2
"Lithobates sphenocephalus","Lithobates sphenocephalus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sphenocephalus","Lithobates sphenocephalus",0,23,"","1247275955|1247275953|1247275947|1247275929|1247275921|1247275920|1247275918|1247275917|1247275914|1247275912|1247275906|1247275903|1247275901|1247275898|380854424|380854423|380854422|380854421|380854420|85725476|33356366|55418396|55418395",22,NA,NA,NA,"KY677818.1|KY677816.1|KY677810.1|KY677792.1|KY677784.1|KY677783.1|KY677781.1|KY677780.1|KY677777.1|KY677775.1|KY677769.1|KY677766.1|KY677764.1|KY677761.1|JN227371.1|JN227370.1|JN227369.1|JN227368.1|JN227367.1|DQ347040.1|AY322312.1|AY779252.1|AY779251.1","Lithobates sphenocephalus","1",23
"Lithobates sylvaticus","Lithobates sylvaticus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sylvaticus","Lithobates sylvaticus",2,25,"836643104|814936922","90296556|1247275937|1247275936|1247275935|1247275931|1247275927|1247275923|1247275922|1247275916|1247275911|1247275910|1247275909|1247275904|1042709597|67867392|85725488|55418343|55418342|165973087|165973086|165973085|165973084|165973083|165973082|165973081",23,2,2,2,"DQ283387.1|KY677800.1|KY677799.1|KY677798.1|KY677794.1|KY677790.1|KY677786.1|KY677785.1|KY677779.1|KY677774.1|KY677773.1|KY677772.1|KY677767.1|KX269209.1|DQ019591.1|DQ347052.1|AY779199.1|AY779198.1|EU370719.1|EU370718.1|EU370717.1|EU370716.1|EU370715.1|EU370714.1|EU370713.1|NC_027236.1|KP222281.1","Lithobates sylvaticus","1",27
"Lithobates virgatipes","Lithobates vergatipes","HarrisonGoldspiel_LandVertsNortheast","Lithobates vergatipes","Lithobates virgatipes",0,1,"","55418346",1,NA,NA,NA,"AY779202.1","Lithobates virgatipes","1",1
"Lontra canadensis","Lontra canadensis","HarrisonGoldspiel_LandVertsNortheast","Lontra canadensis","Lontra canadensis",0,7,"","1820923611|1820913480|1820913478|1820913476|16118873|153012272|2231349",NA,NA,NA,NA,"na","na","na",7
"Lophius americanus","Lophius americanus","ReneeFrancolini_MaineFish","Lophius americanus","Lophius americanus",1,2,"25057142","1515576491|56684215",3,2,2,2,"MH377776.1|AY700233.1|NC_004380.1","Lophius americanus","1",3
"Lophodytes cucullatus","Lophodytes cucullatus","HarrisonGoldspiel_LandVertsNortheast","Lophodytes cucullatus","Lophodytes cucullatus",1,0,"2029858655","",NA,NA,NA,NA,"na","na","na",1
"Loxia curvirostra","Loxia curvirostra","HarrisonGoldspiel_LandVertsNortheast","Loxia curvirostra","Loxia curvirostra",3,8,"1910803782|699975793|722491064","9230610|9230607|9230595|9230592|9230583|9230580|9230577|21644749",2,2,2,2,"MN356412.1|KM078800.1|NC_025623.1","Loxia curvirostra","1",11
"Loxia leucoptera","Loxia leucoptera","HarrisonGoldspiel_LandVertsNortheast","Loxia leucoptera","Loxia leucoptera",2,3,"1919576610|1910802410","9230604|9230601|9230586",4,4,4,4,"AF171661.1|AF171660.1|AF171655.1|NC_051015.1|MN356185.1","Loxia leucoptera","1",5
"Lucania parva","Lucania parva","ReneeFrancolini_MaineFish","Lucania parva","Lucania parva",0,3,"","2282140044|1788585398|1788585397",2,NA,NA,NA,"OP151392.1|MN883218.1|MN883217.1","Lucania parva","1",3
"Lumpenus lampretaeformis","Lumpenus lampretaeformis","ReneeFrancolini_MaineFish","Lumpenus lampretaeformis","Lumpenus lampretaeformis",0,1,"","1209184708",1,NA,NA,NA,"LC278061.1","Lumpenus lampretaeformis","1",1
"Lynx canadensis","Lynx canadensis","HarrisonGoldspiel_LandVertsNortheast","Lynx canadensis","Lynx canadensis",2,4,"948298967|814936340","1720928046|282722786|42541563|42541562",5,2,2,2,"XM_030296377.1|GU174608.1|AY499280.1|AY499279.1|NC_028313.1|KP202281.1","Lynx canadensis","1",6
"Lynx rufus","Lynx rufus","HarrisonGoldspiel_LandVertsNortheast","Lynx rufus","Lynx rufus",3,6,"303386850|814936396|304322922","2206767112|42541561|42541560|42541559|42541558|42541557",2,2,2,2,"GQ979707.3|NC_014456.1|KP202285.1","Lynx rufus","1",9
"Macrochelys temminckii","Macrochelys temminckii","HarrisonGoldspiel_LandVertsNortheast","Macrochelys temminckii","Macrochelys temminckii",2,2,"116739695|134303105","403309837|213494269",3,2,2,2,"JN860635.1|FJ230859.1|EF071948.1|NC_009260.1","Macrochelys temminckii","1",4
"Malaclemys terrapin","Malaclemys terrapin","HarrisonGoldspiel_LandVertsNortheast","Malaclemys terrapin","Malaclemys terrapin",2,2,"1070704147|1068953342","365176860|365176859",2,1,1,1,"HE590234.1|HE590233.1|NC_031300.1|KX774423.1","Malaclemys terrapin","1",4
"Mareca americana","Mareca americana","HarrisonGoldspiel_LandVertsNortheast","Mareca americana","Mareca americana",0,3,"","6318690|294999453|294999396",3,1,1,1,"AF173688.1|HM063537.1|HM063480.1","Mareca americana","1",3
"Mareca penelope","Mareca penelope","HarrisonGoldspiel_LandVertsNortheast","Mareca penelope","Mareca penelope",4,1,"1958836391|1958836377|1919575123|1909392893","37725783",1,1,1,1,"AY164518.1|NC_050973.1|MT304825.1","Mareca penelope|Anatidae","2",5
"Mareca strepera","Mareca strepera","HarrisonGoldspiel_LandVertsNortheast","Mareca strepera","Mareca strepera",2,1,"1783497373|1777393319","6318691",1,NA,NA,NA,"AF173689.1","Mareca strepera","1",3
"Marmorata monax","Marmorata monax","HarrisonGoldspiel_LandVertsNortheast","Marmorata monax","Marmorata monax",0,0,"","",NA,NA,NA,NA,"na","na","na",0
