"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Setophaga cerulea","Setophaga cerulea",2,"Wikispecies","dc8a4826-3995-56ad-bac4-3c73afca0a45","Setophaga cerulea","","","","11190",0,"http://species.wikimedia.org/wiki/Setophaga_cerulea","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga citrina","Setophaga citrina",2,"Wikispecies","0490dbd5-52cc-52d3-805e-dec55dd0348c","Setophaga citrina","","","","20409",0,"http://species.wikimedia.org/wiki/Setophaga_citrina","2022-06-10T19:46:47Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga coronata","Setophaga coronata",2,"Wikispecies","885559ce-7a9a-522d-bec2-bdbad1481824","Setophaga coronata","","","","10927",0,"http://species.wikimedia.org/wiki/Setophaga_coronata","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga discolor","Setophaga discolor",2,"Wikispecies","02d67e03-38d8-56b7-b184-a22f25a09594","Setophaga discolor","","","","11200",0,"http://species.wikimedia.org/wiki/Setophaga_discolor","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga dominica","Setophaga dominica",2,"Wikispecies","f584efc2-7946-5723-bf7d-2b4d3647c0c6","Setophaga dominica","","","","11192",0,"http://species.wikimedia.org/wiki/Setophaga_dominica","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga fusca","Setophaga fusca",2,"Wikispecies","1a1876cd-5496-5d11-993d-75f314f9d855","Setophaga fusca","","","","11202",0,"http://species.wikimedia.org/wiki/Setophaga_fusca","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga kirtlandii","Setophaga kirtlandii",2,"Wikispecies","4a54b2c3-4841-5831-9afe-1d0d7e424c94","Setophaga kirtlandii","","","","11206",0,"http://species.wikimedia.org/wiki/Setophaga_kirtlandii","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga magnolia","Setophaga magnolia",2,"Wikispecies","996f4530-b3db-56fe-98f3-e22768bd6d79","Setophaga magnolia","","","","11209",0,"http://species.wikimedia.org/wiki/Setophaga_magnolia","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga nigrescens","Setophaga nigrescens",2,"Wikispecies","ff91ea3f-c355-582b-a09a-e219b3a6df61","Setophaga nigrescens","","","","11210",0,"http://species.wikimedia.org/wiki/Setophaga_nigrescens","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga occidentalis","Setophaga occidentalis",2,"Wikispecies","ffe1462a-5866-509e-9d08-f16096d21871","Setophaga occidentalis","","","","20123",0,"http://species.wikimedia.org/wiki/Setophaga_occidentalis","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
