"source_binomial","source","submitted_name","matched_name2","search_name"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba"
"Ardea cinerea","HarrisonGoldspiel_LandVertsNortheast","Ardea cinerea","Ardea cinerea","Ardea cinerea"
"Ardea herodias","HarrisonGoldspiel_LandVertsNortheast","Ardea herodias","Ardea herodias","Ardea herodias"
"Ardenna gravis","HarrisonGoldspiel_LandVertsNortheast","Ardenna gravis","Ardenna gravis","Ardenna gravis"
"Ardenna griseus","HarrisonGoldspiel_LandVertsNortheast","Ardenna griseus","Ardenna griseus","Ardenna griseus"
"Arenaria interpres","HarrisonGoldspiel_LandVertsNortheast","Arenaria interpres","Arenaria interpres","Arenaria interpres"
"Ariomma bondi","ReneeFrancolini_MaineFish","Ariomma bondi","Ariomma bondi","Ariomma bondi"
"Asio flammeus","HarrisonGoldspiel_LandVertsNortheast","Asio flammeus","Asio flammeus","Asio flammeus"
"Asio otus","HarrisonGoldspiel_LandVertsNortheast","Asio otus","Asio otus","Asio otus"
"Aspidoscelis sexlineatus","HarrisonGoldspiel_LandVertsNortheast","Aspidoscelis sexlineatus","Aspidoscelis sexlineatus","Aspidoscelis sexlineatus"
"Athene cunicularia","HarrisonGoldspiel_LandVertsNortheast","Athene cunicularia","Athene cunicularia","Athene cunicularia"
"Aythya americana","HarrisonGoldspiel_LandVertsNortheast","Aythya americana","Aythya americana","Aythya americana"
"Aythya collaris","HarrisonGoldspiel_LandVertsNortheast","Aythya collaris","Aythya collaris","Aythya collaris"
"Aythya fuligula","HarrisonGoldspiel_LandVertsNortheast","Aythya fuligula","Aythya fuligula","Aythya fuligula"
"Aythya marila","HarrisonGoldspiel_LandVertsNortheast","Aythya marila","Aythya marila","Aythya marila"
"Aythya valisineria","HarrisonGoldspiel_LandVertsNortheast","Aythya valisineria","Aythya valisineria","Aythya valisineria"
"Baelophus bicolor","HarrisonGoldspiel_LandVertsNortheast","Baelophus bicolor","Baeolophus bicolor","Baeolophus bicolor"
"Baeolophus bicolor","NoahEmail","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor"
"Bairdiella chrysoura","ReneeFrancolini_MaineFish","Bairdiella chrysoura","Bairdiella chrysoura","Bairdiella chrysoura"
"Balistes capriscus","ReneeFrancolini_MaineFish","Balistes capriscus","Balistes capriscus","Balistes capriscus"
"Bartramia longicauda","HarrisonGoldspiel_LandVertsNortheast","Bartramia longicauda","Bartramia longicauda","Bartramia longicauda"
"Bathytoshia centroura","ReneeFrancolini_MaineFish","Bathytoshia centroura","Bathytoshia centroura","Bathytoshia centroura"
"Blarina brevicauda","HarrisonGoldspiel_LandVertsNortheast","Blarina brevicauda","Blarina brevicauda","Blarina brevicauda"
"Bombycilla cedrorum","HarrisonGoldspiel_LandVertsNortheast","Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum"
"Bombycilla garrulus","HarrisonGoldspiel_LandVertsNortheast","Bombycilla garrulus","Bombycilla garrulus","Bombycilla garrulus"
"Bonasa umbellus","HarrisonGoldspiel_LandVertsNortheast","Bonasa umbellus","Bonasa umbellus","Bonasa umbellus"
"Botaurus lentiginosus","HarrisonGoldspiel_LandVertsNortheast","Botaurus lentiginosus","Botaurus lentiginosus","Botaurus lentiginosus"
"Brachyramphus perdix","HarrisonGoldspiel_LandVertsNortheast","Brachyramphus perdix","Brachyramphus perdix","Brachyramphus perdix"
"Branta bernicula","HarrisonGoldspiel_LandVertsNortheast","Branta bernicula","Branta bernicula","Branta bernicula"
"Branta canadensis","HarrisonGoldspiel_LandVertsNortheast","Branta canadensis","Branta canadensis","Branta canadensis"
"Branta hutchinsii","HarrisonGoldspiel_LandVertsNortheast","Branta hutchinsii","Branta hutchinsii","Branta hutchinsii"
"Branta leucopsis","HarrisonGoldspiel_LandVertsNortheast","Branta leucopsis","Branta leucopsis","Branta leucopsis"
"Brevoortia tyrannus","ReneeFrancolini_MaineFish","Brevoortia tyrannus","Brevoortia tyrannus","Brevoortia tyrannus"
"Brosme brosme","ReneeFrancolini_MaineFish","Brosme brosme","Brosme brosme","Brosme brosme"
"Bubo scandiacus","HarrisonGoldspiel_LandVertsNortheast","Bubo scandiacus","Bubo scandiacus","Bubo scandiacus"
"Bubo virginianus","HarrisonGoldspiel_LandVertsNortheast","Bubo virginianus","Bubo virginianus","Bubo virginianus"
"Bubulcus ibis","HarrisonGoldspiel_LandVertsNortheast","Bubulcus ibis","Bubulcus ibis","Bubulcus ibis"
"Bucephala albeola","HarrisonGoldspiel_LandVertsNortheast","Bucephala albeola","Bucephala albeola","Bucephala albeola"
"Bucephala clangula","HarrisonGoldspiel_LandVertsNortheast","Bucephala clangula","Bucephala clangula","Bucephala clangula"
"Bucephala islandica","HarrisonGoldspiel_LandVertsNortheast","Bucephala islandica","Bucephala islandica","Bucephala islandica"
"Buteo albonotatus","HarrisonGoldspiel_LandVertsNortheast","Buteo albonotatus","Buteo albonotatus","Buteo albonotatus"
"Buteo jamaicensis","HarrisonGoldspiel_LandVertsNortheast","Buteo jamaicensis","Buteo jamaicensis","Buteo jamaicensis"
"Buteo lagopus","HarrisonGoldspiel_LandVertsNortheast","Buteo lagopus","Buteo lagopus","Buteo lagopus"
"Buteo lineatus","HarrisonGoldspiel_LandVertsNortheast","Buteo lineatus","Buteo lineatus","Buteo lineatus"
"Buteo platypterus","HarrisonGoldspiel_LandVertsNortheast","Buteo platypterus","Buteo platypterus","Buteo platypterus"
"Buteo swainsoni","HarrisonGoldspiel_LandVertsNortheast","Buteo swainsoni","Buteo swainsoni","Buteo swainsoni"
"Butorides striatus","HarrisonGoldspiel_LandVertsNortheast","Butorides striatus","Butorides striatus","Butorides striatus"
"Butorides virescens","HarrisonGoldspiel_LandVertsNortheast","Butorides virescens","Butorides virescens","Butorides virescens"
"Calamospiza melanocorys","HarrisonGoldspiel_LandVertsNortheast","Calamospiza melanocorys","Calamospiza melanocorys","Calamospiza melanocorys"
"Calcarius lapponicus","HarrisonGoldspiel_LandVertsNortheast","Calcarius lapponicus","Calcarius lapponicus","Calcarius lapponicus"
"Calcarius ornatus","HarrisonGoldspiel_LandVertsNortheast","Calcarius ornatus","Calcarius ornatus","Calcarius ornatus"
"Calcarius pictus","HarrisonGoldspiel_LandVertsNortheast","Calcarius pictus","Calcarius pictus","Calcarius pictus"
"Calidris acuminata","HarrisonGoldspiel_LandVertsNortheast","Calidris acuminata","Calidris acuminata","Calidris acuminata"
"Calidris alba","HarrisonGoldspiel_LandVertsNortheast","Calidris alba","Calidris alba","Calidris alba"
"Calidris alpina","HarrisonGoldspiel_LandVertsNortheast","Calidris alpina","Calidris alpina","Calidris alpina"
"Calidris bairdii","HarrisonGoldspiel_LandVertsNortheast","Calidris bairdii","Calidris bairdii","Calidris bairdii"
"Calidris canutus","HarrisonGoldspiel_LandVertsNortheast","Calidris canutus","Calidris canutus","Calidris canutus"
"Calidris falcinellus","HarrisonGoldspiel_LandVertsNortheast","Calidris falcinellus","Calidris falcinellus","Calidris falcinellus"
"Calidris ferruginea","HarrisonGoldspiel_LandVertsNortheast","Calidris ferruginea","Calidris ferruginea","Calidris ferruginea"
"Calidris himantopus","HarrisonGoldspiel_LandVertsNortheast","Calidris himantopus","Calidris himantopus","Calidris himantopus"
"Calidris maritima","HarrisonGoldspiel_LandVertsNortheast","Calidris maritima","Calidris maritima","Calidris maritima"
"Calidris mauri","HarrisonGoldspiel_LandVertsNortheast","Calidris mauri","Calidris mauri","Calidris mauri"
"Calidris melanotos","HarrisonGoldspiel_LandVertsNortheast","Calidris melanotos","Calidris melanotos","Calidris melanotos"
"Calidris minuta","HarrisonGoldspiel_LandVertsNortheast","Calidris minuta","Calidris minuta","Calidris minuta"
"Calidris minutilla","HarrisonGoldspiel_LandVertsNortheast","Calidris minutilla","Calidris minutilla","Calidris minutilla"
"Calidris pugnax","HarrisonGoldspiel_LandVertsNortheast","Calidris pugnax","Calidris pugnax","Calidris pugnax"
"Calidris pusilla","HarrisonGoldspiel_LandVertsNortheast","Calidris pusilla","Calidris pusilla","Calidris pusilla"
"Calidris ruficollis","HarrisonGoldspiel_LandVertsNortheast","Calidris ruficollis","Calidris ruficollis","Calidris ruficollis"
"Calidris subruficollis","HarrisonGoldspiel_LandVertsNortheast","Calidris subruficollis","Calidris subruficollis","Calidris subruficollis"
"Calidris tenuirostris","HarrisonGoldspiel_LandVertsNortheast","Calidris tenuirostris","Calidris tenuirostris","Calidris tenuirostris"
"Calidris virgata","HarrisonGoldspiel_LandVertsNortheast","Calidris virgata","Calidris virgata","Calidris virgata"
"Calonectris diomedea","HarrisonGoldspiel_LandVertsNortheast","Calonectris diomedea","Calonectris diomedea","Calonectris diomedea"
"Calypte anna","HarrisonGoldspiel_LandVertsNortheast","Calypte anna","Calypte anna","Calypte anna"
"Camptorhynchus labradorius","HarrisonGoldspiel_LandVertsNortheast","Camptorhynchus labradorius","Camptorhynchus labradorius","Camptorhynchus labradorius"
"Canis latrans","HarrisonGoldspiel_LandVertsNortheast","Canis latrans","Canis latrans","Canis latrans"
"Canis lupus","HarrisonGoldspiel_LandVertsNortheast","Canis lupus","Canis lupus","Canis lupus"
"Caracara plancus","HarrisonGoldspiel_LandVertsNortheast","Caracara plancus","Caracara plancus","Caracara plancus"
"Caranx cryso","ReneeFrancolini_MaineFish","Caranx cryso","Caranx crysos","Caranx crysos"
"Caranx hippos","ReneeFrancolini_MaineFish","Caranx hippos","Caranx hippos","Caranx hippos"
"Carcharhinus obscurus","ReneeFrancolini_MaineFish",NA,NA,"Carcharhinus obscurus"
"Carcharhinus plumbeus","ReneeFrancolini_MaineFish",NA,NA,"Carcharhinus plumbeus"
"Carcharias taurus","ReneeFrancolini_MaineFish","Carcharias taurus","Carcharias taurus","Carcharias taurus"
"Carcharodon carcharias","ReneeFrancolini_MaineFish","Carcharodon carcharias","Carcharodon carcharias","Carcharodon carcharias"
"Cardellina canadensis","HarrisonGoldspiel_LandVertsNortheast","Cardellina canadensis","Cardellina canadensis","Cardellina canadensis"
"Cardellina pusilla","HarrisonGoldspiel_LandVertsNortheast","Cardellina pusilla","Cardellina pusilla","Cardellina pusilla"
"Cardinalis cardinalis","HarrisonGoldspiel_LandVertsNortheast","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis"
"Carina moschata","HarrisonGoldspiel_LandVertsNortheast","Carina moschata","Carina moschata","Carina moschata"
"Carphophis amoenus","HarrisonGoldspiel_LandVertsNortheast","Carphophis amoenus","Carphophis amoenus","Carphophis amoenus"
"Castor canadensis","HarrisonGoldspiel_LandVertsNortheast","Castor canadensis","Castor canadensis","Castor canadensis"
"Cathartes aura","HarrisonGoldspiel_LandVertsNortheast","Cathartes aura","Cathartes aura","Cathartes aura"
"Catharus bicknelli","HarrisonGoldspiel_LandVertsNortheast","Catharus bicknelli","Catharus bicknelli","Catharus bicknelli"
"Catharus fuscenscens","HarrisonGoldspiel_LandVertsNortheast","Catharus fuscenscens","Catharus fuscescens","Catharus fuscescens"
"Catharus guttatus","HarrisonGoldspiel_LandVertsNortheast","Catharus guttatus","Catharus guttatus","Catharus guttatus"
"Catharus ustulatus","HarrisonGoldspiel_LandVertsNortheast","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus"
