"source_binomial","source","submitted_name","matched_name2","search_name"
"Lophodytes cucullatus","HarrisonGoldspiel_LandVertsNortheast","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus"
"Loxia curvirostra","HarrisonGoldspiel_LandVertsNortheast","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra"
"Loxia leucoptera","HarrisonGoldspiel_LandVertsNortheast","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera"
"Lucania parva","ReneeFrancolini_MaineFish","Lucania parva","Lucania parva","Lucania parva"
"Lumpenus lampretaeformis","ReneeFrancolini_MaineFish","Lumpenus lampretaeformis","Lumpenus lampretaeformis","Lumpenus lampretaeformis"
"Lynx canadensis","HarrisonGoldspiel_LandVertsNortheast","Lynx canadensis","Lynx canadensis","Lynx canadensis"
"Lynx rufus","HarrisonGoldspiel_LandVertsNortheast","Lynx rufus","Lynx rufus","Lynx rufus"
"Macrochelys temminckii","HarrisonGoldspiel_LandVertsNortheast","Macrochelys temminckii","Macrochelys temminckii","Macrochelys temminckii"
"Malaclemys terrapin","HarrisonGoldspiel_LandVertsNortheast","Malaclemys terrapin","Malaclemys terrapin","Malaclemys terrapin"
"Mareca americana","HarrisonGoldspiel_LandVertsNortheast","Mareca americana","Mareca americana","Mareca americana"
"Mareca penelope","HarrisonGoldspiel_LandVertsNortheast","Mareca penelope","Mareca penelope","Mareca penelope"
"Mareca strepera","HarrisonGoldspiel_LandVertsNortheast","Mareca strepera","Mareca strepera","Mareca strepera"
"Marmorata monax","HarrisonGoldspiel_LandVertsNortheast","Marmorata monax","Marmorata monax","Marmorata monax"
"Martes americana","HarrisonGoldspiel_LandVertsNortheast","Martes americana","Martes americana","Martes americana"
"Megaceryle alcyon","HarrisonGoldspiel_LandVertsNortheast","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon"
"Megascops asio","HarrisonGoldspiel_LandVertsNortheast","Megascops asio","Megascops asio","Megascops asio"
"Melanerpes carolinus","HarrisonGoldspiel_LandVertsNortheast","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus"
"Melanerpes erythrocephalus","HarrisonGoldspiel_LandVertsNortheast","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus"
"Melanerpes lewis","HarrisonGoldspiel_LandVertsNortheast","Melanerpes lewis","Melanerpes lewis","Melanerpes lewis"
"Melanitta americana","HarrisonGoldspiel_LandVertsNortheast","Melanitta americana","Melanitta americana","Melanitta americana"
"Melanitta deglandi","HarrisonGoldspiel_LandVertsNortheast","Melanitta deglandi","Melanitta deglandi","Melanitta deglandi"
"Melanitta perspicillata","HarrisonGoldspiel_LandVertsNortheast","Melanitta perspicillata","Melanitta perspicillata","Melanitta perspicillata"
"Melanogrammus aeglefinus","ReneeFrancolini_MaineFish","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus"
"Meleagris gallopavo","HarrisonGoldspiel_LandVertsNortheast","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo"
"Melopsittacus undulatus","HarrisonGoldspiel_LandVertsNortheast","Melopsittacus undulatus","Melopsittacus undulatus","Melopsittacus undulatus"
"Melospiza georgiana","HarrisonGoldspiel_LandVertsNortheast","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana"
"Melospiza lincolnii","HarrisonGoldspiel_LandVertsNortheast","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii"
"Melospiza melodia","HarrisonGoldspiel_LandVertsNortheast","Melospiza melodia","Melospiza melodia","Melospiza melodia"
"Menidia beryllina","ReneeFrancolini_MaineFish","Menidia beryllina","Menidia beryllina","Menidia beryllina"
"Menidia menidia","ReneeFrancolini_MaineFish","Menidia menidia","Menidia menidia","Menidia menidia"
"Menticirrhus saxatilis","ReneeFrancolini_MaineFish","Menticirrhus saxatilis","Menticirrhus saxatilis","Menticirrhus saxatilis"
"Mephitis mephitis","HarrisonGoldspiel_LandVertsNortheast","Mephitis mephitis","Mephitis mephitis","Mephitis mephitis"
"Mergus merganser","HarrisonGoldspiel_LandVertsNortheast","Mergus merganser","Mergus merganser","Mergus merganser"
"Mergus serrator","HarrisonGoldspiel_LandVertsNortheast","Mergus serrator","Mergus serrator","Mergus serrator"
"Merluccius bilinearis","ReneeFrancolini_MaineFish","Merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis"
"Microgadus tomcod","ReneeFrancolini_MaineFish","Microgadus tomcod","Microgadus tomcod","Microgadus tomcod"
"Micropogonias undulatus","ReneeFrancolini_MaineFish","Micropogonias undulatus","Micropogonias undulatus","Micropogonias undulatus"
"Microtus breweri","HarrisonGoldspiel_LandVertsNortheast","Microtus breweri","Microtus breweri","Microtus breweri"
"Microtus pennsylvanicus","HarrisonGoldspiel_LandVertsNortheast","Microtus pennsylvanicus","Microtus pennsylvanicus","Microtus pennsylvanicus"
"Microtus pinetorum","HarrisonGoldspiel_LandVertsNortheast","Microtus pinetorum","Microtus pinetorum","Microtus pinetorum"
"Mimus polyglottos","HarrisonGoldspiel_LandVertsNortheast","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos"
"Mniotilta varia","HarrisonGoldspiel_LandVertsNortheast","Mniotilta varia","Mniotilta varia","Mniotilta varia"
"Mola mola","ReneeFrancolini_MaineFish","Mola mola","Mola mola","Mola mola"
"Molothrus ater","HarrisonGoldspiel_LandVertsNortheast","Molothrus ater","Molothrus ater","Molothrus ater"
"Molothrus bonariensis","HarrisonGoldspiel_LandVertsNortheast","Molothrus bonariensis","Molothrus bonariensis","Molothrus bonariensis"
"Morone americana","ReneeFrancolini_MaineFish","Morone americana","Morone americana","Morone americana"
"Morone saxatilis","ReneeFrancolini_MaineFish","Morone saxatilis","Morone saxatilis","Morone saxatilis"
"Morus bassanus","HarrisonGoldspiel_LandVertsNortheast","Morus bassanus","Morus bassanus","Morus bassanus"
"Motacilla alba","HarrisonGoldspiel_LandVertsNortheast","Motacilla alba","Motacilla alba","Motacilla alba"
"Mugil cephalus","ReneeFrancolini_MaineFish","Mugil cephalus","Mugil cephalus","Mugil cephalus"
"Mugil curema","ReneeFrancolini_MaineFish","Mugil curema","Mugil curema","Mugil curema"
"Mullus auratus","ReneeFrancolini_MaineFish","Mullus auratus","Mullus auratus","Mullus auratus"
"Mus musculus","HarrisonGoldspiel_LandVertsNortheast","Mus musculus","Mus musculus","Mus musculus"
"Mustela erminea","HarrisonGoldspiel_LandVertsNortheast","Mustela erminea","Mustela erminea","Mustela erminea"
"Mustela richardsonii","HarrisonGoldspiel_LandVertsNortheast","Mustela richardsonii","Mustela richardsonii","Mustela richardsonii"
"Mustela vison","HarrisonGoldspiel_LandVertsNortheast","Mustela vison","Mustela vison","Mustela vison"
"Mustelus canis","ReneeFrancolini_MaineFish","Mustelus canis","Mustelus canis","Mustelus canis"
"Myadestes townsendi","HarrisonGoldspiel_LandVertsNortheast","Myadestes townsendi","Myadestes townsendi","Myadestes townsendi"
"Mycteria americana","HarrisonGoldspiel_LandVertsNortheast","Mycteria americana","Mycteria americana","Mycteria americana"
"Myiarchus cinerascens","HarrisonGoldspiel_LandVertsNortheast","Myiarchus cinerascens","Myiarchus cinerascens","Myiarchus cinerascens"
"Myiarchus crinitus","HarrisonGoldspiel_LandVertsNortheast","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus"
"Myiodynastes maculatus","HarrisonGoldspiel_LandVertsNortheast","Myiodynastes maculatus","Myiodynastes maculatus","Myiodynastes maculatus"
"Myiopsitta monachus","HarrisonGoldspiel_LandVertsNortheast","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus"
"Myodes gapperi","HarrisonGoldspiel_LandVertsNortheast","Myodes gapperi","Myodes gapperi","Myodes gapperi"
"Myotis leibii","HarrisonGoldspiel_LandVertsNortheast","Myotis leibii","Myotis leibii","Myotis leibii"
"Myotis lucifugus","HarrisonGoldspiel_LandVertsNortheast","Myotis lucifugus","Myotis lucifugus","Myotis lucifugus"
"Myotis septentrionalis","HarrisonGoldspiel_LandVertsNortheast","Myotis septentrionalis","Myotis septentrionalis","Myotis septentrionalis"
"Myotis sodalis","HarrisonGoldspiel_LandVertsNortheast","Myotis sodalis","Myotis sodalis","Myotis sodalis"
"Myoxocephalus aenaeus","ReneeFrancolini_MaineFish","Myoxocephalus aenaeus","Myoxocephalus aenaeus","Myoxocephalus aenaeus"
"Myoxocephalus octodecemspinosus","ReneeFrancolini_MaineFish","Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus"
"Myoxocephalus scorpius","ReneeFrancolini_MaineFish","Myoxocephalus scorpius","Myoxocephalus scorpius","Myoxocephalus scorpius"
"Myzopsetta ferruginea","ReneeFrancolini_MaineFish","Myzopsetta ferruginea","Myzopsetta ferruginea","Myzopsetta ferruginea"
"Napaeozapus insignis","HarrisonGoldspiel_LandVertsNortheast","Napaeozapus insignis","Napaeozapus insignis","Napaeozapus insignis"
"Necturus maculosus","HarrisonGoldspiel_LandVertsNortheast","Necturus maculosus","Necturus maculosus","Necturus maculosus"
"Neogale frenata","HarrisonGoldspiel_LandVertsNortheast","Neogale frenata","Neogale frenata","Neogale frenata"
"Neotoma magister","HarrisonGoldspiel_LandVertsNortheast","Neotoma magister","Neotoma magister","Neotoma magister"
"Nerodia erythrogaster","HarrisonGoldspiel_LandVertsNortheast","Nerodia erythrogaster","Nerodia erythrogaster","Nerodia erythrogaster"
"Nerodia rhombifer","HarrisonGoldspiel_LandVertsNortheast","Nerodia rhombifer","Nerodia rhombifer","Nerodia rhombifer"
"Nerodia sipedon","HarrisonGoldspiel_LandVertsNortheast","Nerodia sipedon","Nerodia sipedon","Nerodia sipedon"
"Nomonyx dominicus","HarrisonGoldspiel_LandVertsNortheast","Nomonyx dominicus","Nomonyx dominicus","Nomonyx dominicus"
"Notopthalmus viridescens","HarrisonGoldspiel_LandVertsNortheast","Notopthalmus viridescens","Notopthalmus viridescens","Notopthalmus viridescens"
"Numenius americanus","HarrisonGoldspiel_LandVertsNortheast","Numenius americanus","Numenius americanus","Numenius americanus"
"Numenius arquata","HarrisonGoldspiel_LandVertsNortheast","Numenius arquata","Numenius arquata","Numenius arquata"
"Numenius borealis","HarrisonGoldspiel_LandVertsNortheast","Numenius borealis","Numenius borealis","Numenius borealis"
"Numenius phaeopus","HarrisonGoldspiel_LandVertsNortheast","Numenius phaeopus","Numenius phaeopus","Numenius phaeopus"
"Nyctanassa violacea","HarrisonGoldspiel_LandVertsNortheast","Nyctanassa violacea","Nyctanassa violacea","Nyctanassa violacea"
"Nycticorax nycticorax","HarrisonGoldspiel_LandVertsNortheast","Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax nycticorax"
"Nymphicus hollandicus","HarrisonGoldspiel_LandVertsNortheast","Nymphicus hollandicus","Nymphicus hollandicus","Nymphicus hollandicus"
"Odobenus rosmarus","HarrisonGoldspiel_LandVertsNortheast","Odobenus rosmarus","Odobenus rosmarus","Odobenus rosmarus"
"Odocoileus virginianus","HarrisonGoldspiel_LandVertsNortheast","Odocoileus virginianus","Odocoileus virginianus","Odocoileus virginianus"
"Oenanthe oenanthe","HarrisonGoldspiel_LandVertsNortheast","Oenanthe oenanthe","Oenanthe oenanthe","Oenanthe oenanthe"
"Ondatra zibethicus","HarrisonGoldspiel_LandVertsNortheast","Ondatra zibethicus","Ondatra zibethicus","Ondatra zibethicus"
"Onychoprion anaethetus","HarrisonGoldspiel_LandVertsNortheast","Onychoprion anaethetus","Onychoprion anaethetus","Onychoprion anaethetus"
"Onychoprion fuscata","HarrisonGoldspiel_LandVertsNortheast","Onychoprion fuscata","Onychoprion fuscata","Onychoprion fuscata"
"Opheodrys aestivus","HarrisonGoldspiel_LandVertsNortheast","Opheodrys aestivus","Opheodrys aestivus","Opheodrys aestivus"
"Opheodrys vernalis","HarrisonGoldspiel_LandVertsNortheast","Opheodrys vernalis","Opheodrys vernalis","Opheodrys vernalis"
"Ophisaurus attenuatus","HarrisonGoldspiel_LandVertsNortheast","Ophisaurus attenuatus","Ophisaurus attenuatus","Ophisaurus attenuatus"
"Oporornis agilis","HarrisonGoldspiel_LandVertsNortheast","Oporornis agilis","Oporornis agilis","Oporornis agilis"
"Opsanus tau","ReneeFrancolini_MaineFish","Opsanus tau","Opsanus tau","Opsanus tau"
"Oreoscoptes montanus","HarrisonGoldspiel_LandVertsNortheast","Oreoscoptes montanus","Oreoscoptes montanus","Oreoscoptes montanus"
"Oryctolagus cuniculus","HarrisonGoldspiel_LandVertsNortheast","Oryctolagus cuniculus","Oryctolagus cuniculus","Oryctolagus cuniculus"
"Osmerus mordax","ReneeFrancolini_MaineFish","Osmerus mordax","Osmerus mordax","Osmerus mordax"
"Oxyura jamaicensis","HarrisonGoldspiel_LandVertsNortheast","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis"
"Pagophila eburnea","HarrisonGoldspiel_LandVertsNortheast","Pagophila eburnea","Pagophila eburnea","Pagophila eburnea"
"Pagophilus groenlandicus","HarrisonGoldspiel_LandVertsNortheast","Pagophilus groenlandicus","Pagophilus groenlandicus","Pagophilus groenlandicus"
"Pandion haliaetus","HarrisonGoldspiel_LandVertsNortheast","Pandion haliaetus","Pandion haliaetus","Pandion haliaetus"
"Pantherophis alleghaniensis","HarrisonGoldspiel_LandVertsNortheast","Pantherophis alleghaniensis","Pantherophis alleghaniensis","Pantherophis alleghaniensis"
"Pantherophis spiloides","HarrisonGoldspiel_LandVertsNortheast","Pantherophis spiloides","Pantherophis spiloides","Pantherophis spiloides"
"Pantherophis vulpinus","HarrisonGoldspiel_LandVertsNortheast","Pantherophis vulpinus","Pantherophis vulpinus","Pantherophis vulpinus"
"Paralichthys dentatus","ReneeFrancolini_MaineFish","Paralichthys dentatus","Paralichthys dentatus","Paralichthys dentatus"
"Parascalops breweri","HarrisonGoldspiel_LandVertsNortheast","Parascalops breweri","Parascalops breweri","Parascalops breweri"
"Parkesia motacilla","HarrisonGoldspiel_LandVertsNortheast","Parkesia motacilla","Parkesia motacilla","Parkesia motacilla"
"Parkesia noveboracensis","HarrisonGoldspiel_LandVertsNortheast","Parkesia noveboracensis","Parkesia noveboracensis","Parkesia noveboracensis"
"Parus major","HarrisonGoldspiel_LandVertsNortheast","Parus major","Parus major","Parus major"
"Passer domesticus","HarrisonGoldspiel_LandVertsNortheast","Passer domesticus","Passer domesticus","Passer domesticus"
"Passer montanus","HarrisonGoldspiel_LandVertsNortheast","Passer montanus","Passer montanus","Passer montanus"
"Passerculus sandwichensis","HarrisonGoldspiel_LandVertsNortheast","Passerculus sandwichensis","Passerculus sandwichensis","Passerculus sandwichensis"
"Passerella iliaca","HarrisonGoldspiel_LandVertsNortheast","Passerella iliaca","Passerella iliaca","Passerella iliaca"
"Passerina amoena","HarrisonGoldspiel_LandVertsNortheast","Passerina amoena","Passerina amoena","Passerina amoena"
"Passerina caerulea","HarrisonGoldspiel_LandVertsNortheast","Passerina caerulea","Passerina caerulea","Passerina caerulea"
"Passerina ciris","HarrisonGoldspiel_LandVertsNortheast","Passerina ciris","Passerina ciris","Passerina ciris"
"Passerina cyanea","HarrisonGoldspiel_LandVertsNortheast","Passerina cyanea","Passerina cyanea","Passerina cyanea"
"Patagioenas fasciata","HarrisonGoldspiel_LandVertsNortheast","Patagioenas fasciata","Patagioenas fasciata","Patagioenas fasciata"
"Pavo cristatus","HarrisonGoldspiel_LandVertsNortheast","Pavo cristatus","Pavo cristatus","Pavo cristatus"
"Pekania pennanti","HarrisonGoldspiel_LandVertsNortheast","Pekania pennanti","Pekania pennanti","Pekania pennanti"
"Pelecanus erythrohynchos","HarrisonGoldspiel_LandVertsNortheast","Pelecanus erythrohynchos","Pelecanus erythrohynchos","Pelecanus erythrohynchos"
"Pelecanus occidentalis","HarrisonGoldspiel_LandVertsNortheast","Pelecanus occidentalis","Pelecanus occidentalis","Pelecanus occidentalis"
"Peprilus triacanthus","ReneeFrancolini_MaineFish","Peprilus triacanthus","Peprilus triacanthus","Peprilus triacanthus"
"Perimyotis subflavus","HarrisonGoldspiel_LandVertsNortheast","Perimyotis subflavus","Perimyotis subflavus","Perimyotis subflavus"
"Perisoreus canadensis","HarrisonGoldspiel_LandVertsNortheast","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis"
"Peromyscus leucopus","HarrisonGoldspiel_LandVertsNortheast","Peromyscus leucopus","Peromyscus leucopus","Peromyscus leucopus"
"Peromyscus maniculatus","HarrisonGoldspiel_LandVertsNortheast","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus maniculatus"
"Petrochelidon fulva","HarrisonGoldspiel_LandVertsNortheast","Petrochelidon fulva","Petrochelidon fulva","Petrochelidon fulva"
"Petrochelidon pyrrhonota","HarrisonGoldspiel_LandVertsNortheast","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota"
"Peucaea aestivalis","HarrisonGoldspiel_LandVertsNortheast","Peucaea aestivalis","Peucaea aestivalis","Peucaea aestivalis"
"Phaethon aethereus","HarrisonGoldspiel_LandVertsNortheast","Phaethon aethereus","Phaethon aethereus","Phaethon aethereus"
"Phaethon lepturus","HarrisonGoldspiel_LandVertsNortheast","Phaethon lepturus","Phaethon lepturus","Phaethon lepturus"
"Phainopepla nitens","HarrisonGoldspiel_LandVertsNortheast","Phainopepla nitens","Phainopepla nitens","Phainopepla nitens"
"Phalacrocorax auritus","HarrisonGoldspiel_LandVertsNortheast","Phalacrocorax auritus","Phalacrocorax auritus","Phalacrocorax auritus"
"Phalacrocorax brasilianus","HarrisonGoldspiel_LandVertsNortheast","Phalacrocorax brasilianus","Phalacrocorax brasilianus","Phalacrocorax brasilianus"
"Phalacrocorax carbo","HarrisonGoldspiel_LandVertsNortheast","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax carbo"
"Phalaropus fulicarius","HarrisonGoldspiel_LandVertsNortheast","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus fulicarius"
"Phalaropus lobatus","HarrisonGoldspiel_LandVertsNortheast","Phalaropus lobatus","Phalaropus lobatus","Phalaropus lobatus"
"Phalaropus tricolor","HarrisonGoldspiel_LandVertsNortheast","Phalaropus tricolor","Phalaropus tricolor","Phalaropus tricolor"
"Phasianus colchicus","HarrisonGoldspiel_LandVertsNortheast","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus"
"Pheucticus ludovicianus","HarrisonGoldspiel_LandVertsNortheast","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus"
"Pheucticus melanocephalus","HarrisonGoldspiel_LandVertsNortheast","Pheucticus melanocephalus","Pheucticus melanocephalus","Pheucticus melanocephalus"
"Phoca vitulina","HarrisonGoldspiel_LandVertsNortheast","Phoca vitulina","Phoca vitulina","Phoca vitulina"
"Pholis gunnellus","ReneeFrancolini_MaineFish","Pholis gunnellus","Pholis gunnellus","Pholis gunnellus"
"Pica hudsonia","HarrisonGoldspiel_LandVertsNortheast","Pica hudsonia","Pica hudsonia","Pica hudsonia"
"Picoides arcticus","HarrisonGoldspiel_LandVertsNortheast","Picoides arcticus","Picoides arcticus","Picoides arcticus"
"Picoides dorsalis","HarrisonGoldspiel_LandVertsNortheast","Picoides dorsalis","Picoides dorsalis","Picoides dorsalis"
"Picoides pubescens","NoahEmail","Picoides pubescens","Picoides pubescens","Picoides pubescens"
"Pinicola enucleator","HarrisonGoldspiel_LandVertsNortheast","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator"
"Pipilo chlorurus","HarrisonGoldspiel_LandVertsNortheast","Pipilo chlorurus","Pipilo chlorurus","Pipilo chlorurus"
"Pipilo erythrophthalmus","HarrisonGoldspiel_LandVertsNortheast","Pipilo erythrophthalmus","Pipilo erythrophthalmus","Pipilo erythrophthalmus"
"Pipilo maculatus","HarrisonGoldspiel_LandVertsNortheast","Pipilo maculatus","Pipilo maculatus","Pipilo maculatus"
"Piranga ludoviciana","HarrisonGoldspiel_LandVertsNortheast","Piranga ludoviciana","Piranga ludoviciana","Piranga ludoviciana"
"Piranga olivacea","HarrisonGoldspiel_LandVertsNortheast","Piranga olivacea","Piranga olivacea","Piranga olivacea"
"Piranga rubra","HarrisonGoldspiel_LandVertsNortheast","Piranga rubra","Piranga rubra","Piranga rubra"
"Pituophis catenifer","HarrisonGoldspiel_LandVertsNortheast","Pituophis catenifer","Pituophis catenifer","Pituophis catenifer"
"Platalea ajaja","HarrisonGoldspiel_LandVertsNortheast","Platalea ajaja","Platalea ajaja","Platalea ajaja"
"Plectrophenax nivalis","HarrisonGoldspiel_LandVertsNortheast","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis"
"Plegadis chihi","HarrisonGoldspiel_LandVertsNortheast","Plegadis chihi","Plegadis chihi","Plegadis chihi"
"Plegadis falcinellus","HarrisonGoldspiel_LandVertsNortheast","Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus"
"Plestiodon anthracinus","HarrisonGoldspiel_LandVertsNortheast","Plestiodon anthracinus","Plestiodon anthracinus","Plestiodon anthracinus"
"Plestiodon fasciatus","HarrisonGoldspiel_LandVertsNortheast","Plestiodon fasciatus","Plestiodon fasciatus","Plestiodon fasciatus"
"Plestiodon laticeps","HarrisonGoldspiel_LandVertsNortheast","Plestiodon laticeps","Plestiodon laticeps","Plestiodon laticeps"
"Plethodon cinereus","HarrisonGoldspiel_LandVertsNortheast","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus"
"Plethodon glutinosus","HarrisonGoldspiel_LandVertsNortheast","Plethodon glutinosus","Plethodon glutinosus","Plethodon glutinosus"
"Plethodon hoffmani","HarrisonGoldspiel_LandVertsNortheast","Plethodon hoffmani","Plethodon hoffmani","Plethodon hoffmani"
"Plethodon richmondi","HarrisonGoldspiel_LandVertsNortheast","Plethodon richmondi","Plethodon richmondi","Plethodon richmondi"
"Plethodon wehrlei","HarrisonGoldspiel_LandVertsNortheast","Plethodon wehrlei","Plethodon wehrlei","Plethodon wehrlei"
"Pleuronectes putnami","ReneeFrancolini_MaineFish","Pleuronectes putnami","Pleuronectes putnami","Pleuronectes putnami"
"Pluvialis apricaria","HarrisonGoldspiel_LandVertsNortheast","Pluvialis apricaria","Pluvialis apricaria","Pluvialis apricaria"
"Pluvialis dominica","HarrisonGoldspiel_LandVertsNortheast","Pluvialis dominica","Pluvialis dominica","Pluvialis dominica"
"Pluvialis fulva","HarrisonGoldspiel_LandVertsNortheast","Pluvialis fulva","Pluvialis fulva","Pluvialis fulva"
"Pluvialis squatarola","HarrisonGoldspiel_LandVertsNortheast","Pluvialis squatarola","Pluvialis squatarola","Pluvialis squatarola"
"Podarcis sicula","HarrisonGoldspiel_LandVertsNortheast","Podarcis sicula","Podarcis sicula","Podarcis sicula"
"Podiceps auritus","HarrisonGoldspiel_LandVertsNortheast","Podiceps auritus","Podiceps auritus","Podiceps auritus"
"Podiceps grisegena","HarrisonGoldspiel_LandVertsNortheast","Podiceps grisegena","Podiceps grisegena","Podiceps grisegena"
"Podiceps nigricollis","HarrisonGoldspiel_LandVertsNortheast","Podiceps nigricollis","Podiceps nigricollis","Podiceps nigricollis"
"Podilymbus podiceps","HarrisonGoldspiel_LandVertsNortheast","Podilymbus podiceps","Podilymbus podiceps","Podilymbus podiceps"
"Poecetes gramineus","HarrisonGoldspiel_LandVertsNortheast","Poecetes gramineus","Pooecetes gramineus","Pooecetes gramineus"
"Poecile atracapilla","HarrisonGoldspiel_LandVertsNortheast","Poecile atracapilla","Poecile atricapilla","Poecile atricapilla"
"Poecile hudonica","HarrisonGoldspiel_LandVertsNortheast","Poecile hudonica","Poecile hudsonica","Poecile hudsonica"
"Polioptilia caerulea","HarrisonGoldspiel_LandVertsNortheast","Polioptilia caerulea","Polioptila caerulea","Polioptila caerulea"
"Pollachius virens","ReneeFrancolini_MaineFish","Pollachius virens","Pollachius virens","Pollachius virens"
"Polysticta stelleri","HarrisonGoldspiel_LandVertsNortheast","Polysticta stelleri","Polysticta stelleri","Polysticta stelleri"
"Pomatomus saltatrix","ReneeFrancolini_MaineFish","Pomatomus saltatrix","Pomatomus saltatrix","Pomatomus saltatrix"
"Porphyrio martinica","HarrisonGoldspiel_LandVertsNortheast","Porphyrio martinica","Porphyrio martinica","Porphyrio martinica"
"Porzana carolina","HarrisonGoldspiel_LandVertsNortheast","Porzana carolina","Porzana carolina","Porzana carolina"
"Prionace glauca","ReneeFrancolini_MaineFish","Prionace glauca","Prionace glauca","Prionace glauca"
"Prionotus carolinus","ReneeFrancolini_MaineFish","Prionotus carolinus","Prionotus carolinus","Prionotus carolinus"
"Prionotus evolans","ReneeFrancolini_MaineFish","Prionotus evolans","Prionotus evolans","Prionotus evolans"
"Pristigenys alta","ReneeFrancolini_MaineFish","Pristigenys alta","Pristigenys alta","Pristigenys alta"
"Procyon lotor","HarrisonGoldspiel_LandVertsNortheast","Procyon lotor","Procyon lotor","Procyon lotor"
"Progne subis","HarrisonGoldspiel_LandVertsNortheast","Progne subis","Progne subis","Progne subis"
"Progne tapera","HarrisonGoldspiel_LandVertsNortheast","Progne tapera","Progne tapera","Progne tapera"
"Protonataria citrea","HarrisonGoldspiel_LandVertsNortheast","Protonataria citrea","Protonotaria citrea","Protonotaria citrea"
"Pseudacris brachyphona","HarrisonGoldspiel_LandVertsNortheast","Pseudacris brachyphona","Pseudacris brachyphona","Pseudacris brachyphona"
"Pseudacris crucifer","HarrisonGoldspiel_LandVertsNortheast","Pseudacris crucifer","Pseudacris crucifer","Pseudacris crucifer"
"Pseudacris triseriata","HarrisonGoldspiel_LandVertsNortheast","Pseudacris triseriata","Pseudacris triseriata","Pseudacris triseriata"
"Pseudemys concinna","HarrisonGoldspiel_LandVertsNortheast","Pseudemys concinna","Pseudemys concinna","Pseudemys concinna"
"Pseudemys rubiventris","HarrisonGoldspiel_LandVertsNortheast","Pseudemys rubiventris","Pseudemys rubiventris","Pseudemys rubiventris"
"Pseudopleuronectes americanus","ReneeFrancolini_MaineFish","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Pseudopleuronectes americanus"
"Pseudotriton montanus","HarrisonGoldspiel_LandVertsNortheast","Pseudotriton montanus","Pseudotriton montanus","Pseudotriton montanus"
"Pseudotriton ruber","HarrisonGoldspiel_LandVertsNortheast","Pseudotriton ruber","Pseudotriton ruber","Pseudotriton ruber"
"Pterodroma arminjoniana","HarrisonGoldspiel_LandVertsNortheast","Pterodroma arminjoniana","Pterodroma arminjoniana","Pterodroma arminjoniana"
"Pterodroma cahow","HarrisonGoldspiel_LandVertsNortheast","Pterodroma cahow","Pterodroma cahow","Pterodroma cahow"
"Pterodroma feae","HarrisonGoldspiel_LandVertsNortheast","Pterodroma feae","Pterodroma feae","Pterodroma feae"
"Pterodroma hasitata","HarrisonGoldspiel_LandVertsNortheast","Pterodroma hasitata","Pterodroma hasitata","Pterodroma hasitata"
"Puffinus baroli","HarrisonGoldspiel_LandVertsNortheast","Puffinus baroli","Puffinus baroli","Puffinus baroli"
"Puffinus lherminieri","HarrisonGoldspiel_LandVertsNortheast","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri"
"Puffinus puffinus","HarrisonGoldspiel_LandVertsNortheast","Puffinus puffinus","Puffinus puffinus","Puffinus puffinus"
"Pungitius pungitius","ReneeFrancolini_MaineFish","Pungitius pungitius","Pungitius pungitius","Pungitius pungitius"
"Pusa hispida","HarrisonGoldspiel_LandVertsNortheast","Pusa hispida","Pusa hispida","Pusa hispida"
"Pyrocephalus rubinus","HarrisonGoldspiel_LandVertsNortheast","Pyrocephalus rubinus","Pyrocephalus rubinus","Pyrocephalus rubinus"
"Quiscalus major","HarrisonGoldspiel_LandVertsNortheast","Quiscalus major","Quiscalus major","Quiscalus major"
