species_binomial,phylum,source
Thyasira flexuosa,mollusca,GoM bivalvia species list
Thyasira gouldii,mollusca,GoM bivalvia species list
Thyasira trisinuata,mollusca,GoM bivalvia species list
Turtonia minuta,mollusca,GoM bivalvia species list
Xylonora atlantica,mollusca,GoM bivalvia species list
Xylophaga dorsalis,mollusca,GoM bivalvia species list
Yoldia hyperborea,mollusca,GoM bivalvia species list
Yoldia limatula,mollusca,GoM bivalvia species list
Yoldia myalis,mollusca,GoM bivalvia species list
Yoldia sapotilla,mollusca,GoM bivalvia species list
Yoldiella nana,mollusca,GoM bivalvia species list
Zirfaea crispata,mollusca,GoM bivalvia species list
Podon polyphemoides,arthropoda,GoMA_census_fauna
Asterope abyssicola,arthropoda,GoMA_census_fauna
Cushmanidea seminuda,arthropoda,GoMA_census_fauna
Cypria exsculpta,arthropoda,GoMA_census_fauna
Cypricercus passaicus,arthropoda,GoMA_census_fauna
Cyprideis sorbyana,arthropoda,GoMA_census_fauna
Cypridopsis vidua,arthropoda,GoMA_census_fauna
Cytheretta tracyi,arthropoda,GoMA_census_fauna
Cythereis arenicola,arthropoda,GoMA_census_fauna
Cythereis concinna,arthropoda,GoMA_census_fauna
Cythereis dawsoni,arthropoda,GoMA_census_fauna
Cythereis dunelmensis,arthropoda,GoMA_census_fauna
Cythereis emarginata,arthropoda,GoMA_census_fauna
Cythereis leioderma,arthropoda,GoMA_census_fauna
Cythereis procteri,arthropoda,GoMA_census_fauna
Cytheropteron alatoides,arthropoda,GoMA_census_fauna
Cytheropteron pyramidale,arthropoda,GoMA_census_fauna
Cytherura undata,arthropoda,GoMA_census_fauna
Eucythere declivis,arthropoda,GoMA_census_fauna
Hirschamannia viridis,arthropoda,GoMA_census_fauna
Leptocythere angusta,arthropoda,GoMA_census_fauna
Leptocythere castanea,arthropoda,GoMA_census_fauna
Limnocythere reticulata,arthropoda,GoMA_census_fauna
Loxooxoncha bairdi,arthropoda,GoMA_census_fauna
Loxoxoncha guttata,arthropoda,GoMA_census_fauna
Palmenella americana,arthropoda,GoMA_census_fauna
Pterygocythereis inexpectata,arthropoda,GoMA_census_fauna
Sarsiella zostericola,arthropoda,GoMA_census_fauna
Acartia bifilosa,arthropoda,GoMA_census_fauna
Acartia hudsonica,arthropoda,GoMA_census_fauna
Acartia longiremis,arthropoda,GoMA_census_fauna
Acartia tonsa,arthropoda,GoMA_census_fauna
Aetideus armatus,arthropoda,GoMA_census_fauna
Anomalocera opalus,arthropoda,GoMA_census_fauna
Calanus finmarchicus,arthropoda,GoMA_census_fauna
Calanus hyperboreus,arthropoda,GoMA_census_fauna
Candacia armata,arthropoda,GoMA_census_fauna
Candacia norvegica,arthropoda,GoMA_census_fauna
Centropages hamatus,arthropoda,GoMA_census_fauna
Centropages typicus,arthropoda,GoMA_census_fauna
Euchaeta norvegica,arthropoda,GoMA_census_fauna
Euchirella rostrata,arthropoda,GoMA_census_fauna
Eurytemora americana,arthropoda,GoMA_census_fauna
Eurytemora herdmani,arthropoda,GoMA_census_fauna
Gaidius tenuispinus,arthropoda,GoMA_census_fauna
Labidocera aestiva,arthropoda,GoMA_census_fauna
Metridia longa,arthropoda,GoMA_census_fauna
Metridia lucens,arthropoda,GoMA_census_fauna
Nannocalanus minor,arthropoda,GoMA_census_fauna
Paracalanus parvus,arthropoda,GoMA_census_fauna
Pleuromamma robusta,arthropoda,GoMA_census_fauna
Pseudodiaptomus coronatus,arthropoda,GoMA_census_fauna
Rhincalanus nasutus,arthropoda,GoMA_census_fauna
Scolecithricella minor,arthropoda,GoMA_census_fauna
Scolecithrix danae,arthropoda,GoMA_census_fauna
Temora longicornis,arthropoda,GoMA_census_fauna
Temora stylifera,arthropoda,GoMA_census_fauna
Tortanus discaudatus,arthropoda,GoMA_census_fauna
Alteutha depressa,arthropoda,GoMA_census_fauna
Ameira curviseta,arthropoda,GoMA_census_fauna
Cletodes buchholtzi,arthropoda,GoMA_census_fauna
Ectinosoma sp.,arthropoda,GoMA_census_fauna
Harpacticus littoralis,arthropoda,GoMA_census_fauna
Laophonte trilobata,arthropoda,GoMA_census_fauna
Microsetella rosea,arthropoda,GoMA_census_fauna
Parathelestris pygmaea,arthropoda,GoMA_census_fauna
Thalestris gibba,arthropoda,GoMA_census_fauna
Thalestris longimana,arthropoda,GoMA_census_fauna
