Species_Name,Source
Charadrius montanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius nivosus,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius semipalmatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius vociferus,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius wilsonia,27_Terrestria_Vertebrates_northeast_Goldspiel
Pluvialis apricaria,27_Terrestria_Vertebrates_northeast_Goldspiel
Pluvialis dominica,27_Terrestria_Vertebrates_northeast_Goldspiel
Pluvialis fulva,27_Terrestria_Vertebrates_northeast_Goldspiel
Pluvialis squatarola,27_Terrestria_Vertebrates_northeast_Goldspiel
Vanellus vanellus,27_Terrestria_Vertebrates_northeast_Goldspiel
Haematopus palliatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Anous stolidus,27_Terrestria_Vertebrates_northeast_Goldspiel
Childonias leucopterus,27_Terrestria_Vertebrates_northeast_Goldspiel
Childonias niger,27_Terrestria_Vertebrates_northeast_Goldspiel
Chroicocephalus philadelphia,27_Terrestria_Vertebrates_northeast_Goldspiel
Chroicocephalus ridibundus,27_Terrestria_Vertebrates_northeast_Goldspiel
Gelochelidon nilotica,27_Terrestria_Vertebrates_northeast_Goldspiel
Hydrocoleus minutus,27_Terrestria_Vertebrates_northeast_Goldspiel
Hydroprogne caspia,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus argentatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus brachyrhynchus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus canus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus crassirostris,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus delawarensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus fuscus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus glaucensens,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus glaucoides,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus heermanni,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus hyperboreus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus marinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Larus schistisagus,27_Terrestria_Vertebrates_northeast_Goldspiel
Leucophaeus atricilla,27_Terrestria_Vertebrates_northeast_Goldspiel
Leucophaeus pipixcan,27_Terrestria_Vertebrates_northeast_Goldspiel
Onychoprion anaethetus,27_Terrestria_Vertebrates_northeast_Goldspiel
Onychoprion fuscata,27_Terrestria_Vertebrates_northeast_Goldspiel
Pagophila eburnea,27_Terrestria_Vertebrates_northeast_Goldspiel
Rhodostethia rosea,27_Terrestria_Vertebrates_northeast_Goldspiel
Rissa tridactyla,27_Terrestria_Vertebrates_northeast_Goldspiel
Rynchops niger,27_Terrestria_Vertebrates_northeast_Goldspiel
Sterna dougallii,27_Terrestria_Vertebrates_northeast_Goldspiel
Sterna forsteri,27_Terrestria_Vertebrates_northeast_Goldspiel
Sterna hirundo,27_Terrestria_Vertebrates_northeast_Goldspiel
Sterna paradiseae,27_Terrestria_Vertebrates_northeast_Goldspiel
Sternula antillarum,27_Terrestria_Vertebrates_northeast_Goldspiel
Thalasseus elegans,27_Terrestria_Vertebrates_northeast_Goldspiel
Thalasseus maxima,27_Terrestria_Vertebrates_northeast_Goldspiel
Thalasseus sandvicensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Xema sabini,27_Terrestria_Vertebrates_northeast_Goldspiel
Himantopus mexicanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Recurvirostra americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Actitis macularius,27_Terrestria_Vertebrates_northeast_Goldspiel
Arenaria interpres,27_Terrestria_Vertebrates_northeast_Goldspiel
Bartramia longicauda,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris acuminata,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris alba,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris alpina,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris bairdii,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris canutus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris falcinellus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris ferruginea,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris himantopus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris maritima,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris mauri,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris melanotos,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris minuta,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris minutilla,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris pugnax,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris pusilla,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris ruficollis,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris subruficollis,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris tenuirostris,27_Terrestria_Vertebrates_northeast_Goldspiel
Calidris virgata,27_Terrestria_Vertebrates_northeast_Goldspiel
Gallinago delicata,27_Terrestria_Vertebrates_northeast_Goldspiel
Limnodromus griseus,27_Terrestria_Vertebrates_northeast_Goldspiel
Limnodromus scolopaceus,27_Terrestria_Vertebrates_northeast_Goldspiel
Limosa fedoa,27_Terrestria_Vertebrates_northeast_Goldspiel
Limosa haemastica,27_Terrestria_Vertebrates_northeast_Goldspiel
Limosa lapponica,27_Terrestria_Vertebrates_northeast_Goldspiel
Limosa limosa,27_Terrestria_Vertebrates_northeast_Goldspiel
Numenius americanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Numenius arquata,27_Terrestria_Vertebrates_northeast_Goldspiel
Numenius borealis,27_Terrestria_Vertebrates_northeast_Goldspiel
Numenius phaeopus,27_Terrestria_Vertebrates_northeast_Goldspiel
Phalaropus fulicarius,27_Terrestria_Vertebrates_northeast_Goldspiel
Phalaropus lobatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Phalaropus tricolor,27_Terrestria_Vertebrates_northeast_Goldspiel
Scolopax minor,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa brevipes,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa erythropus,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa flavipes,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa incana,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa melanoleuca,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa nebularia,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa semipalmatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Tringa solitaria,27_Terrestria_Vertebrates_northeast_Goldspiel
Xenus cinereus,27_Terrestria_Vertebrates_northeast_Goldspiel
Stercorarius longicaudus,27_Terrestria_Vertebrates_northeast_Goldspiel
Stercorarius maccormicki,27_Terrestria_Vertebrates_northeast_Goldspiel
Stercorarius parasiticus,27_Terrestria_Vertebrates_northeast_Goldspiel
Stercorarius pomarinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Stercorarius skua,27_Terrestria_Vertebrates_northeast_Goldspiel
Mycteria americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Columba livia,27_Terrestria_Vertebrates_northeast_Goldspiel
Columbina passerina,27_Terrestria_Vertebrates_northeast_Goldspiel
Ectopistes migratorius,27_Terrestria_Vertebrates_northeast_Goldspiel
Patagioenas fasciata,27_Terrestria_Vertebrates_northeast_Goldspiel
Streptopelia decaocto,27_Terrestria_Vertebrates_northeast_Goldspiel
Streptopelia turtur,27_Terrestria_Vertebrates_northeast_Goldspiel
Zenaida asiatica,27_Terrestria_Vertebrates_northeast_Goldspiel
Zenaida macroura,27_Terrestria_Vertebrates_northeast_Goldspiel
Megaceryle alcyon,27_Terrestria_Vertebrates_northeast_Goldspiel
Coccyzus americanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Coccyzus erythropthalmus,27_Terrestria_Vertebrates_northeast_Goldspiel
Crotophaga sulcirostris,27_Terrestria_Vertebrates_northeast_Goldspiel
Cuculus canorus,27_Terrestria_Vertebrates_northeast_Goldspiel
Caracara plancus,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco columbarius,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco peregrinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco rusticolus,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco sparverius,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco subbuteo,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco tinnunculus,27_Terrestria_Vertebrates_northeast_Goldspiel
Falco vespertinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Colinus virginianus,27_Terrestria_Vertebrates_northeast_Goldspiel
Bonasa umbellus,27_Terrestria_Vertebrates_northeast_Goldspiel
Falcipennis canadensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Lagopus lagopus,27_Terrestria_Vertebrates_northeast_Goldspiel
Meleagris gallopavo,27_Terrestria_Vertebrates_northeast_Goldspiel
Pavo cristatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Phasianus colchicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Tympanuchus cupido,27_Terrestria_Vertebrates_northeast_Goldspiel
Gavia adamsii,27_Terrestria_Vertebrates_northeast_Goldspiel
Gavia immer,27_Terrestria_Vertebrates_northeast_Goldspiel
Gavia pacifica,27_Terrestria_Vertebrates_northeast_Goldspiel
Gavia stellata,27_Terrestria_Vertebrates_northeast_Goldspiel
Coturnicops noveboracensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Crex crex,27_Terrestria_Vertebrates_northeast_Goldspiel
Fulica americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Gallinula galeata,27_Terrestria_Vertebrates_northeast_Goldspiel
Laterallus jamaicensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Porphyrio martinica,27_Terrestria_Vertebrates_northeast_Goldspiel
Porzana carolina,27_Terrestria_Vertebrates_northeast_Goldspiel
Rallus crepitans,27_Terrestria_Vertebrates_northeast_Goldspiel
Rallus elegans,27_Terrestria_Vertebrates_northeast_Goldspiel
Rallus limicola,27_Terrestria_Vertebrates_northeast_Goldspiel
Antigone canadensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Grus americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Eremophila alpestris,27_Terrestria_Vertebrates_northeast_Goldspiel
Bombycilla cedrorum,27_Terrestria_Vertebrates_northeast_Goldspiel
Bombycilla garrulus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calcarius lapponicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calcarius ornatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Calcarius pictus,27_Terrestria_Vertebrates_northeast_Goldspiel
Plectrophenax nivalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Cardinalis cardinalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Passerina amoena,27_Terrestria_Vertebrates_northeast_Goldspiel
Passerina caerulea,27_Terrestria_Vertebrates_northeast_Goldspiel
Passerina ciris,27_Terrestria_Vertebrates_northeast_Goldspiel
Passerina cyanea,27_Terrestria_Vertebrates_northeast_Goldspiel
Pheucticus ludovicianus,27_Terrestria_Vertebrates_northeast_Goldspiel
Pheucticus melanocephalus,27_Terrestria_Vertebrates_northeast_Goldspiel
Piranga ludoviciana,27_Terrestria_Vertebrates_northeast_Goldspiel
Piranga olivacea,27_Terrestria_Vertebrates_northeast_Goldspiel
Piranga rubra,27_Terrestria_Vertebrates_northeast_Goldspiel
Spiza americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Certhia americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Corvus brachyrhynchos,27_Terrestria_Vertebrates_northeast_Goldspiel
Corvus corax,27_Terrestria_Vertebrates_northeast_Goldspiel
