source_binomial,phylum,source,submitted_name,matched_name2,search_name
Lepidophyllum steenstrupi,platyhelminthes,GoMA_census_fauna,Lepidophyllum steenstrupi,Lepidophyllum steenstrupi,Lepidophyllum steenstrupi
Lepidopleurus articus,mollusca,GoMA_census_fauna,Lepidopleurus articus,Lepidopleurus arcticus,Lepidopleurus arcticus
Lepidopleurus cancellatus,mollusca,GoMA_census_fauna,Lepidopleurus cancellatus,Lepidopleurus cancellatus,Lepidopleurus cancellatus
Leptasterias groenlandica,echinodermata,GoMA_census_fauna,Leptasterias groenlandica,Leptasterias groenlandica,Leptasterias groenlandica
Leptasterias littoralis,echinodermata,GoMA_census_fauna,Leptasterias littoralis,Leptasterias littoralis,Leptasterias littoralis
Leptasterias muelleri,echinodermata,GoMA_census_fauna,Leptasterias muelleri,Leptasterias muelleri,Leptasterias muelleri
Leptasterias polaris,echinodermata,GoMA_census_fauna,Leptasterias polaris,Leptasterias polaris,Leptasterias polaris
Leptasterias tenera,echinodermata,GoMA_census_fauna,Leptasterias tenera,Leptasterias tenera,Leptasterias tenera
Leptocheirus pinguis,arthropoda,GoMA_census_fauna,Leptocheirus pinguis,Leptocheirus pinguis,Leptocheirus pinguis
Leptochela papulata,arthropoda,GoMA_census_fauna,Leptochela papulata,Leptochela papulata,Leptochela papulata
Leptochelia rapax,arthropoda,GoMA_census_fauna,Leptochelia rapax,Leptochelia rapax,Leptochelia rapax
Leptocythere angusta,arthropoda,GoMA_census_fauna,Leptocythere angusta,Leptocythere angusta,Leptocythere angusta
Leptocythere castanea,arthropoda,GoMA_census_fauna,Leptocythere castanea,Leptocythere castanea,Leptocythere castanea
Leptognathia gracilis,arthropoda,GoMA_census_fauna,Leptognathia gracilis,Leptognathia gracilis,Leptognathia gracilis
Leptolaimus sp.,nematoda,GoMA_census_fauna,Leptolaimus sp.,Leptolaimus,Leptolaimus
Leptoplana ellipsoides,platyhelminthes,GoMA_census_fauna,Leptoplana ellipsoides,Leptoplana ellipsoides,Leptoplana ellipsoides
Leptoplana variabilis,platyhelminthes,GoMA_census_fauna,Leptoplana variabilis,Leptoplana variabilis,Leptoplana variabilis
Leptosynapta inhaerens,echinodermata,GoMA_census_fauna,Leptosynapta inhaerens,Leptosynapta inhaerens,Leptosynapta inhaerens
Leptosynapta roseola,echinodermata,GoMA_census_fauna,Leptosynapta roseola,Leptosynapta roseola,Leptosynapta roseola
Leptuca pugilator,arthropoda,New England crab species,Leptuca pugilator,Leptuca pugilator,Leptuca pugilator
Lernaeenicus radiatus,arthropoda,GoMA_census_fauna,Lernaeenicus radiatus,Lernaeenicus radiatus,Lernaeenicus radiatus
Leuckartiara octona,cnidaria,GoMA_census_fauna,Leuckartiara octona,Leuckartiara octona,Leuckartiara octona
Leucon americanus,arthropoda,GoMA_census_fauna,Leucon americanus,Leucon americanus,Leucon americanus
Leucon nasicoides,arthropoda,GoMA_census_fauna,Leucon nasicoides,Leucon nasicoides,Leucon nasicoides
Leucophytia bidentata,mollusca,GoMA_census_fauna,Leucophytia bidentata,Leucophytia bidentata,Leucophytia bidentata
Leucosolenia botryoides,porifera,GoMA_census_fauna,Leucosolenia botryoides,Leucosolenia botryoides,Leucosolenia botryoides
Leucosolenia cancellata,porifera,GoMA_census_fauna,Leucosolenia cancellata,Leucosolenia cancellata,Leucosolenia cancellata
Levinsenia gracilis,annelida,GoMA_census_fauna,Levinsenia gracilis,Levinsenia gracilis,Levinsenia gracilis
Libinia dubia,arthropoda,GoMA_census_fauna,Libinia dubia,Libinia dubia,Libinia dubia
Libinia emarginata,arthropoda,New England crab species,Libinia emarginata,Libinia emarginata,Libinia emarginata
Lichenopora hispida,bryozoan,GoMA_census_fauna,Lichenopora hispida,Lichenopora hispida,Lichenopora hispida
Lichenopora verrucaria,bryozoan,GoMA_census_fauna,Lichenopora verrucaria,Lichenopora verrucaria,Lichenopora verrucaria
Ligia oceanica,arthropoda,GoMA_census_fauna,Ligia oceanica,Ligia oceanica,Ligia oceanica
Limacina inflata,mollusca,GoMA_census_fauna,Limacina inflata,Limacina inflata,Limacina inflata
Limacina retroversa,mollusca,GoMA_census_fauna,Limacina retroversa,Limacina retroversa,Limacina retroversa
Limatula subauriculata,mollusca,GoMA_census_fauna,Limatula subauriculata,Limatula subauriculata,Limatula subauriculata
Limecola balthica,mollusca,GoM bivalvia species list,Limecola balthica,Limecola balthica,Limecola balthica
Limneria undata,mollusca,GoMA_census_fauna,Limneria undata,Limneria undata,Limneria undata
Limnocythere reticulata,arthropoda,GoMA_census_fauna,Limnocythere reticulata,Limnocythere reticulata,Limnocythere reticulata
Limnoria lignorum,arthropoda,GoMA_census_fauna,Limnoria lignorum,Limnoria lignorum,Limnoria lignorum
Limulus polyphemus,arthropoda,GoMA_census_fauna,Limulus polyphemus,Limulus polyphemus,Limulus polyphemus
Lineus arenicola,nemertea,GoMA_census_fauna,Lineus arenicola,Lineus arenicola,Lineus arenicola
Lineus bicolor,nemertea,GoMA_census_fauna,Lineus bicolor,Lineus bicolor,Lineus bicolor
Lineus ruber,nemertea,GoMA_census_fauna,Lineus ruber,Lineus ruber,Lineus ruber
Lineus sanguineus,nemertea,GoMA_census_fauna,Lineus sanguineus,Lineus sanguineus,Lineus sanguineus
Lineus viridis,nemertea,GoMA_census_fauna,Lineus viridis,Lineus viridis,Lineus viridis
Liostomia eburnea,mollusca,GoMA_census_fauna,Liostomia eburnea,Liostomia eburnea,Liostomia eburnea
Liriopsis sp.,arthropoda,GoMA_census_fauna,Liriopsis sp.,Liriopsis,Liriopsis
Lischkeia ottoi,mollusca,GoMA_census_fauna,Lischkeia ottoi,Lischkeia ottoi,Lischkeia ottoi
Lischkeia regularis,mollusca,GoMA_census_fauna,Lischkeia regularis,Lischkeia regularis,Lischkeia regularis
Lissoclinum aureum,chordata,GoMA_census_fauna,Lissoclinum aureum,Lissoclinum aureum,Lissoclinum aureum
Listriella clymenellae,arthropoda,GoMA_census_fauna,Listriella clymenellae,Listriella clymenellae,Listriella clymenellae
Lithodes maja,arthropoda,GoMA_census_fauna,Lithodes maja,Lithodes maja,Lithodes maja
Littorina littorea,mollusca,GoMA_census_fauna,Littorina littorea,Littorina littorea,Littorina littorea
Littorina obtusata,mollusca,GoMA_census_fauna,Littorina obtusata,Littorina obtusata,Littorina obtusata
Littorina saxatilis,mollusca,GoMA_census_fauna,Littorina saxatilis,Littorina saxatilis,Littorina saxatilis
Littorophiloscia vittata,arthropoda,GoMA_census_fauna,Littorophiloscia vittata,Littorophiloscia vittata,Littorophiloscia vittata
Loligo pealeii,mollusca,GoMA_census_fauna,Loligo pealeii,Loligo pealeii,Loligo pealeii
Lophelia pertusa,cnidaria,GoMA_census_fauna,Lophelia pertusa,Lophelia pertusa,Lophelia pertusa
Lora turricula,mollusca,GoMA_census_fauna,Lora turricula,Lora turricula,Lora turricula
Lottia alveus,mollusca,GoMA_census_fauna,Lottia alveus,Lottia alveus,Lottia alveus
Loxooxoncha bairdi,arthropoda,GoMA_census_fauna,Loxooxoncha bairdi,Loxoconcha bairdi,Loxoconcha bairdi
Loxoxoncha guttata,arthropoda,GoMA_census_fauna,Loxoxoncha guttata,Loxoconcha guttata,Loxoconcha guttata
Lucernaria quadricornis,cnidaria,GoMA_census_fauna,Lucernaria quadricornis,Lucernaria quadricornis,Lucernaria quadricornis
Lucifer faxoni,arthropoda,GoMA_census_fauna,Lucifer faxoni,Lucifer faxoni,Lucifer faxoni
Lucinoma filosa,mollusca,GoMA_census_fauna,Lucinoma filosa,Lucinoma filosa,Lucinoma filosa
Lucinoma sp.,mollusca,GoM bivalvia species list,Lucinoma sp.,Lucinoma,Lucinoma
Lumbricillus lineatus,annelida,GoMA_census_fauna,Lumbricillus lineatus,Lumbricillus lineatus,Lumbricillus lineatus
Lumbrinerides acuta,annelida,GoMA_census_fauna,Lumbrinerides acuta,Lumbrinerides acuta,Lumbrinerides acuta
Lumbrineris acicularum,annelida,GoMA_census_fauna,Lumbrineris acicularum,Lumbrineris acicularum,Lumbrineris acicularum
Lumbrineris brevipes,annelida,GoMA_census_fauna,Lumbrineris brevipes,Lumbrineris brevipes,Lumbrineris brevipes
Lumbrineris fragilis,annelida,GoMA_census_fauna,Lumbrineris fragilis,Lumbrineris fragilis,Lumbrineris fragilis
Lumbrineris hebes,annelida,GoMA_census_fauna,Lumbrineris hebes,Lumbrineris hebes,Lumbrineris hebes
Lumbrineris impatiens,annelida,GoMA_census_fauna,Lumbrineris impatiens,Lumbrineris impatiens,Lumbrineris impatiens
Lumbrineris latreilli,annelida,GoMA_census_fauna,Lumbrineris latreilli,Lumbrineris latreilli,Lumbrineris latreilli
Lumbrineris tenuis,annelida,GoMA_census_fauna,Lumbrineris tenuis,Lumbrineris tenuis,Lumbrineris tenuis
Lycaea pulex,arthropoda,GoMA_census_fauna,Lycaea pulex,Lycaea pulex,Lycaea pulex
Lymnaea arctica,mollusca,GoMA_census_fauna,Lymnaea arctica,Lymnaea arctica,Lymnaea arctica
Lymnaea catascopium,mollusca,GoMA_census_fauna,Lymnaea catascopium,Lymnaea catascopium,Lymnaea catascopium
Lyonsia arenosa,mollusca,GoMA_census_fauna,Lyonsia arenosa,Lyonsia arenosa,Lyonsia arenosa
Lyonsia hyalina,mollusca,GoMA_census_fauna,Lyonsia hyalina,Lyonsia hyalina,Lyonsia hyalina
Lytocarpia myriophyllum,cnidaria,GoMA_census_fauna,Lytocarpia myriophyllum,Lytocarpia myriophyllum,Lytocarpia myriophyllum
Macoma balthica,mollusca,GoMA_census_fauna,Macoma balthica,Macoma balthica,Macoma balthica
Macoma calcarea,mollusca,GoMA_census_fauna,Macoma calcarea,Macoma calcarea,Macoma calcarea
Macoma lama,mollusca,GoMA_census_fauna,Macoma lama,Macoma lama,Macoma lama
Macoma sp.,mollusca,GoM bivalvia species list,Macoma sp.,Macoma,Macoma
Macoploma tenta,mollusca,GoM bivalvia species list,Macoploma tenta,Macoploma tenta,Macoploma tenta
Macrochaeta sexoculata,annelida,GoMA_census_fauna,Macrochaeta sexoculata,Macrochaeta sexoculata,Macrochaeta sexoculata
Mactromeris polynema,mollusca,GoM bivalvia species list,Mactromeris polynema,Mactromeris polynyma,Mactromeris polynyma
Maera danae,arthropoda,GoMA_census_fauna,Maera danae,Maera danae,Maera danae
Malacobdella grossa,nemertea,GoMA_census_fauna,Malacobdella grossa,Malacobdella grossa,Malacobdella grossa
Maldane sarsi,annelida,GoMA_census_fauna,Maldane sarsi,Maldane sarsi,Maldane sarsi
Malmiana brunnea,annelida,GoMA_census_fauna,Malmiana brunnea,Malmiana brunnea,Malmiana brunnea
Mancocuma stellifera,arthropoda,GoMA_census_fauna,Mancocuma stellifera,Mancocuma stellifera,Mancocuma stellifera
Mangelia plicosa,mollusca,GoMA_census_fauna,Mangelia plicosa,Mangelia plicosa,Mangelia plicosa
Marenzelleria viridis,annelida,GoMA_census_fauna,Marenzelleria viridis,Marenzelleria viridis,Marenzelleria viridis
Margarites argentatus,mollusca,GoMA_census_fauna,Margarites argentatus,Margarites argentatus,Margarites argentatus
Margarites costalis,mollusca,GoMA_census_fauna,Margarites costalis,Margarites costalis,Margarites costalis
Margarites costalis costalis,mollusca,GoMA_census_fauna,Margarites costalis costalis,Margarites costalis costalis,Margarites costalis costalis
Margarites groenlandicus,mollusca,GoMA_census_fauna,Margarites groenlandicus,Margarites groenlandicus,Margarites groenlandicus
Margarites helicinus,mollusca,GoMA_census_fauna,Margarites helicinus,Margarites helicinus,Margarites helicinus
Margarites olivaceus,mollusca,GoMA_census_fauna,Margarites olivaceus,Margarites olivaceus,Margarites olivaceus
Margarites striatus,mollusca,GoMA_census_fauna,Margarites striatus,Margarites striatus,Margarites striatus
Marinogammarus finmarchicus,arthropoda,GoMA_census_fauna,Marinogammarus finmarchicus,Marinogammarus finmarchicus,Marinogammarus finmarchicus
Marinogammarus obtusatus,arthropoda,GoMA_census_fauna,Marinogammarus obtusatus,Marinogammarus obtusatus,Marinogammarus obtusatus
Marinogammarus stoerensis,arthropoda,GoMA_census_fauna,Marinogammarus stoerensis,Marinogammarus stoerensis,Marinogammarus stoerensis
Marionina spicula,annelida,GoMA_census_fauna,Marionina spicula,Marionina spicula,Marionina spicula
Marphysa belli,annelida,GoMA_census_fauna,Marphysa belli,Marphysa belli,Marphysa belli
Marsenina ampla,mollusca,GoMA_census_fauna,Marsenina ampla,Marsenina ampla,Marsenina ampla
Marsenina glabra,mollusca,GoMA_census_fauna,Marsenina glabra,Marsenina glabra,Marsenina glabra
Marshallora nigrocincta,mollusca,GoMA_census_fauna,Marshallora nigrocincta,Marshallora nigrocincta,Marshallora nigrocincta
Mastigoteuthis agassizii,mollusca,GoMA_census_fauna,Mastigoteuthis agassizii,Mastigoteuthis agassizii,Mastigoteuthis agassizii
Mayerella limicola,arthropoda,GoMA_census_fauna,Mayerella limicola,Mayerella limicola,Mayerella limicola
Megadrite sp.,annelida,GoMA_census_fauna,NA,NA,Megadrite sp.
Meganyctiphanes norvegica,arthropoda,GoMA_census_fauna,Meganyctiphanes norvegica,Meganyctiphanes norvegica,Meganyctiphanes norvegica
Megayoldia thraciaeformis,mollusca,GoM bivalvia species list,Megayoldia thraciaeformis,Megayoldia thraciaeformis,Megayoldia thraciaeformis
Melampus bidentatus,mollusca,GoMA_census_fauna,Melampus bidentatus,Melampus bidentatus,Melampus bidentatus
Melicertum octocostatum,cnidaria,GoMA_census_fauna,Melicertum octocostatum,Melicertum octocostatum,Melicertum octocostatum
Melinna cristata,annelida,GoMA_census_fauna,Melinna cristata,Melinna cristata,Melinna cristata
Melita dentata,arthropoda,GoMA_census_fauna,Melita dentata,Melita dentata,Melita dentata
Melonanchora elliptica,porifera,GoMA_census_fauna,Melonanchora elliptica,Melonanchora elliptica,Melonanchora elliptica
Melphidippa goesi,arthropoda,GoMA_census_fauna,Melphidippa goesi,Melphidippa goesi,Melphidippa goesi
Membranipora sp.,bryozoan,GoMA_census_fauna,Membranipora sp.,Membranipora,Membranipora
Membranipora tenuis,bryozoan,GoMA_census_fauna,Membranipora tenuis,Membranipora tenuis,Membranipora tenuis
Menestho albula,mollusca,GoMA_census_fauna,Menestho albula,Menestho albula,Menestho albula
Mercenaria mercenaria,mollusca,GoM bivalvia species list,Mercenaria mercenaria,Mercenaria mercenaria,Mercenaria mercenaria
Mertensia ovum,ctenophora,GoMA_census_fauna,Mertensia ovum,Mertensia ovum,Mertensia ovum
Mesacmaea laevis,cnidaria,GoMA_census_fauna,Mesacmaea laevis,Mesacmaea laevis,Mesacmaea laevis
Mesodesma arctatum,mollusca,GoMA_census_fauna,Mesodesma arctatum,Mesodesma arctatum,Mesodesma arctatum
Mesodesma deauratum,mollusca,GoM bivalvia species list,Mesodesma deauratum,Mesodesma deauratum,Mesodesma deauratum
Mesonerilla sp.,annelida,GoMA_census_fauna,Mesonerilla sp.,Mesonerilla,Mesonerilla
Mesotheristus setosus,nematoda,GoMA_census_fauna,Mesotheristus setosus,Mesotheristus setosus,Mesotheristus setosus
Metachromadoroides remanei,nematoda,GoMA_census_fauna,Metachromadoroides remanei,Metachromadoroides remanei,Metachromadoroides remanei
Metacrangon jacqueti,arthropoda,GoMA_census_fauna,Metacrangon jacqueti,Metacrangon jacqueti,Metacrangon jacqueti
Metanisakis rotundatum,nematoda,GoMA_census_fauna,Metanisakis rotundatum,Metanisakis rotundatum,Metanisakis rotundatum
Metopa alderi,arthropoda,GoMA_census_fauna,Metopa alderi,Metopa alderi,Metopa alderi
Metopa boecki,arthropoda,GoMA_census_fauna,Metopa boecki,Metopa boecki,Metopa boecki
Metopa groenlandica,arthropoda,GoMA_census_fauna,Metopa groenlandica,Metopa groenlandica,Metopa groenlandica
Metopa solsbergi,arthropoda,GoMA_census_fauna,Metopa solsbergi,Metopa solsbergi,Metopa solsbergi
Metopella angusta,arthropoda,GoMA_census_fauna,Metopella angusta,Metopella angusta,Metopella angusta
Metopella carinata,arthropoda,GoMA_census_fauna,Metopella carinata,Metopella carinata,Metopella carinata
Metridia longa,arthropoda,GoMA_census_fauna,Metridia longa,Metridia longa,Metridia longa
Metridia lucens,arthropoda,GoMA_census_fauna,Metridia lucens,Metridia lucens,Metridia lucens
Metridium marginatum,cnidaria,GoMA_census_fauna,Metridium marginatum,Metridium marginatum,Metridium marginatum
Metridium senile,cnidaria,GoMA_census_fauna,Metridium senile,Metridium senile,Metridium senile
Microciona prolifera,porifera,GoMA_census_fauna,Microciona prolifera,Microciona prolifera,Microciona prolifera
Microcotyle pomatomi,platyhelminthes,GoMA_census_fauna,Microcotyle pomatomi,Microcotyle pomatomi,Microcotyle pomatomi
Microcotyle poronoti,platyhelminthes,GoMA_census_fauna,Microcotyle poronoti,Microcotyle poronoti,Microcotyle poronoti
Microdeutopus gryllotalpa,arthropoda,GoMA_census_fauna,Microdeutopus gryllotalpa,Microdeutopus gryllotalpa,Microdeutopus gryllotalpa
Microlaimus sp.,nematoda,GoMA_census_fauna,Microlaimus sp.,Microlaimus,Microlaimus
Microphallus sp.,platyhelminthes,GoMA_census_fauna,Microphallus sp.,Microphallus,Microphallus
Micropharynx parasitica,platyhelminthes,GoMA_census_fauna,Micropharynx parasitica,Micropharynx parasitica,Micropharynx parasitica
Microphthalmus aberrans,annelida,GoMA_census_fauna,Microphthalmus aberrans,Microphthalmus aberrans,Microphthalmus aberrans
Microphthalmus pettiboneae,annelida,GoMA_census_fauna,Microphthalmus pettiboneae,Microphthalmus pettiboneae,Microphthalmus pettiboneae
Microphthalmus sczelkowii,annelida,GoMA_census_fauna,Microphthalmus sczelkowii,Microphthalmus sczelkowii,Microphthalmus sczelkowii
Microporella ciliata,bryozoan,GoMA_census_fauna,Microporella ciliata,Microporella ciliata,Microporella ciliata
Microsetella rosea,arthropoda,GoMA_census_fauna,Microsetella rosea,Microsetella rosea,Microsetella rosea
Micrura affinis,nemertea,GoMA_census_fauna,Micrura affinis,Micrura affinis,Micrura affinis
Micrura dorsalis,nemertea,GoMA_census_fauna,Micrura dorsalis,Micrura dorsalis,Micrura dorsalis
Mitrella dissimilis,mollusca,GoMA_census_fauna,Mitrella dissimilis,Mitrella dissimilis,Mitrella dissimilis
Mitrella lunata,mollusca,GoMA_census_fauna,Mitrella lunata,Mitrella lunata,Mitrella lunata
Mitrocomella polydiademata,cnidaria,GoMA_census_fauna,Mitrocomella polydiademata,Mitrocomella polydiademata,Mitrocomella polydiademata
Modiolus modiolus,mollusca,GoM bivalvia species list,Modiolus modiolus,Modiolus modiolus,Modiolus modiolus
Moelleria costulata,mollusca,GoMA_census_fauna,Moelleria costulata,Moelleria costulata,Moelleria costulata
Mohnia abyssorum,mollusca,GoMA_census_fauna,Mohnia abyssorum,Mohnia abyssorum,Mohnia abyssorum
Molgula arenata,chordata,GoMA_census_fauna,Molgula arenata,Molgula arenata,Molgula arenata
Molgula citrina,chordata,GoMA_census_fauna,Molgula citrina,Molgula citrina,Molgula citrina
Molgula complanata,chordata,GoMA_census_fauna,Molgula complanata,Molgula complanata,Molgula complanata
Molgula griffithsi,chordata,GoMA_census_fauna,Molgula griffithsi,Molgula griffithsi,Molgula griffithsi
Molgula manhattensis,chordata,GoMA_census_fauna,Molgula manhattensis,Molgula manhattensis,Molgula manhattensis
Molgula provisionalis,chordata,GoMA_census_fauna,Molgula provisionalis,Molgula provisionalis,Molgula provisionalis
Molgula retortiformis,chordata,GoMA_census_fauna,Molgula retortiformis,Molgula retortiformis,Molgula retortiformis
Molgula siphonalis,chordata,GoMA_census_fauna,Molgula siphonalis,Molgula siphonalis,Molgula siphonalis
Monhystera disjuncta,nematoda,GoMA_census_fauna,Monhystera disjuncta,Monhystera disjuncta,Monhystera disjuncta
Monhystera macrura,nematoda,GoMA_census_fauna,Monhystera macrura,Monhystera macrura,Monhystera macrura
Monocelis durhami,platyhelminthes,GoMA_census_fauna,Monocelis durhami,Monocelis durhami,Monocelis durhami
Monoculodes intermedius,arthropoda,GoMA_census_fauna,Monoculodes intermedius,Monoculodes intermedius,Monoculodes intermedius
Monoculodes latimanus,arthropoda,GoMA_census_fauna,Monoculodes latimanus,Monoculodes latimanus,Monoculodes latimanus
Monoculodes norvegicus,arthropoda,GoMA_census_fauna,Monoculodes norvegicus,Monoculodes norvegicus,Monoculodes norvegicus
Monoculodes packardi,arthropoda,GoMA_census_fauna,Monoculodes packardi,Monoculodes packardi,Monoculodes packardi
Monoculodes tuberculatus,arthropoda,GoMA_census_fauna,Monoculodes tuberculatus,Monoculodes tuberculatus,Monoculodes tuberculatus
Monstrilla canadensis,arthropoda,GoMA_census_fauna,Monstrilla canadensis,Monstrilla canadensis,Monstrilla canadensis
Montacuta dawsoni,mollusca,GoMA_census_fauna,Montacuta dawsoni,Montacuta dawsoni,Montacuta dawsoni
Montacuta sp.,mollusca,GoM bivalvia species list,Montacuta sp.,Montacuta,Montacuta
Mulinia lateralis,mollusca,GoM bivalvia species list,Mulinia lateralis,Mulinia lateralis,Mulinia lateralis
Munida iris,arthropoda,GoMA_census_fauna,Munida iris,Munida iris,Munida iris
Munida tenuimana,arthropoda,GoMA_census_fauna,Munida tenuimana,Munida tenuimana,Munida tenuimana
Munida valida,arthropoda,GoMA_census_fauna,Munida valida,Munida valida,Munida valida
Munidopsis curvirostra,arthropoda,GoMA_census_fauna,Munidopsis curvirostra,Munidopsis curvirostra,Munidopsis curvirostra
Munna fabricii,arthropoda,GoMA_census_fauna,Munna fabricii,Munna fabricii,Munna fabricii
Munnopsis typica,arthropoda,GoMA_census_fauna,Munnopsis typica,Munnopsis typica,Munnopsis typica
Musculus corrugatus,mollusca,GoMA_census_fauna,Musculus corrugatus,Musculus corrugatus,Musculus corrugatus
Musculus discors,mollusca,GoMA_census_fauna,Musculus discors,Musculus discors,Musculus discors
Musculus glacialis,mollusca,GoM bivalvia species list,Musculus glacialis,Musculus glacialis,Musculus glacialis
Musculus niger,mollusca,GoMA_census_fauna,Musculus niger,Musculus niger,Musculus niger
Mya arenaria,mollusca,GoM bivalvia species list,Mya arenaria,Mya arenaria,Mya arenaria
Mya truncata,mollusca,GoM bivalvia species list,Mya truncata,Mya truncata,Mya truncata
Mycale lingua,porifera,GoMA_census_fauna,Mycale lingua,Mycale lingua,Mycale lingua
Myopea caleum,platyhelminthes,GoMA_census_fauna,Myopea caleum,Myopea caleum,Myopea caleum
Myosotella myosotis,mollusca,GoMA_census_fauna,Myosotella myosotis,Myosotella myosotis,Myosotella myosotis
Myriapora subgracila,bryozoan,GoMA_census_fauna,Myriapora subgracila,Myriapora subgracila,Myriapora subgracila
Myriochele heeri,annelida,GoMA_census_fauna,Myriochele heeri,Myriochele heeri,Myriochele heeri
Myriochele oculata,annelida,GoMA_census_fauna,Myriochele oculata,Myriochele oculata,Myriochele oculata
Mysella planulata,mollusca,GoM bivalvia species list,Mysella planulata,Mysella planulata,Mysella planulata
Mysis gaspensis,arthropoda,GoMA_census_fauna,Mysis gaspensis,Mysis gaspensis,Mysis gaspensis
Mysis mixta,arthropoda,GoMA_census_fauna,Mysis mixta,Mysis mixta,Mysis mixta
Mysis stenolepsis,arthropoda,GoMA_census_fauna,Mysis stenolepsis,Mysis stenolepsis,Mysis stenolepsis
Mystides borealis,annelida,GoMA_census_fauna,Mystides borealis,Mystides borealis,Mystides borealis
Mytilus edulis,mollusca,GoMA_census_fauna,Mytilus edulis,Mytilus edulis,Mytilus edulis
Mytilus trossulus,mollusca,GoM bivalvia species list,Mytilus trossulus,Mytilus trossulus,Mytilus trossulus
Myxicola infundibulum,annelida,GoMA_census_fauna,Myxicola infundibulum,Myxicola infundibulum,Myxicola infundibulum
Myxicola steenstrupi,annelida,GoMA_census_fauna,Myxicola steenstrupi,Myxicola steenstrupi,Myxicola steenstrupi
Myxilla fimbriata,porifera,GoMA_census_fauna,Myxilla fimbriata,Myxilla fimbriata,Myxilla fimbriata
Myzobdella lugubris,annelida,GoMA_census_fauna,Myzobdella lugubris,Myzobdella lugubris,Myzobdella lugubris
Naineris quadricuspida,annelida,GoMA_census_fauna,Naineris quadricuspida,Naineris quadricuspida,Naineris quadricuspida
Nais variabilis,annelida,GoMA_census_fauna,Nais variabilis,Nais variabilis,Nais variabilis
Nannocalanus minor,arthropoda,GoMA_census_fauna,Nannocalanus minor,Nannocalanus minor,Nannocalanus minor
Nanomia cara,cnidaria,GoMA_census_fauna,Nanomia cara,Nanomia cara,Nanomia cara
Nassarius obsoletus,mollusca,GoMA_census_fauna,Nassarius obsoletus,Nassarius obsoletus,Nassarius obsoletus
Nassarius trivittatus,mollusca,GoMA_census_fauna,Nassarius trivittatus,Nassarius trivittatus,Nassarius trivittatus
Neanthes acuminata,annelida,GoMA_census_fauna,Neanthes acuminata,Neanthes acuminata,Neanthes acuminata
Neanthes diversicolor,annelida,GoMA_census_fauna,Neanthes diversicolor,Neanthes diversicolor,Neanthes diversicolor
Neanthes succinea,annelida,GoMA_census_fauna,Neanthes succinea,Neanthes succinea,Neanthes succinea
Neanthes virens,annelida,GoMA_census_fauna,Neanthes virens,Neanthes virens,Neanthes virens
Nectonema agile,nematomorpha,GoMA_census_fauna,Nectonema agile,Nectonema agile,Nectonema agile
Nematocarcinus cursor,arthropoda,GoMA_census_fauna,Nematocarcinus cursor,Nematocarcinus cursor,Nematocarcinus cursor
Nematocarcinus rotundus,arthropoda,GoMA_census_fauna,Nematocarcinus rotundus,Nematocarcinus rotundus,Nematocarcinus rotundus
Nematostella vectensis,cnidaria,GoMA_census_fauna,Nematostella vectensis,Nematostella vectensis,Nematostella vectensis
Nemertesia americana,cnidaria,GoMA_census_fauna,Nemertesia americana,Nemertesia americana,Nemertesia americana
Nemertesia antennina,cnidaria,GoMA_census_fauna,Nemertesia antennina,Nemertesia antennina,Nemertesia antennina
Nemopsis bachei,cnidaria,GoMA_census_fauna,Nemopsis bachei,Nemopsis bachei,Nemopsis bachei
Neoamphitrite affinis,annelida,GoMA_census_fauna,Neoamphitrite affinis,Neoamphitrite affinis,Neoamphitrite affinis
Neobrachiella rostrata,arthropoda,GoMA_census_fauna,Neobrachiella rostrata,Neobrachiella rostrata,Neobrachiella rostrata
Neochildia fusca,platyhelminthes,GoMA_census_fauna,Neochildia fusca,Neochildia fusca,Neochildia fusca
Neoechinorhynchus rostratum,acanthocephala,GoMA_census_fauna,Neoechinorhynchus rostratum,Neoechinorhynchus rostratum,Neoechinorhynchus rostratum
Neoleanira tetragona,annelida,GoMA_census_fauna,Neoleanira tetragona,Neoleanira tetragona,Neoleanira tetragona
Nephasoma diaphanes,annelida,GoMA_census_fauna,Nephasoma diaphanes,Nephasoma diaphanes,Nephasoma diaphanes
Nephasoma diaphanes diaphanes,annelida,GoMA_census_fauna,Nephasoma diaphanes diaphanes,Nephasoma diaphanes diaphanes,Nephasoma diaphanes diaphanes
Nephasoma eremita,annelida,GoMA_census_fauna,Nephasoma eremita,Nephasoma eremita,Nephasoma eremita
Nephtys bucera,annelida,GoMA_census_fauna,Nephtys bucera,Nephtys bucera,Nephtys bucera
Nephtys caeca,annelida,GoMA_census_fauna,Nephtys caeca,Nephtys caeca,Nephtys caeca
Nephtys ciliata,annelida,GoMA_census_fauna,Nephtys ciliata,Nephtys ciliata,Nephtys ciliata
Nephtys discors,annelida,GoMA_census_fauna,Nephtys discors,Nephtys discors,Nephtys discors
Nephtys incisa,annelida,GoMA_census_fauna,Nephtys incisa,Nephtys incisa,Nephtys incisa
Nephtys longosetosa,annelida,GoMA_census_fauna,Nephtys longosetosa,Nephtys longosetosa,Nephtys longosetosa
Nephtys paradoxa,annelida,GoMA_census_fauna,Nephtys paradoxa,Nephtys paradoxa,Nephtys paradoxa
Nephtys picta,annelida,GoMA_census_fauna,Nephtys picta,Nephtys picta,Nephtys picta
