source_binomial,phylum,source,submitted_name,matched_name2,search_name
Amphicteis gunneri,annelida,GoMA_census_fauna,Amphicteis gunneri,Amphicteis gunneri,Amphicteis gunneri
Amphilectus lobata,porifera,GoMA_census_fauna,Amphilectus lobata,Amphilectus lobata,Amphilectus lobata
Amphipholis squamata,echinodermata,GoMA_census_fauna,Amphipholis squamata,Amphipholis squamata,Amphipholis squamata
Amphiporeia lawrenciana,arthropoda,GoMA_census_fauna,Amphiporeia lawrenciana,Amphiporeia lawrenciana,Amphiporeia lawrenciana
Amphiporus angulatus,nemertea,GoMA_census_fauna,Amphiporus angulatus,Amphiporus angulatus,Amphiporus angulatus
Amphiporus bioculatus,nemertea,GoMA_census_fauna,Amphiporus bioculatus,Amphiporus bioculatus,Amphiporus bioculatus
Amphiporus caecus,nemertea,GoMA_census_fauna,Amphiporus caecus,Amphiporus caecus,Amphiporus caecus
Amphiporus frontalis,nemertea,GoMA_census_fauna,Amphiporus frontalis,Amphiporus frontalis,Amphiporus frontalis
Amphiporus griseus,nemertea,GoMA_census_fauna,Amphiporus griseus,Amphiporus griseus,Amphiporus griseus
Amphiporus groenlandicus,nemertea,GoMA_census_fauna,Amphiporus groenlandicus,Amphiporus groenlandicus,Amphiporus groenlandicus
Amphiporus heterosorus,nemertea,GoMA_census_fauna,Amphiporus heterosorus,Amphiporus heterosorus,Amphiporus heterosorus
Amphiporus lactifloreus,nemertea,GoMA_census_fauna,Amphiporus lactifloreus,Amphiporus lactifloreus,Amphiporus lactifloreus
Amphiporus ochraceus,nemertea,GoMA_census_fauna,Amphiporus ochraceus,Amphiporus ochraceus,Amphiporus ochraceus
Amphissa acutecostata,mollusca,GoMA_census_fauna,Amphissa acutecostata,Amphissa acutecostata,Amphissa acutecostata
Amphissa haliaeeti,mollusca,GoMA_census_fauna,Amphissa haliaeeti,Amphissa haliaeeti,Amphissa haliaeeti
Amphitrite brunnea,annelida,GoMA_census_fauna,Amphitrite brunnea,Amphitrite brunnea,Amphitrite brunnea
Amphitrite cirrata,annelida,GoMA_census_fauna,Amphitrite cirrata,Amphitrite cirrata,Amphitrite cirrata
Amphitrite figulus,annelida,GoMA_census_fauna,Amphitrite figulus,Amphitrite figulus,Amphitrite figulus
Amphitrite johnstoni,annelida,GoMA_census_fauna,Amphitrite johnstoni,Amphitrite johnstoni,Amphitrite johnstoni
Amphitrite ornata,annelida,GoMA_census_fauna,Amphitrite ornata,Amphitrite ornata,Amphitrite ornata
Ampithoe longimana,arthropoda,GoMA_census_fauna,Ampithoe longimana,Ampithoe longimana,Ampithoe longimana
Ampithoe rubicata,arthropoda,GoMA_census_fauna,Ampithoe rubicata,Ampithoe rubicata,Ampithoe rubicata
Ampithoe valida,arthropoda,GoMA_census_fauna,Ampithoe valida,Ampithoe valida,Ampithoe valida
Anachis lafresnayi,mollusca,GoMA_census_fauna,Anachis lafresnayi,Anachis lafresnayi,Anachis lafresnayi
Anadara transversa,mollusca,GoMA_census_fauna,Anadara transversa,Anadara transversa,Anadara transversa
Anaitides groenlandica,annelida,GoMA_census_fauna,Anaitides groenlandica,Anaitides groenlandica,Anaitides groenlandica
Anaitides maculata,annelida,GoMA_census_fauna,Anaitides maculata,Anaitides maculata,Anaitides maculata
Anaitides mucosa,annelida,GoMA_census_fauna,Anaitides mucosa,Anaitides mucosa,Anaitides mucosa
Anaperus gardineri,platyhelminthes,GoMA_census_fauna,Anaperus gardineri,Anaperus gardineri,Anaperus gardineri
Anatoma crispata,mollusca,GoMA_census_fauna,Anatoma crispata,Anatoma crispata,Anatoma crispata
Ancula gibbosa,mollusca,GoMA_census_fauna,Ancula gibbosa,Ancula gibbosa,Ancula gibbosa
Andracantha mergi,acanthocephala,GoMA_census_fauna,Andracantha mergi,Andracantha mergi,Andracantha mergi
Anisakis simplex,nematoda,GoMA_census_fauna,Anisakis simplex,Anisakis simplex,Anisakis simplex
Anisomysis incisa,arthropoda,GoMA_census_fauna,Anisomysis incisa,Anisomysis incisa,Anisomysis incisa
Anisomysis laticauda,arthropoda,GoMA_census_fauna,Anisomysis laticauda,Anisomysis laticauda,Anisomysis laticauda
Anobothrus gracilis,annelida,GoMA_census_fauna,Anobothrus gracilis,Anobothrus gracilis,Anobothrus gracilis
Anomalocera opalus,arthropoda,GoMA_census_fauna,Anomalocera opalus,Anomalocera opalus,Anomalocera opalus
Anomia aculeata,mollusca,GoMA_census_fauna,Anomia aculeata,Anomia aculeata,Anomia aculeata
Anomia simplex,mollusca,GoMA_census_fauna,Anomia simplex,Anomia simplex,Anomia simplex
Anomia sp.,mollusca,GoM bivalvia species list,Anomia sp.,Anomia,Anomia
Anomia squamula,mollusca,GoMA_census_fauna,Anomia squamula,Anomia squamula,Anomia squamula
Anonyx compactus,arthropoda,GoMA_census_fauna,Anonyx compactus,Anonyx compactus,Anonyx compactus
Anonyx debruyni,arthropoda,GoMA_census_fauna,Anonyx debruyni,Anonyx debruyni,Anonyx debruyni
Anonyx lilljeborgi,arthropoda,GoMA_census_fauna,Anonyx lilljeborgi,Anonyx lilljeborgi,Anonyx lilljeborgi
Anonyx nugax,arthropoda,GoMA_census_fauna,Anonyx nugax,Anonyx nugax,Anonyx nugax
Anonyx sarsi,arthropoda,GoMA_census_fauna,Anonyx sarsi,Anonyx sarsi,Anonyx sarsi
Anoplodactylus lentus,arthropoda,GoMA_census_fauna,Anoplodactylus lentus,Anoplodactylus lentus,Anoplodactylus lentus
Anoplostoma blanchardi,nematoda,GoMA_census_fauna,Anoplostoma blanchardi,Anoplostoma blanchardi,Anoplostoma blanchardi
Antalis entale stimpsoni,mollusca,GoMA_census_fauna,Antalis entale stimpsoni,Antalis entale stimpsoni,Antalis entale stimpsoni
Antalis occidentale,mollusca,GoMA_census_fauna,Antalis occidentale,Antalis occidentale,Antalis occidentale
Antalis subagile,mollusca,GoMA_census_fauna,Antalis subagile,Antalis subagile,Antalis subagile
Anthocotyle merluccii,platyhelminthes,GoMA_census_fauna,Anthocotyle merluccii,Anthocotyle merluccii,Anthocotyle merluccii
Anthoptilum grandiflorum,cnidaria,GoMA_census_fauna,Anthoptilum grandiflorum,Anthoptilum grandiflorum,Anthoptilum grandiflorum
Anthosoma crassum,arthropoda,GoMA_census_fauna,Anthosoma crassum,Anthosoma crassum,Anthosoma crassum
Anthothela grandiflora,cnidaria,GoMA_census_fauna,Anthothela grandiflora,Anthothela grandiflora,Anthothela grandiflora
Anticoma sp.,nematoda,GoMA_census_fauna,Anticoma sp.,Anticoma,Anticoma
Aphanostoma sanguineum,platyhelminthes,GoMA_census_fauna,Aphanostoma sanguineum,Aphanostoma sanguineum,Aphanostoma sanguineum
Aphrodita aculeata,annelida,GoMA_census_fauna,Aphrodita aculeata,Aphrodita aculeata,Aphrodita aculeata
Aphrodita hastata,annelida,GoMA_census_fauna,Aphrodita hastata,Aphrodita hastata,Aphrodita hastata
Apistobranchus tullbergi,annelida,GoMA_census_fauna,Apistobranchus tullbergi,Apistobranchus tullbergi,Apistobranchus tullbergi
Aplidium glabrum,chordata,GoMA_census_fauna,Aplidium glabrum,Aplidium glabrum,Aplidium glabrum
Aplidium pallidum,chordata,GoMA_census_fauna,Aplidium pallidum,Aplidium pallidum,Aplidium pallidum
Aporrhais occidentalis,mollusca,GoMA_census_fauna,Aporrhais occidentalis,Aporrhais occidentalis,Aporrhais occidentalis
Arabella iricolor,annelida,GoMA_census_fauna,Arabella iricolor,Arabella iricolor,Arabella iricolor
Arachnactis brachiolata,cnidaria,GoMA_census_fauna,Arachnactis brachiolata,Arachnactis brachiolata,Arachnactis brachiolata
Arctica islandica,mollusca,GoM bivalvia species list,Arctica islandica,Arctica islandica,Arctica islandica
Arenicola marina,annelida,GoMA_census_fauna,Arenicola marina,Arenicola marina,Arenicola marina
Argissa hamatipes,arthropoda,GoMA_census_fauna,Argissa hamatipes,Argissa hamatipes,Argissa hamatipes
Argopecten irradians,mollusca,GoM bivalvia species list,Argopecten irradians,Argopecten irradians,Argopecten irradians
Argulus funduli,arthropoda,GoMA_census_fauna,Argulus funduli,Argulus funduli,Argulus funduli
Argulus latus,arthropoda,GoMA_census_fauna,Argulus latus,Argulus latus,Argulus latus
Arhythmorhynchus brevis,acanthocephala,GoMA_census_fauna,Arhythmorhynchus brevis,Arhythmorhynchus brevis,Arhythmorhynchus brevis
Aricidea (Allia) quadrilobata,annelida,GoMA_census_fauna,Aricidea (allia) quadrilobata,Aricidea quadrilobata,Aricidea quadrilobata
Aricidea (Allia) suecica,annelida,GoMA_census_fauna,Aricidea (allia) suecica,Aricidea suecica,Aricidea suecica
Aricidea nolani,annelida,GoMA_census_fauna,Aricidea nolani,Aricidea nolani,Aricidea nolani
Aristaeomorpha foliacea,arthropoda,New England shrimp species,Aristaeomorpha foliacea,Aristaeomorpha foliacea,Aristaeomorpha foliacea
Artacama proboscidea,annelida,GoMA_census_fauna,Artacama proboscidea,Artacama proboscidea,Artacama proboscidea
Arvella faba,mollusca,GoM bivalvia species list,Arvella faba,Arvella faba,Arvella faba
Ascarophis filiformis,nematoda,GoMA_census_fauna,Ascarophis filiformis,Ascarophis filiformis,Ascarophis filiformis
Ascidia callosa,chordata,GoMA_census_fauna,Ascidia callosa,Ascidia callosa,Ascidia callosa
Ascidia prunum,chordata,GoMA_census_fauna,Ascidia prunum,Ascidia prunum,Ascidia prunum
Ascidiella aspera,chordata,GoMA_census_fauna,Ascidiella aspera,Ascidiella aspersa,Ascidiella aspersa
Aselomaris michaeli,cnidaria,GoMA_census_fauna,Aselomaris michaeli,Aselomaris michaeli,Aselomaris michaeli
Astarte borealis,mollusca,GoMA_census_fauna,Astarte borealis,Astarte borealis,Astarte borealis
Astarte castanea,mollusca,GoMA_census_fauna,Astarte castanea,Astarte castanea,Astarte castanea
Astarte crenata,mollusca,GoM bivalvia species list,Astarte crenata,Astarte crenata,Astarte crenata
Astarte elliptica,mollusca,GoM bivalvia species list,Astarte elliptica,Astarte elliptica,Astarte elliptica
Astarte montagui,mollusca,GoMA_census_fauna,Astarte montagui,Astarte montagui,Astarte montagui
Astarte quadrans,mollusca,GoMA_census_fauna,Astarte quadrans,Astarte quadrans,Astarte quadrans
Astarte striata,mollusca,GoM bivalvia species list,Astarte striata,Astarte striata,Astarte striata
Astarte subaequilatera,mollusca,GoMA_census_fauna,Astarte subaequilatera,Astarte subaequilatera,Astarte subaequilatera
Astarte undata,mollusca,GoM bivalvia species list,Astarte undata,Astarte undata,Astarte undata
Asterias forbesi,echinodermata,GoMA_census_fauna,Asterias forbesi,Asterias forbesi,Asterias forbesi
Asterias rubens,echinodermata,GoMA_census_fauna,Asterias rubens,Asterias rubens,Asterias rubens
Asterope abyssicola,arthropoda,GoMA_census_fauna,Asterope abyssicola,Asterope abyssicola,Asterope abyssicola
Astrotorhynchus bifidus,platyhelminthes,GoMA_census_fauna,Astrotorhynchus bifidus,Astrotorhynchus bifidus,Astrotorhynchus bifidus
Astyris lunata,mollusca,GoMA_census_fauna,Astyris lunata,Astyris lunata,Astyris lunata
Astyris rosacea,mollusca,GoMA_census_fauna,Astyris rosacea,Astyris rosacea,Astyris rosacea
Astyris zonalis,mollusca,GoMA_census_fauna,Astyris zonalis,Astyris zonalis,Astyris zonalis
Asychis elongata,annelida,GoMA_census_fauna,Asychis elongata,Asychis elongata,Asychis elongata
Atlantopandalus propinqvus,arthropoda,GoMA_census_fauna,Atlantopandalus propinqvus,Atlantopandalus propinqvus,Atlantopandalus propinqvus
Atolla wyvillei,cnidaria,GoMA_census_fauna,Atolla wyvillei,Atolla wyvillei,Atolla wyvillei
Aulactinia stella,cnidaria,GoMA_census_fauna,Aulactinia stella,Aulactinia stella,Aulactinia stella
Aurelia aurita,cnidaria,GoMA_census_fauna,Aurelia aurita,Aurelia aurita,Aurelia aurita
Aurelia limbata,cnidaria,GoMA_census_fauna,Aurelia limbata,Aurelia limbata,Aurelia limbata
Austrobdella rapax,annelida,GoMA_census_fauna,Austrobdella rapax,Austrobdella rapax,Austrobdella rapax
Austrolaenilla mollis,annelida,GoMA_census_fauna,Austrolaenilla mollis,Austrolaenilla mollis,Austrolaenilla mollis
Autolytus cornutus,annelida,GoMA_census_fauna,Autolytus cornutus,Autolytus cornutus,Autolytus cornutus
Autolytus prismaticus,annelida,GoMA_census_fauna,Autolytus prismaticus,Autolytus prismaticus,Autolytus prismaticus
Autolytus prolifera,annelida,GoMA_census_fauna,Autolytus prolifera,Autolytus prolifera,Autolytus prolifera
Autolytus varians,annelida,GoMA_census_fauna,Autolytus varians,Autolytus varians,Autolytus varians
Autolytus verrilli,annelida,GoMA_census_fauna,Autolytus verrilli,Autolytus verrilli,Autolytus verrilli
Axinopsida orbiculata,mollusca,GoM bivalvia species list,Axinopsida orbiculata,Axinopsida orbiculata,Axinopsida orbiculata
Axinopsida orbiculata inaequalis,mollusca,GoMA_census_fauna,Axinopsida orbiculata inaequalis,Axinopsida orbiculata inaequalis,Axinopsida orbiculata inaequalis
Axius serratus,arthropoda,GoMA_census_fauna,Axius serratus,Axius serratus,Axius serratus
Balanus balanoides,arthropoda,GoMA_census_fauna,Balanus balanoides,Balanus balanoides,Balanus balanoides
Balanus balanus,arthropoda,GoMA_census_fauna,Balanus balanus,Balanus balanus,Balanus balanus
Balanus crenatus,arthropoda,GoMA_census_fauna,Balanus crenatus,Balanus crenatus,Balanus crenatus
Balanus eburneus,arthropoda,GoMA_census_fauna,Balanus eburneus,Balanus eburneus,Balanus eburneus
Balanus hameri,arthropoda,GoMA_census_fauna,Balanus hameri,Balanus hameri,Balanus hameri
Barentsia major,bryozoan,GoMA_census_fauna,Barentsia major,Barentsia major,Barentsia major
Barnea truncata,mollusca,GoMA_census_fauna,Barnea truncata,Barnea truncata,Barnea truncata
Bathyarca frielei,mollusca,GoM bivalvia species list,Bathyarca frielei,Bathyarca frielei,Bathyarca frielei
Bathyarca pectunculoides,mollusca,GoM bivalvia species list,Bathyarca pectunculoides,Bathyarca pectunculoides,Bathyarca pectunculoides
Bathypolypus arcticus,mollusca,GoMA_census_fauna,Bathypolypus arcticus,Bathypolypus arcticus,Bathypolypus arcticus
Bathypolypus bairdii,mollusca,GoMA_census_fauna,Bathypolypus bairdii,Bathypolypus bairdii,Bathypolypus bairdii
Bathyporeia quoddyensis,arthropoda,GoMA_census_fauna,Bathyporeia quoddyensis,Bathyporeia quoddyensis,Bathyporeia quoddyensis
Bdelloura candida,platyhelminthes,GoMA_census_fauna,Bdelloura candida,Bdelloura candida,Bdelloura candida
Benthesicymus bartletti,arthropoda,GoMA_census_fauna,Benthesicymus bartletti,Benthesicymus bartletti,Benthesicymus bartletti
Benthoctopus piscatorum,mollusca,GoMA_census_fauna,Benthoctopus piscatorum,Benthoctopus piscatorum,Benthoctopus piscatorum
Benthonella tenella,mollusca,GoMA_census_fauna,Benthonella tenella,Benthonella tenella,Benthonella tenella
Bereo cucumis,ctenophora,GoMA_census_fauna,Bereo cucumis,Beroo cucumis,Beroo cucumis
