source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Plethodon hoffmani
HarrisonGoldspiel_LandVertsNortheast,Plethodon richmondi
HarrisonGoldspiel_LandVertsNortheast,Plethodon wehrlei
HarrisonGoldspiel_LandVertsNortheast,Pseudotriton ruber
HarrisonGoldspiel_LandVertsNortheast,Pseudotriton montanus
HarrisonGoldspiel_LandVertsNortheast,Aneides aneides
HarrisonGoldspiel_LandVertsNortheast,Desmognathus monticola
HarrisonGoldspiel_LandVertsNortheast,Desmognathus ochrophaeus
HarrisonGoldspiel_LandVertsNortheast,Eurycea cirrigera
HarrisonGoldspiel_LandVertsNortheast,Eurycea longicauda
HarrisonGoldspiel_LandVertsNortheast,Eurycea lucifuga
HarrisonGoldspiel_LandVertsNortheast,Cryptobranchus alleganiensis
HarrisonGoldspiel_LandVertsNortheast,Siren intermedia
HarrisonGoldspiel_LandVertsNortheast,Chrysemys picta
HarrisonGoldspiel_LandVertsNortheast,Clemmys guttata
HarrisonGoldspiel_LandVertsNortheast,Emydoidiae blandingii
HarrisonGoldspiel_LandVertsNortheast,Glyptemys insculpta
HarrisonGoldspiel_LandVertsNortheast,Terrapene carolina
HarrisonGoldspiel_LandVertsNortheast,Trachemys scripta
HarrisonGoldspiel_LandVertsNortheast,Chelydra serpentina
HarrisonGoldspiel_LandVertsNortheast,Sternotherus odoratus
HarrisonGoldspiel_LandVertsNortheast,Coluber constrictor
HarrisonGoldspiel_LandVertsNortheast,Diadophis punctatus
HarrisonGoldspiel_LandVertsNortheast,Lampropeltis triangulum
HarrisonGoldspiel_LandVertsNortheast,Nerodia sipedon
HarrisonGoldspiel_LandVertsNortheast,Opheodrys vernalis
HarrisonGoldspiel_LandVertsNortheast,Thamnophis sauritus
HarrisonGoldspiel_LandVertsNortheast,Thamnophis sirtalis
HarrisonGoldspiel_LandVertsNortheast,Storeria dekayi
HarrisonGoldspiel_LandVertsNortheast,Storeria occipitomaculata
HarrisonGoldspiel_LandVertsNortheast,Crotalus horridus
HarrisonGoldspiel_LandVertsNortheast,Clemmys muhlenbergii
HarrisonGoldspiel_LandVertsNortheast,Graptemys geographica
HarrisonGoldspiel_LandVertsNortheast,Graptemys ouachitensis
HarrisonGoldspiel_LandVertsNortheast,Graptemys pseudogeographica
HarrisonGoldspiel_LandVertsNortheast,Malaclemys terrapin
HarrisonGoldspiel_LandVertsNortheast,Pseudemys concinna
HarrisonGoldspiel_LandVertsNortheast,Pseudemys rubiventris
HarrisonGoldspiel_LandVertsNortheast,Terrapene ornata
HarrisonGoldspiel_LandVertsNortheast,Macrochelys temminckii
HarrisonGoldspiel_LandVertsNortheast,Kinosternon subrubrum
HarrisonGoldspiel_LandVertsNortheast,Apalone mutica
HarrisonGoldspiel_LandVertsNortheast,Apalone spinifera
HarrisonGoldspiel_LandVertsNortheast,Ophisaurus attenuatus
HarrisonGoldspiel_LandVertsNortheast,Carphophis amoenus
HarrisonGoldspiel_LandVertsNortheast,Cemophora coccinea
HarrisonGoldspiel_LandVertsNortheast,Clonophis kirtlandii
HarrisonGoldspiel_LandVertsNortheast,Elaphe obsoleta
HarrisonGoldspiel_LandVertsNortheast,Farancia abacura
HarrisonGoldspiel_LandVertsNortheast,Haldea striatula
HarrisonGoldspiel_LandVertsNortheast,Heterodon platirhinos
HarrisonGoldspiel_LandVertsNortheast,Lampropeltis calligaster
HarrisonGoldspiel_LandVertsNortheast,Lampropeltis getula
HarrisonGoldspiel_LandVertsNortheast,Nerodia erythrogaster
HarrisonGoldspiel_LandVertsNortheast,Nerodia rhombifer
